Rating,Reviews,Company,Province
1,"pelayan sangat buruk, kurir tdk mau antar paket pdhl kita byr ongkir loh tp mlh di suruh ambil sendiri, kurir atas nama agus tdk ramah tdk sopan tdk sabar.",JNT,Papua Pegunungan
5,"Jasa kirim di daerah sentani, yang berlokasi di jalan raya sentani depan pojok",JNT,Papua Pegunungan
1,"antri padat sekali petugas di loket lelet, kalo mau tunggu paket diantar ke tempat tunggu kucing bicara baru bisa diantar mngkin",JNT,Papua Pegunungan
1,"pengalaman paling terburuk sepanjang menggunakkan ekspedisi!!! paket sudah sampai Jayapura dari tanggal 13 Januari tapi sampai skrg tidak jelas paket itu dimana, ditanya hanya jawaban ""paketnya belum ketemu"" ""belum bongkar"" blm lagi ke …",JNT,Papua Pegunungan
1,"Bayar ongkir mahal2 tapi kurir gamau antar barang saya , gausah pda kerja kurir kan kerja nya antar barang klo ga antar barang anda mau ngapain jd kurir ! Jnt ttup aja deh kalo gk becus ngasih pelayan",JNT,Papua Pegunungan
1,"Sangat tidak bagus. Pelayanan lambat hanya satu yang melayani. Pengiriman dan pengambilan barang hanya satu orang.
Tidak langsung diantar ke rumah.
Kalau ada bintang minus harusnya kasih minus",JNT,Papua Pegunungan
1,pelayanan paling aneh . di aplikasi bilangnya paket tidak mau di terima buyer padahal tidak pernah di antar ke alamat. giliran ke counter ternyata paket udah di return kan aneh .tidak ada konfirmasi lgi klo paketannya udah di return🤦🏻   j&t sentani kocak tidak sesuai SOP …,JNT,Papua Pegunungan
1,"Masa iya saya ngirim paket retur terus !!!! Keterangannya nomor pembeli tidak aktif, padahal ga ada hubungi nomor tersebut. Pemalas emang kurir"" j&t. Kukud bae kukud lah, bangkrut kauws",JNT,Papua Pegunungan
1,"pelayanan paling buruk, status paketnya dibawa oleh kurir, ditungguin sampe 3 hari ga sampai"", pas dicek lagi paketnya malah dikembalikan ke penjual. paraaaaah",JNT,Papua Pegunungan
1,"Bayar ongkir mahal mahal, kurir tra mau antar, malah suruh datang ambil barang sendiri, anehh",JNT,Papua Pegunungan
5,"Petugasnya ramah dan sopan,setiap paket datang langsung mendapat chat dari petugas j&t,sayangnya blm ada pengantaran sampai di rumah,",JNT,Papua Pegunungan
1,"Pelayananx meresahkan
Kayakx tidak pernah baca ulasan dari pelanggan, Paket sdh tiba hampir sebulan tidak sampe2 lokasi …",JNT,Papua Pegunungan
1,Di aplikasi pesanan sedang di antar ke pembeli tpi sampai detik ini di tgu tdk ada yang dtg,JNT,Papua Pegunungan
1,"Barang saya mulai tanggal 12 Sampek sekarang gak ada kabar seratus sudah diambil kurir tpi belum ada sampai sampai ke dekai kab Yahukimo
Ongkir sudah mahal 300 san. Malah pelayanan nya kayak ini sangat kecewa",JNT,Papua Pegunungan
1,"Service nya tidak pernah baik 🗿
Dari tahun ke tahun selama punya paket di J&T ini, selalu aja lama. …",JNT,Papua Pegunungan
1,"Pelayanan jelek banget, gada ramah""nya, jam operasional ga jelas, paket ga diantar kerumah harus selalu ambil sendiri ke lokasi, kira kita byr ongkir pke daun kah",JNT,Papua Pegunungan
1,Pelayanan buruk kurirnya terlalu lama antar paket & kita hrs bolak-balik kantor j&t setiap hari,JNT,Papua Pegunungan
1,"Barang sedang diproses di sortir Jayapura sdh beberapa hari itu aja ia bilang ampe skrg blum ada laporan lagi. Pelayanan jnt sentani memang mengecewaka, buruk dan sangat buruk sekali",JNT,Papua Pegunungan
2,paket ga diantar alasannya kuris sakit. Apa kurirnya cuma satu??,JNT,Papua Pegunungan
1,Kalau Tau begini kejadian nya saya ambil jasa  Lion Parcel saja jelas dan cepat . Saya ambil Paket kilat cepat . Kirim dari jayapura Tujuan Jakarta. Tetapi setelah Tiga hari Barang nya masih ada di Sentani. Sementara saya butuh cepat itu …,JNT,Papua Pegunungan
1,"J&t tutup aja sudah,, tiap paketan ngak pernah di antar juga,, kurir cuma modal SMS aja,,, pasti barang ambil sendiri terus,,,",JNT,Papua Pegunungan
1,"Mereka pikir mereka cuma satu2nya ekspedisi disentani?
Barang tidak pernah diantar, malah kita di wa suruh ambil di tempat dan sampai disana ngantrinya tidak teratur, pegawai tidak ramah dan staffnya kurang. …",JNT,Papua Pegunungan
1,"Paling malas kalo ada barang yang dikirim lewat ekspedisi J&T, beberapa hari yang lalu saya mau ambl paket saya dengan harapan sudah bisa saya ambl nyata belum, pegawai dengan berbagai alasanya ktnya paket saya mash digudang belum di …",JNT,Papua Pegunungan
1,3 Minggu paket blm datang.. sdh TDK di antar ke alamat penerima giliran datang ke kantornya alasannya paket msih di gudang blm sampai.. j&t seluruh Jayapura pelayanannya buruk,JNT,Papua Pegunungan
1,"pelayanan kurang baik, paketnya tidak di antar ke tujuan, malahan kami yang harus ke tempat nya. diharapkan bagi pihak nya segera merespon 👍🏼 …",JNT,Papua Pegunungan
1,"Cukup kali ini saja pakai jasa j&t khusus nya sentani ,sanggat mengecewakan BURUK, kurir sombong sekali sama staf nya bikin diri, babu juga mo bikin diri macam bos saja.",JNT,Papua Pegunungan
