Rating,Reviews,Company,Province
1,"kurir kayak tai,,cma tau konfirmasi,,tpi gk di antar” barangnya…kurir namanya MUHAMMAD QASYIM A,,Rese’ dan tdk pernah mau antar paket..tdk niat kerja taiklah sampe barangku di retur pas mo ambil ke kantor,,krn dia tdk antar”..",JNT,Papua Selatan
1,"Jasa kirim yg sangat merugikan konsumen,
Msih sakit hati sampai sekarang dengan kurir JNT ,paket tdk pernah sampai, ujungnya pengembalian barang dan pengembalian dana, anda harus tau ye, pengembalian dana itu ada potongan,dan itu sangat merugikan saya.,jasa kirim cabang berengsek",JNT,Papua Selatan
1,"Kurir rese, tdk sopan,, paket sering hilang,, paket tdk di antar cma suka chat tapi tdk di antar... Tdk tanggung jawan",JNT,Papua Selatan
2,Tolong paket saya sudah 2 minggu tidak jalan. Kenapa tidak diantar? Kerja kalian para kurir ngapain? Sudah dihubungi seminggu tdk ada respon …,JNT,Papua Selatan
1,Sangat buruk..... Paket saya malah di suruh ambil sendiri,JNT,Papua Selatan
1,"Pada punya pikiran gak sii??, lu dibayar untuk kerja, paket udah nyampe ngga di konfirmasi² gimana siii !!!!!!!",JNT,Papua Selatan
1,apaan dah paket sudah sampai tpi tidak dikirim padahal alamat sudah lengkap,JNT,Papua Selatan
1,"Tai lah... Barang gak d antar, kurir gak pernah konfirmasi. Tiba2 barang retur.",JNT,Papua Selatan
5,"Letaknya di jalan protokol MANDALA kota Merauke, aksesnya sangat mudah menggunakan angkutan kota maupun yg lainnya.",JNT,Papua Selatan
1,"Pelayanan buruk skl.
Sudah menunggu berhari2 untuk pengantaran, kurir g mau antar sampe ke rmh",JNT,Papua Selatan
1,"Sampah lah jnt Merauke ini,barang sudah sampai tapi belum di kirim",JNT,Papua Selatan
1,"Paket saya sampai tgl 30 kemarin knpa tidak langsung di kirim.??
Jadi bermasalah karna melewati batas waktu pengiriman, padahal sudak sampai pas tgl 30.",JNT,Papua Selatan
1,"Pelayanan tdk baik,barang udh smpe gak ada koordinasi,sy sangat kcwa skli,alamat ada lengkap tp brng smpe Merauke sudh d return",JNT,Papua Selatan
1,"Berharap barang sampe hari ini di penerima tp malah tertunda lagi, lagi lagi dn lagi dgn alasan sudah lewat waktu. Kecewa sih",JNT,Papua Selatan
1,"Sy dihubungi kurir tgl 16 februari 2023 paketnya diantar sampai sp 2 tanah miring.
Setelah sy tanggapi , …",JNT,Papua Selatan
1,"Tolong untuk pihak j&t untuk meningkatkan kinerja kalian, kenapa barang tidak bisa sampai ke Asiki? Cuma mentok sampai kota saja dan tidak ada konfirmasi pengiriman juga dari pihak j&t di kota, padahal sudah di hubungi tapi tidak ada respon …",JNT,Papua Selatan
2,"Terlalu lama , sebelum puasa kemarin pengiriman normal bahkan sebelum tanggal ditentukan paket sudah tiba , dan sekarang jangan kan paket untuk upgred lokasi saja nihil , harusnya paket saya sudah tiba hari ini tapi saya tlpn pihak Jnt masih dalam perjalanan 😪😪 …",JNT,Papua Selatan
