Rating,Reviews,Company,Province
1,"Pelayanannya parah, pkt sdh tiba mau diambil tdk blh katanya bsk akan diantar, ditunggu besoknya sampai sore jg blm diantar, buka di aplikasi katanya sdh lewat waktu pengantaran...PARAAAAAAH.....",JNT,Papua Tengah
1,"sangat buruk paket saya sampai sekarang blm diantar"" terlalu banyak alasan kata tutup jam 5 trus kurirnya chat kita pas sudah mau tutup bsru dikabarin 😒 …",JNT,Papua Tengah
1,"Pelayanan Di Sini sangat2 buruk.
Mohon di tambah tenaga kerjanya.
Paket saya sudah satu minggu ngak ada kabar.
Mendingan yang mau kirim2 pakai JNE atau yg Lainya saja.",JNT,Papua Tengah
1,Sangat buruk pelayanan atas barang yg sudah tiba tapi tertahan di kantor J&T sampai 1 minggu dan jarang mau di antar ke alamat tujuan !!! Tidak layak dikirm via J&T!! Pelanggan selalu dikecewakan.,JNT,Papua Tengah
1,"Paling hancur, paket sdh ada ditimika dr tgl 11 Maret sampai skrg tgl 19 Maret masih belum dikirim. Sekalinya dtg kesana banyak paket menumpuk, alasan tidak mengirim kurir nya sakit ??? …",JNT,Papua Tengah
2,"Tolong kalau kurir tidak bisa antar paket, jangan chat menginformasikan kalau paket akan di antar. Sudah di tunggu tapi tidak di antar-antar.",JNT,Papua Tengah
1,"PARAHHHHHHH 2 HARI TERTUNDA, ALASAN NOMOR PELANGGAN TIDAK SESUAI, PADAHAL ORDERAN DARI SHOPEE. PASTINYA SESUAI NOMOR YANG TERDAFTAR. TOLONG DI BENAHI KARYAWANNTA. SAYA SEBAGAI PENJUAL KALAU DI ULUR2 YA RUGI WAKTU. MANA LAGI ITU HARGANYA BAGI SAYA TIDAK MURAH",JNT,Papua Tengah
1,Buruk sekali. Kalau paket nya cod kurir pada mau antar paket sampai tujuan. Tp kalau paket tidak ada uang nya . Sering kali customer suruh ambil ke kantor.. alasan nya banyak. Sampai customer sama kurir baku melawan gara² GK d antar² urusan paket.. kurangi harga pengiriman buat ke timika kalau customer suruh ambil paket sendiri....,JNT,Papua Tengah
1,"Parah, benar-benar seperti tidak terorganisir dengan baik ! Mengecewakan ! Paket ambil sendiri, pegawai minim, pelanggan berdekatan. Semoga segera bisa di perbaiki sistem nya !",JNT,Papua Tengah
1,Mungkin sdh menjadi kebiasaan lama mengantar paket di karekanan pemilik paket yg sambangi kurir. …,JNT,Papua Tengah
