Rating,Reviews,Company,Province
1,"Mau ngirim paket lama kali pelayanannya padahal semua counter nya ada karyawan,mau antri aja lama kali😡😡 …",JNT,Riau
1,"Karyawan jnt yang terhormat, hati2 ya, orang yang suka menyulitkan urusan orang lain, hidupnya nanti disulitkan jg sama Allah. Mau retur paket aja bener2 dibikin ribet, pake ditimbang, pake disuruh bikin surat pernyataan. Pas pindah ke jnt …",JNT,Riau
1,"Ternyata uda banyak yg komplain sama jnt disini. Hati2 yang mau drop off barang. Barang saya di bongkar dan dituker isinya sama kardus. Hati2 juga sama admin novita. Waktu saya drop off barang, gelagat mencurigakan dengan menanyakan barang saya gak da yg cacat ya sampe 2x",JNT,Riau
1,Pelayanan sangat buruk. Mulai dari awal masuk gak jelas.. ga ada pemberitahuan tempat ambil Antri.. pekerja disana tidak ada ramah2 nya.. minimal berpendidikan sama punya sopan santun lah.. Giliran di tanya malah nanya balik sudah ambil …,JNT,Riau
4,"Pertama kali ngirim barang disini,Perginya pagi hari tempatnya lowong, pelayanan cepat, customer service ramah.. buka pk 08.00 pagi, tutup pk 21.30wib. pembayaran tunai atau non tunai (shoppepay). pengiriman harga worthit banget..",JNT,Riau
1,"lama betul kerjanya
baru ini ngantar paket antri sampai 1 jam lebih zzzz …",JNT,Riau
1,"Paket selalu ditahan tahan kalau transit di PKU, di shope ex 3-4 hari sampai kalau JNT 7-8 hari baru sampai",JNT,Riau
1,"Pelayanan lama, katanya buka jam 8 ternyata ngaret, padahal dtg pagi biar cpt",JNT,Riau
1,Ini kurir nya gmna ni? Sampai2 keterangan nomor tidak sesuai..,JNT,Riau
1,"Ini gimana paket saya udh 3 hari nggk gerak, itu barang mau saya pake, tolooooonggggg",JNT,Riau
2,Pelayanan lama bgt diantar pket nya.. udh berhari hari nympe Pekanbaru . Ngak dikirim kirim. Lama.. kecewa ..,JNT,Riau
5,tempat mudah di cari di pinggir jalan Raya elayan cepat tinggal pilih jenis pengiriman barang via jasa expedisi yg sesuai,JNT,Riau
1,"Paket saya dari tgl 8 sampai sekarang ngga sampai"" tidak ada pergerakan",JNT,Riau
1,gua udah tf 450k buat asuransi paket yang di tahan bandara kok nomer gua langsung di blok gimana si ini aduhhh saya bisa laporkan lama lama,JNT,Riau
1,Antri lama tidak di pangil. Org yg jaga di depan cuek dan mukanya judes. Pelayanan sangat jelek,JNT,Riau
2,Pelayanan lambat dan bertele-tele ngirim paket yg belum keluar kota aja kaya mau ngirim ke amsterdam. Ditingkatkan lagi,JNT,Riau
5,Pengiriman dgn harga murah dan cepat. Semoga pelayanannya tetap selalu terbaik.,JNT,Riau
1,"Jangan pernah kirim barang dengan J&T
Baik dr segi mana pun sangat merugikan pembeli.
Pelayanan 👎👎👎
Kalah total sm JNE dan SI CEPET …",JNT,Riau
