Rating,Reviews,Company,Province
1,"Ada salah satu kurir yg memang resek, kemarin paket tidak di bawa' alasannya saya telat respon padahal hanya beberapa menit, baru se enaknya dia bilang, bagaimana dengan paketnya mau di ambil atau di kembalikan, padahal baru pengantaran pertama.",JNT,Sulawesi Barat
1,"Kurirnya pilih pilih orang, diganti saja,makan gaji buta,😡😡
Khususnya area pasiang.
Alasan tidak diantar karna no salah,padahal tidak pernah konfirmasi lewat telefon... …",JNT,Sulawesi Barat
2,"Kurir bagian pasiang khususnya aribang dan sekitarnya, kalau nda mau kerja berhentimi banyak mau jadi kurir, sudah bnayk orang mengeluh sama itu kurir,,,
😡😡 …",JNT,Sulawesi Barat
1,"Itu kurir yg area paku minta tolong di pecat saja tdk ada gunanya ...
Paket saya alasannya ditolak padahal belum diantar",JNT,Sulawesi Barat
1,"Saya tau kerjaan kalian berat tapi mau gimana lagi klo emang tugas nya ngantar, masa paket aku tertahan terus, waktu estimasinya dah lewat 3 hari,",JNT,Sulawesi Barat
1,paket ku sdh 3 hari ada di polewali tpi tidak prnh smpai krmh😏😏😏sangat mengecewakan💔💔💔 …,JNT,Sulawesi Barat
1,Belum juga pernah di hubungi sama kurir tpi keterangan paketnya sedang tertahan karna nomor telpon tdk sesuai.,JNT,Sulawesi Barat
1,"Parah emang jasanya
Dari tgl 4 sampai tgl 13 blon jg di kirim sdh jauh dri estimasi
Ini yg kerja pada ngapain si",JNT,Sulawesi Barat
1,Paket sdh 3 hari tdk di antar makan gajibbuta,JNT,Sulawesi Barat
1,"Tolong packet yg sdh berlabuh sejak 9 April segera di tindak lanjuti 🙏🙏🙏🙏 k tidak beranak & tdk menguntungkan ji kayak deposit klo disimpan terlalu lama di gudang weh 🤦‍♀️🤦‍♀️🤦‍♀️ tinggal kalian lanjutkan saja pengirimannya ke Toraja,, sdh mw 2 bln tatahan tdk ada kabar apa²🤦‍♀️🤦‍♀️🤦‍♀️ …",JNT,Sulawesi Barat
2,"Luar biasa buruk pelayanannya, kita sudah bayar ongkir tapi kurir tidak mau antar sampai tempat, kalau antarnya satu barang pasti saya maklumi untuk saya jemput pribadi dikantor, tapi kalau barang banyak tetap masih tidak mau mengantar …",JNT,Sulawesi Barat
1,"Paket ku udah lewat mi tanggal etimidasi nya Bru tidak datang² itu pket
Klo malas ko kerja tutup mi SJ itu j&t",JNT,Sulawesi Barat
1,ududu luar biasa.adakah saya punya kitab Sunnah pergi na lempar lempar karna malas turun ke bawah? maksud ku sya yaa Kerjaa Kerjaa ko sdikit.kalau mulihat bagus packing ny belum tentu tahan i ini saja kitab nya penyok sama mau robek.menyesal memang ka kirim paket ku ke pw tau mending di mjn,JNT,Sulawesi Barat
1,"Pelayanannya buruk dan tidak sesuai SOP. Sebagai langganan J&t express saya kecewa berat dengan pelayanannya kali ini, padahal kurir sebelumnya selalu menghubungi saat paket akan di antarkan apalagi paket COD. Jadi saya bisa memantau apa …",JNT,Sulawesi Barat
2,"Proses dan respon kurir sangat lambat sudah 6 hari belum di kirin paket say gak tau kedepannya akan sampai atau bagaimana, tolong ya 🙏 …",JNT,Sulawesi Barat
1,"Sangat mengecewakan pelayanannya, saran aja buat teman-teman yang ingin mengirim atau menerima barang dipikir-pikir lagi jika melalui J&T soalnya pelayanannya sangat-sangat tidak memuaskan",JNT,Sulawesi Barat
1,Wei kasian paketku dari tgl 5 tdk dikirim2 malah ditampung sdh 2 minggu saya tunggui. Apakah kendalanya? Banyaknya mi org harap paketnya tiba sesuai estimasi ini malah ditampung lebih mi 10 hari estimasiku. Bagus bammi dari makassar ke Belopa ini transit di Polewali baru lamanya 😡 …,JNT,Sulawesi Barat
1,"Paket stuck
Sudah 5 hari sejak tanggal estimasi belum ada info lanjut mengenai paket tersebut. Sudah ada 13 hari namun paket malah stuck dan tidak ada update terbaru. Hadehhh matanggali tau.",JNT,Sulawesi Barat
1,Sangat mengecewakan pelayanannya. Paket sudah seharian dianttar kurir kemudian ditunda. Hingga sekarang belum sampai ditangan paketnya,JNT,Sulawesi Barat
1,"BTW kenapa j&t dipolewali lambat sekali prosesnya,sudah berhari-hari paket sampai tpi tidak diproses, klw emg sudah tidak mampu lebih baik tutup kasihan customer yg sudah bayar mahal2 paket malah gk sampai2, daripada merugikan customer, dzolim sekali ini",JNT,Sulawesi Barat
1,"Jnt Polewali ada kariawannya sih kenapa paket di tampung berhari hari,,, kalau gak tahu kerja Minta tutup aja ...Mungkin ini terakhir kali pakai Jnt... Taiii",JNT,Sulawesi Barat
1,"apa nda sehat ko kerja semua, brp hari mi tongan tinggal paket ku di kantor mu. padahal paket reguler itu nah na lewat sekali mi lambatnya jangan mi dia kalo paket economy. Jgn ko jadi kurir kalo nda mu kuat ii ner, masih banyak ji orang amanah bisa gantikan posisi mu.",JNT,Sulawesi Barat
1,"udah pengiriman nya lama,,
di tampung di gudang lagi
perasaan saya pake nya yg reguler yaa?? …",JNT,Sulawesi Barat
1,"saya pakai jnt karena supaya katanya cepat dan aman tpi sdah 5 hari tidak ada sampai"" statusnya masih di jnt Polewali belum ada pengantaran ke alamat yang dituju, terakhir kali pakai jnt.",JNT,Sulawesi Barat
1,Main Nerima paket. Padahal sy belum nerima. Giliran dilaporin pusat. Play victim blabla. Aku selalu ada dirumah bilangnya ga ada. Males nganter ke rumah. Ada nomor wa malah ga wa. Kurir tergoblok!! Dan sy baca semua ngasih ulasan bintang 1. U know lah berarti emang semua kurir & pegawainya bermasalah🤣 …,JNT,Sulawesi Barat
1,"Kalau semua orang rate bintang 1 berarti ada yg salah memang dari JNT,, mulai dari kurirnya yg sangat tdk profesional dan sangat tidak ramah, bukan hanya sekali tapi beberapa kali dapat kurir begitu,, tunggu di cht dulu baru paket …",JNT,Sulawesi Barat
1,"J&T gobl*k udh bayar mahal2 malah salah penyortiran, jelas2 situ alamatnya polewali malah dikirim kembali sulsel. Alhasil paket delay 5 hari. Makanya teliti t*lol",JNT,Sulawesi Barat
1,"Saya pesan barang dari makassar, alamat saya pinrang. Kenapa malah diteruskan ke polewali, melewati batas wilayah saya. Bukan itu saja, setiap pesanan dari gundang ini, slalu saja pengantarannya lama skali, bahkan sekali barang hilang........",JNT,Sulawesi Barat
1,"Tabe' paket ku tujuan mamuju sudh hampir mi 2 minggu masih d polewali terus,, apa ada yg punya no kontak pegawainya ?",JNT,Sulawesi Barat
1,"Tlong dong klw mmg sdh di tgn Kurr knp GK di antr ke rmh penerimh kit GK tau brgny tuh penting atau GK
Dri kemaren SD di bwa kurir TPI sampai skrg GK di antr antr",JNT,Sulawesi Barat
1,"Ini pegawainya pada kerja ga si? Pernah 3 mingguan brg di sini terus di return tanpa konfirmasi. Skrg pketku yg express belum dikirim kirim juga (udah nyampe disini). Keknya mending lapor ke pusat si, biar kena peringtan sekalian.",JNT,Sulawesi Barat
1,"Kenapa sekali mi jadi kurir,pemarah skali baru ji jga telatki krna nd ada kouta untuk kabari langsung mi sok ngartis sekali
HERMAN namanya kurirnya orang rea kayak apa saja,tukang emosi sekali …",JNT,Sulawesi Barat
1,"perdana pke jnt polewali dan sngat mengecewakan, paket sdh tiba dari 3 hari yg lalu tpi g dianter"", beda skali dgn jnt mamuju pelayananx memuaskan, amanah, dan peket dianter tepat waktu",JNT,Sulawesi Barat
1,"Saya sebaga penjual dimarketplace sangat kecewa sama jnt yang daerah sulawesi, banyak paket yang balik algi ke penjual sedangkan pembeli selalu menanyakan ""paket saya mana, paket saya mana"" padahal kendala nya di jnt nya. ini tuh SDM nya …",JNT,Sulawesi Barat
1,"Kurirnya J&T polewali tidak profesional, paket kebanyakan diambil dikantor krna kurirnya Si Paling Mager ngantarin Paket tepat waktu, bahkan paket biasa di Retur padahal kita yg punya paket tidak pernah melakukan retur",JNT,Sulawesi Barat
1,"Tolong paket saya di kirim yah jangan di tampung di j&t polewali sudah 2 Minggu lebih paket saya belum tiba di Luwu timur pake transit segala di Polewali mines si pelayanannya, di karenakan masih tertahan di Polewali. Yang benar dong jangan …",JNT,Sulawesi Barat
1,"Head J&T sepertinya TUTUP MATA, Beberapa Ulasan harusnya di jadikan patokan buat yg lebih baik. Ini gak ada integritas nya sama sekali. Kantor J&T Polewali ibarat RADIO, …",JNT,Sulawesi Barat
1,rumah di jawa paket dikirim ke sulbar?????? paket yang harusnya nyampe 2-3 hari jadi seminggu lebih mana gaada kabar jnt akhir akhir ini lagi kenapaaa?,JNT,Sulawesi Barat
1,"Kenapa ini orang j&t Polewali tidak becus kerjanya, paket orang weee banyak ta tumpuk di kalian sampai berminggu Minggu kirim sudah paket orang woiii. Di tahan di sana terus anjir. Sudah ada yang butuh. Mau hampir satu bulan anjir. Gak usah …",JNT,Sulawesi Barat
1,"Udh ke sekian kalinya ini paket di kubur, yang lain aja kek Makassar gercep gak pake nunggu tuh paket jadi lumut",JNT,Sulawesi Barat
1,"Klo rekrut karyawan itu cari yg amanah, bertanggung jawab, masa paket 3 hari belum dikirim2 ke kota tujuan,
Saran saya sih, tutup aja jnt polewali yah, malah bikin ribet proses pengiriman, …",JNT,Sulawesi Barat
3,"Barang pesanan Saya selalu berhenti lama di sini J&T Polewali, Sekarang sudak agak mendingan dari yang lalu...Semoga lebih bagus lagi kinerjanya di masa mendatang...",JNT,Sulawesi Barat
1,"Pegawai jnt gak becus,tgl 8 nyampe polewali sampai skrg belum juga d antar,jangan pake j&t kalau barang penting/ buru2,bayar mahal Expres tapi rasa ekonomi 👎👎👎👎 …",JNT,Sulawesi Barat
1,"Sudah 3 kali  pesan pasti ujung ujunganya ditahan,,penjual ngirim tepat waktu tapi pas nyampe malah ditahan digudang,,tolong J&T ekspress dihapus saja,buruk pelayanannya,kalau bukan kita hubungi kurirnya ndk bakal diantar",JNT,Sulawesi Barat
1,"Pengiriman paket nya lamaaaaaaa bgtttttttt,kalau kirim paket cepat2 lah,jangan malasssss!!!",JNT,Sulawesi Barat
1,Ga mau kerja emang ni org tolol jnt polewali,JNT,Sulawesi Barat
1,"Ai aiii J&T Polewali ji, he coba liat dulu itu ulasannya masyarakat harusnya sadar² ki sedikit bukannya tambah nd beres tambah lelet, bnyak yang mengeluh gegara nd bagus pelayanan ta, paket di tahan, drop point, status sudah di kirim dari …",JNT,Sulawesi Barat
1,"JNT sini ga becus kerjanya, paket dikirim tgl 1 sampai skrng ndak jelas, malah diretur. Kurir TDK pernah menelpon ke tujuan. Tidak Ada konfirmasi sma sekali Dari pihak JNt sana. Klo ndak mau susah, jangan kerja di expedisi, Kita pelanggan percaya sma JNt, tpi karyawannya yg bikin cacat. Miris.",JNT,Sulawesi Barat
1,"Ada yang tau nomer WhatsApp nya ini j&t polewali paketku non cod tidak bergrak"" pi sdh 3 hari sedngakan yang cod sudh bergerak deh kenapa mi dia ini pelayanannya begini sekali",JNT,Sulawesi Barat
2,"Pelayanan jadi PR, perlu ditingkatkan. apa memang estimasi barang pada aplikasi shopee dan estimasi pengiriman barang pada j&t bisa berbeda? Ini perlu dilakukan evaluasi, Krn menurut j&t estimasi barang tiba lebih lama dr sistem di aplikasi shopee.",JNT,Sulawesi Barat
1,"Kok sering banget yah paket itu tertahan di dsni sampai 2 hari, pdahal udah sampai dari kmrin2 loh, MENDING TUTUP MIKI ITU KANTOR KALAU KAYA BEGINI JI PELAYANANNYA, nnti buat baru lagi cari pegawai yg bagus2 😆 …",JNT,Sulawesi Barat
1,"Selamat siang mau tanya ko paket saya tertahan di UPX GETEWAY POLEWALI yah tulisannya sudah terkirim tapi paketnya ngak nyampe"" di tomoni sudah 3 hari tulisan paket akan di kirim ke tomoni tapi tidak sampai"".
Mohon berbaiki pelayanannya🙏🙏 …",JNT,Sulawesi Barat
1,"Pelayanan kurir sangat buruk
Bahasa yg digunakan Sangat tidak sopan kepada pelanggan..",JNT,Sulawesi Barat
1,"Waduh, parah sekli ini jnt polewali, masa sampai seminggu paket stuck nggak dikirim kirim, dan saya liat ulasannya memang parah jnt dsini, mending paket tdak usah transit untuk daerah sini, bobrok skli sistem pelayanannya sampai molor. 🤬🤬🤬🤬 …",JNT,Sulawesi Barat
