Rating,Reviews,Company,Province
1,"Sudah 3 hari lewat dari tgl yang seharusnya di kirim ke alamat pembeli, paket sudah sampai tgl 27 di makassar tapi saat ini barangnya belum dikirim juga, tolong dong gak usah pakai jasa ini lagi sangat tidak profesional, besok sudah tahun baru rencana produk di pake pas tahun baru malah lama sekali kirim",JNT,Sulawesi Selatan
1,"paket gue g jelas dmna, statusnya ngestuck ga jelas l, estimasi pengiriman 5 - 8 hari, dikirm tgl 12 smpe tgl 23 paketnya masih di tmpt hubungin cs malah di suru tgg doang g di kasi tau dmna paketnya, GAISSSS GA USAH PAKE JASA INI PLISSSS BOBROK BNGTTT CS NYA JGA NGESELINNNN HAHAHA",JNT,Sulawesi Selatan
4,"kalau lagi bayar sama kurir selalu ada lebihnya seribu, bukan soal uangnya tp kan tidak sesuai dengan yang di nominal harga, beda denga dengan kurir 2 yang lain",JNT,Sulawesi Selatan
1,"Kecewa sama jnt masa 2 hari paket menuju ke rumah ,,tak sampai2 ,,",JNT,Sulawesi Selatan
1,Kenapa paket saya nyasar ke daerah lain?? Dan Smpai skrg Msih ter hold …Sdh 2 minggu sy belum terima barang …… express apanya klo gini… MIRIS LOL,JNT,Sulawesi Selatan
1,"Paket masih lama di sortir padahal besok mau  ambil paket secepatnya,tolonglah kalian itu melayani pelanggan harus cepat jangan lambat kayak siput",JNT,Sulawesi Selatan
2,Paling malas kalau paket lewatnya di Makasar lama bisa sampe 5 hari beda dengan palu cepat,JNT,Sulawesi Selatan
1,"Masa mks ke sultng(luwuk) smpe seminggu
Sama kaya dari jawa ke sulteng seminggu juga.
Di proses dimakassar aja 3 hari masih belum dikirim ke tujuan slanjutnya, ga lagi2 order dari makassar",JNT,Sulawesi Selatan
1,HAL PALING TERBURUK DI J&T ketika Menunggu Barang /Paket Yang Alasannya Salah Sortir yang Berulang-ulang selama 3x … Alamat tujuan ke Makassar malahan ke Polewali Statusnya … dan itu berulang 3 x . Kesalahan yang Berulang-ulang itu Namanya …,JNT,Sulawesi Selatan
1,"Kecewa saya pake jasa J&T Expres, katanya express nyatanya lama sekaki baru penganteran",JNT,Sulawesi Selatan
1,Paket saya terhenti sejak 21 januari 2024 di gudang sortir makassar dan sudah dinyatakan hilang sejak 5 Februari tapi hingga 1 maret proses klaim barang saya tidak kunjung selesai. Sudah berulang kali saya menelfon ke call center pusat dan …,JNT,Sulawesi Selatan
1,"Kurir dg nama Nandhito tidak ramah, marah2 krn kondisi rumah kosong. Perlu diketahui tidak semua pengirim memberikan nomor resi paket sehingga penerima tidak dapat mengecek keberadaan paket.",JNT,Sulawesi Selatan
1,"WAJIB DI AUDIT !!!! JnT cabang makassar banyak human errornya, paket tujuan maros malah dikirim ke selayar. udah 15 hari ga sampe2 woe!!",JNT,Sulawesi Selatan
1,"Tolong di perhatikan bener untuk daerah batua raya, kurirnya perlu di perhatikan lagi
Itu kurir ada kerjasama dengan costumer, saya kirim paket di retur tapi barang saya diambil",JNT,Sulawesi Selatan
1,Paket sudah sampai di Makassar... Eh malah kembali ke Maros lagi😁😁😁. Sessajaki …,JNT,Sulawesi Selatan
1,"Mengecewakan.. Paket yg seharusnya tiba tgl 19 maret sampai sekarang belum sampai. Status pengiriman masih sama, masih berada di pusat sortir Makassar, pdhal sy pesan dua paket yg sama, nomor resi yg berurut dr toko yg sama, malah cuma 1 …",JNT,Sulawesi Selatan
1,kurir atas nama rama ependy jafar sangat kurang ajar. cht harus di bls di menit yg sama padahal tidak semua org stay dgn hp,JNT,Sulawesi Selatan
