Rating,Reviews,Company,Province
1,"Kurirnya ga jelas, kalau ga niat kerja mnding berhenti sj, paket yg sy pesan sistem cod tetap sy bayar kalau di antar nya ke rumah, ini belum di antar blum apa udh  di balikin ulang ke kantor emng g jlas sklii sy kira kurir j&t bakal lebih …",JNT,Sulawesi Tengah
5,"J&t sekarang sudah makin membaik, estimasi 3 hari tepat, kurir kalau mau antar paket pasti di chat dlu.
khususnya kurir yg antar paket bagian palu timur mantap. …",JNT,Sulawesi Tengah
1,"Masa paket ku kalau mau di antar tunggu sy balas dulu, aih paket yg saya tunggu tunggu berapa hari tdk jdi di kirim gara gara kurir nya begitu malas mending pakai jasa lain tau bgtu",JNT,Sulawesi Tengah
1,Sudah pukul 08.27 belum melayani pengiriman parah sekali jnt,JNT,Sulawesi Tengah
1,"Paketku kenapa tiba2 di kembalikan padahal dan nomorku tiba2 di bilang tidak valid,kurirnya sudah sy hubungi berapa kali tidak di angkat di wa TDK di balas,sangat2 buruk, …",JNT,Sulawesi Tengah
1,"Yang harusnya di anter malah ga di anter, jadinya gini deh🤏🏻 …",JNT,Sulawesi Tengah
4,"Kadang2 pengiriman barang emang lama.
Tapi saya sarankan untuk langsung mengecek kiriman ke kantornya setelah 3 hari barang terkirim.",JNT,Sulawesi Tengah
1,Paket tiba tiba di kembalikan. Tidak ada konfirmasi langsung ke penerima paket. Padahal nomor yang tertera aktif + nomor WA. Kata kurir pelanggan tidak di tempat. Padahal buktinya bukan di tempat saya + bukan foto penerima. Dear HRD JNT TOLONG KALAU TERIMA KARYAWAN LEBIH DI TELITI. JANGAN SEPERTI INI!,JNT,Sulawesi Tengah
1,"Barang orang bukannya dianter malah ditumpuk, mana alesannya penerima gabisa dihubungin. Padahal dari kurir sampe kantornya gaada nomer yg aktif. Sehat sehat dah jnt palu, kalo ga niat tutup aja ngapain kerja seenaknya gitu",JNT,Sulawesi Tengah
1,Paket saya hilang dan tidak ada pergantian sama sekali . Semua saling lempar . Tidak ada tanggung jwb semua !! Pihak jnt tidak bertanggung jawab . No saya di blok !!! …,JNT,Sulawesi Tengah
2,"Tolong JNT palu, kalau bisa kasih peringatan kepadan JNT luwuk utara (JNT kilongan) biar ada perhatian, keterangan paket sudah di banggai, tapi begitu dijemput langsung di kantor kata petugas paket belum di bongkar dll, bagaimana pengaturan …",JNT,Sulawesi Tengah
1,"Lebih bagus yang di Sigma lalu, ini lama sekali orang ba tunggu, baru kurirnya marah marah, sedangkan teada dia ba telp mau antar paket, baru orang so lama ba antri dorang cuma mengomel mengomel juga",JNT,Sulawesi Tengah
1,"pelayanan buruk bagus ditutup saja kalau tidak becus melayani, itu paket sampai lambat lambat dan bertumpuk maksudnya apa? tidak becus cari karyawankah? tidak becus kerja? atau memang sengaja dibiarkan menumpuk?",JNT,Sulawesi Tengah
1,"Pelayananan lama sekali, antri dari jam 12 siang jam 4 baru ada barangnya,
Durasi staf cari barang bisa sampai berjam2,
Seharusnya ada antisipasi Overload spy pengambilan barang Lancar,",JNT,Sulawesi Tengah
1,"Pelayanan jasa pengiriman paling buruk di kota palu, tidak ada baiknya sama sekali pelayanan jasa kiriman ini, CS cuman 1. Antrian menunggu sampai 4 jam.",JNT,Sulawesi Tengah
1,Paket saya sudah 2 minggu lebih ga smpe” nah hari ini tertulis paket sy akan d antarkan ke tempat tujuan jadi sy tlpn mas kurir yg sering antar” sy bicaranya dengan nada yg sopan dan halus eh kurirnya malah kasar cara bicaranya dia blg …,JNT,Sulawesi Tengah
1,Kurir nya sangat tidak ramah. Belum ada konfirmasi langsung dikembalikan barang.,JNT,Sulawesi Tengah
1,"Saya dari riau merantau ke palu, di riau  pelayanan dan kurir JNT itu selalu cepat dan ramah. Tetapi di palu ternyata tidak ada bagusnya sama sekalii !! Ditelfon ga diangkat, dichat gak dibalas!",JNT,Sulawesi Tengah
1,"seharusnya diberitahukan kalau pakai nomor antrian ya kak, biar pelanggan yg datang tdak bingung. Dan jam tutup dan jam maps disesuaikan kak. terimakasih",JNT,Sulawesi Tengah
1,"haha entah lah kecewa sklih dgn j&t hj hayun in lebih parah lgi kurir nya,,entahlah pemalas atau bgaimna nti in sy dpt bgini,,b blng so di jln mo antar paket eh tgu² teada jg,dpe lusa lgi ba wa kk mo antar dimna dpe paket,kita so srlok,trus …",JNT,Sulawesi Tengah
1,"Parah 3x bolak balik jnt status barang sdh sampai ternyata belum sampai sdh waktu estimasi paling lambat aja barang belum nyampe""",JNT,Sulawesi Tengah
1,Paket lama sekali di antarkan sudah 5 har masih transit sangat mengecewakan,JNT,Sulawesi Tengah
1,"Sy jauh2 datang & cepat2, pas sampai JNT ternyata sudah tutup padahal belum jam 22.00 dan bukan hari libur. Makanya kalau memang tutup sebelum jam 22.00 ya jangn dicantumkan supaya saya dan orang-orang lainnya tidak kecewa pas sampai tujuan",JNT,Sulawesi Tengah
5,Pak masih ada lowongan kerja disana,JNT,Sulawesi Tengah
1,Sering salah sortir paket keliling pulau kurang teliti,JNT,Sulawesi Tengah
1,"Paket sdh 5 hari smpe tp kurir tdk antr trs update d aplikasi sdh d krm bgt trs slma brhri hr,,trkhir update penerima paket menolak.. pdhl biar dp byangn mcm tead lewat d muka rmh..yg bisa d cantumkan nmr nya kurir,skrng tead jd susah d tau",JNT,Sulawesi Tengah
1,"parah banget,,, di maps tulisan tutup nya jam 22.00,, ternyata jam 19.46 ke TKP udah tutup,,, mana udah jauh"",, tolong di ubah dong jam di maps nya, biar gak ada yg ketipu lagi, hadeh",JNT,Sulawesi Tengah
1,"Barang saya dari jakarta tujuan kab. tojo una-una, pas dikirim dari jakarta ke Palu cuman 1 hari nyampe di Palu, pas sampe di Palu kiriman sy sdh 3 hari smpe skrng blum di kirim2 jg ke tojo una2, cuman dapat notifikasi akan di krim ke Tojo …",JNT,Sulawesi Tengah
1,"Tolong pihak jnt untuk daerah cik ditiro baru saja terjadi seorang kurir jnt yang masuk ke dalam rumah costumer alasan mengantar paket tp malah buka pintu, smua pintu kamar terbuka dan bermain di dalam rumah tolong d tindak …",JNT,Sulawesi Tengah
1,"Secara pribadi saya sangat suka manajemen J&T ketimbang lainnya, khususnya di Pulau jawa J&T masih yg paling sering saya andalkan untuk pengiriman cepat. Tapi entah kenapa J&T di Palu dan Poso ini ngadi-ngadi sekali. Pelayanan sangat …",JNT,Sulawesi Tengah
3,Di tulis buka hari Minggu dari jam 8. Mau jam 10 tidak ada buka. Tolong konsisten kalau mau tlis jdwal buka,JNT,Sulawesi Tengah
1,Nomor belum di hubungi dan statusnya belum diantar tapi paket statusnya di tunda alasan nomor saya tidak bisa dihubungi padahal tidak ada di hubungi,JNT,Sulawesi Tengah
1,"Kejadian yang ke-2 dengan J&T Palu Selatan. Paket saya dikirim dari Jakarta pada kamis, 21 Februari 2019. Senin saya tracking, paket ditulis sudah diterima atas nama ""lina""pada minggu jam 20.00 pm, saya kaget karena belum menerima …",JNT,Sulawesi Tengah
1,"Buat kurir atas nama moh surya septia
Knpa paket nya di expedisi udah di terima, saya atau org rumag gak ada yg merasa menerima nya , ini jga saya bayar bukan gratis Gini yah kalo paket blm tangan …",JNT,Sulawesi Tengah
1,Ditunggu di rumah paket lama sampai alasan salah sortir terus pengantaran gagal sampai 3x. Ketika dijemput di Drop Out costumer ditutupkan pintu tanpa penjelasan. …,JNT,Sulawesi Tengah
1,"Pelayanan Buruk, estimasi selalu lambat sampai tujuan, alasan salah sortir, dan ketika pengantaran selalu gagal sampai 2x tanpa menghubungi sebelumnya. …",JNT,Sulawesi Tengah
1,"Hello J&T kenapa paket ku sudah diterima 5 hari yang lalu tapi belum ada sampai di tangan ku. Dan paket kedua seperti itu lagi,namun belum juga sampai. Kemana barang-barangku?. Tidak bertanggung jawab sekali. Gak 2x pakai jasa ini,merugikan. Semua customers marah-marah n ngebatalin membeli.",JNT,Sulawesi Tengah
3,"Pertama kali main di J&T. Berhubung dekat lebaran pasti pengiriman akan lambat, barang overload. Jadi jemput sendiri, satu bintang lagi jika buka pelayanan tepat waktu. Saya harus menunggu beberapa menit karena lagi atur barang masuk. …",JNT,Sulawesi Tengah
1,"saya komplain dgn pelayanan dari kurir J&T palu, kurirnya dihubungi nda ada jawaban, di sms ngga ada balasan. dan mengaku kemarin datang ke kantor bahwa paket CODnya ngg bisa di titip sama satpam via sms mreka informasikan ke saya dan saya …",JNT,Sulawesi Tengah
5,Alhamdulillah kurir jnt kali ini ramah dan sopan hehe...,JNT,Sulawesi Tengah
1,Apa2an ini barang belum di Trima statusnya sudah di Trima.Katanya kurir telp tapi hp saya tidak aktif.hp saya aktif 24 jam.Tadi Juga saya di suruh ambil paket di agen pasar tua tapi karna nyasar saya tlp bpk2 yg tlp saya yg bilang kurirnya …,JNT,Sulawesi Tengah
1,Paket dari tgl 3 sampe sekarang g di kirim kirim. Lu pikir itu deposito kali lu simpen dapat bunga. Klo g niat kirim mending tutup aja cabangnya. Atau g yg g niat kerja resign aja.,JNT,Sulawesi Tengah
2,"Penulisan penerima di resi pengiriman salah, padhal di paket sudah jelas tertulis 🫠 …",JNT,Sulawesi Tengah
1,Kurir yg namanya Moh. Rafi gamau antar paket ke penerima. Kurir yg pemalas harusnya di pecat saja. Memalukan J&T saja.,JNT,Sulawesi Tengah
1,"Ini JnT palu.. Pelayanan menyakitkan😡😡  bikin emosi.. Brang sya dari palu ke malili sulsel belum dikirim"" Sudah 5 hari blum ad oprasi pengiriman..
Klau begini trus.. Tutup sja.. Ato sya ratakan😡😡🤬🤬 …",JNT,Sulawesi Tengah
1,Paket kagak dianter anter terus pas dilihat udah diretur,JNT,Sulawesi Tengah
1,"Barang gw udah 3 minggu gak dikirim2 ke jakart status masih gateaway aja , buruk sekali pelayanan kalian",JNT,Sulawesi Tengah
1,"Bad experience with this branch office .
JnT nya gak masalah , pekerjanya yang masalah :(
Status dishoppe tidak sesuai dengan realita , alhasil ujungnya tertulis sudah …",JNT,Sulawesi Tengah
1,Pengiriman lambat,JNT,Sulawesi Tengah
1,"Nungguin barang yg dikirim lewat jnt ni lama banget udah kelewat 5 hari dari tgl yg ditentukan, tolong dong, pas dilacak barangnya dipalu timur mulu, kapan nyampenya mendek 5 hari , tolong dong katanya expres ko' malah paling lama ngirim barang orang",JNT,Sulawesi Tengah
1,"Paket berhari hari masih on proses terus padahal sudah dikirim dari pusat transit 5 hari sebelumnya.. hubungi kontak koordinatornya yg di bagikan di sosial media tapi tidak aktif"",, hubungi kontak supervisornya tapi tidak dijawab.. cek ke kantor,, tidak ada solusi yang diberikan petugasnya malah seolah olah lepas tanggung jawab..",JNT,Sulawesi Tengah
5,Mantap JNT,JNT,Sulawesi Tengah
1,Pengiriman 2 paket dari dua kota yg berbeda ke palu dan saat di lacak tenyata 2 paket itu sdh di palu bersamaan di tanggal yg sama tetapi kurir hanya membawa 1 paket saja ke alamat tujuan dan paket yg satu harus di ambil sendiri di kantornya. Kenapa tidak bersamaan saja pengantarannya? Kerja 2x lagi,JNT,Sulawesi Tengah
1,"3 hari keterangan tracking ""paket di simpan di gudang"" apaan sih gajelas",JNT,Sulawesi Tengah
2,"Mungkin sedang apes saja. Paket terlewat 1 hari dari jadwal, dan ketika di cek di kantor J & T Palu, paket sedang di bawa kurir. Namun, no. Hp kurir yang diberikan tidak bisa dihubungi. Hingga menjelang sore, harus kembali ke J&T. Syukurlah, paket ada dan dalam kondisi yang baik",JNT,Sulawesi Tengah
2,Paket buln desember 2023....d suruh ambl sendri..pdhl ongkir reguler 🤦🥴 …,JNT,Sulawesi Tengah
1,"Knapa paket saya blum dikirim""dri tanggal 3 transit dan di status aplikasi sdh dbrangkatkn kmorowali, ini sdh tanggal 9 masih dstu""aja.
Tolong dkrimkan segera😠 …",JNT,Sulawesi Tengah
1,"Saya sebagae penjual sangat di rugikan .ongkir dari malang ke palu itu 1juta lebih kenapa barang gak di antar ke custmer malah di simpan di gudang ,sudah bayar ongkir mahal pak kenapa gak di antar ya j&t sangat ngecewakan ,kalau di return …",JNT,Sulawesi Tengah
2,Paket sudah lewat estimasi tp belum diantar antar kecewa bngt ni sama jnt,JNT,Sulawesi Tengah
1,"Paket ga kunjung datang setelah 2 minggu, mohon rekan2 bila ingin mengirimkan paket menuju sulawesi tengah jgn pernah lagi menggunakan J&T",JNT,Sulawesi Tengah
1,"dikirim dr SBY tgl16 ,tgl 21 masih di surabaya terus...
Pket ke 2 dikirim tgl 12 dr semarang ke palu
So tgl 21 blm smpe 👏 …",JNT,Sulawesi Tengah
1,"Pengalaman menggunakan kurir j&t express di palu sangat mengecewakan, rantai jalur pengiriman sangat panjang yang harus transit ke manado dulu membuat paket ratarata seminggu lebih baru sampai. Padahal dulu j&t tidak begini.",JNT,Sulawesi Tengah
1,"Barang saya di kemanain..kok status pengiriman sdh di terima atas nm sy pdhal blm ada sy terima..kalo barang sy hilang tanggung jawab.
Gak akan pake lagi jasa J&T Express..
KECEWAAAAAAAAAA",JNT,Sulawesi Tengah
1,"Sya cek paket saya di J&T waktu hari rabu katanya paketnya sementara diantar kealamat, tapi sampai sekarang belum nyampe"". Lacak paket selalu tertulis,
(PALU TIMUR) sprinter (Muhammad juanda aditiya) sedang mengirim. Dihubungi no.tlpn j&t nggak diangkat.",JNT,Sulawesi Tengah
2,"Pelayanan kurang optimal
Semuanya jadi antri panjang
Petugas cs hanya 1 orang",JNT,Sulawesi Tengah
1,Paket saya dr hari jumat belum dinatar sma kurir an .bayu rezka..... udah ditelponin lgsg ke kantor malah gak diangkat. Ini J&T gimana sih? Mengecwakan sekali J&T... paket orang gak diantar2 . ..,JNT,Sulawesi Tengah
1,J&t mengecewakan brng sdh smpe dipalu tpi tdk diantr2 sdh 1 minggu....gk abakal lgi aku pke pengiriman in menjegkelkn tdk ad kbr pula mau antr brng,JNT,Sulawesi Tengah
1,"D map jam kerjanya sampai jam 22.00 tp kenyataannya sdh tutup, lucunya, adminnya n org2 d dalam masih bnyak pas kita masuk d blg sdh tutup pdahal baru jam 18.40. ini sebenarnya jam tutupnya jam brp?",JNT,Sulawesi Tengah
1,"Pelayanan jasa pengiriman paling buruk di kota palu, tidak ada baiknya sama sekali pelayanan jasa kiriman ini, sekalian sj dtutup kalau cuma bisa mempersulit konsumen😡🤬🤬 …",JNT,Sulawesi Tengah
1,Kurir nya gak ramah banget☺️,JNT,Sulawesi Tengah
3,Lebih baik ambil paket langsung ke kantor jnt karena paket sering tidak dikirim ke alamat oleh kurir,JNT,Sulawesi Tengah
1,Pelayanan buruk..nda ada nmor antrian seperti di jne..jadi kalau mau ambil paket harus berdesakan.. kalau tidak..kadang yang pertama datang bisa terakhir dapat pket,JNT,Sulawesi Tengah
1,Jnt paling tailaso pe bdo anj tdk bertanggungjawab sdh salah pas sy cht malah diblock mmng pelayanannya mcm kudacuki,JNT,Sulawesi Tengah
1,"Barang saya dikatakan telah diterima padahal sama sekali tidak ada barang, telfon, atau sms dari kurir j&t. Kualitas pengiriman yang buruk",JNT,Sulawesi Tengah
1,Parah banget sih kataku mulai kesini makin gak bagus nih ekspedisi,JNT,Sulawesi Tengah
5,"Jasa pengiriman JNT, salah satu pilihan tuk mengirim barang. Alhamdulillah sdah sering memakai jasa pengiriman ini, sejauh ini memuaskan. Ongkirnya terjangkau.",JNT,Sulawesi Tengah
1,"Paraaah,estimasi tgl 3 sampe,sdh 2 hari laporannya di shopee pengiriman paket gagal sdh melewati waktu operasional👎👎 …",JNT,Sulawesi Tengah
1,"Barang di keterangan resi sdh di terima atas nama saya, tapi saya blm menerima barang sama sekali …",JNT,Sulawesi Tengah
2,"Status pengiriman, paket telah berangkat dr Makassar ke palu dr tgl 29, masa sampai HR ini blm ada sampe, paket yg belakang sdh tp yg ini blm ada sampe perjalanan Makassar palu berhari2 naik bis sj TDK berhari-hari, ini terllu lama",JNT,Sulawesi Tengah
1,"Tolong posisi barang disesuaikan dengan systemnya, karena dicek resi sudah diterima tapi ternyata belum, semoga tambah sukses jnt💪 …",JNT,Sulawesi Tengah
1,"Barang saya udah 4 hari belum di kirim ,percuma ada pilihan paket kalau ujung2nya sama. Tolong segera dikirim atas nama suminar bayu",JNT,Sulawesi Tengah
1,"Sudah 2 hari tulisan status paket akan di kirim ke alamat penerima, tapi tidak juga kunjung sampai.
Sediiiih... padahal sudah tinggal kirim juga di lama2in....",JNT,Sulawesi Tengah
1,"Tertulis jam 8 buka, padahal sudah jam 8.30 masih tutup ..
Payahhh",JNT,Sulawesi Tengah
4,"Pelayanan ok. Bagi pendatang akan sulit menemukan, harus benar2 jeli karena plang nama yg terpajang di tepi jalan sangat pudar. Sy bahkan harus memutar 2 kali baru menemukan tempatnya",JNT,Sulawesi Tengah
1,14.07.2019 Suda 5 hari sampenya barang aq d kantor tauwa jnt skrang tgl 19.07.2019 brang blom d bawa k rumah lambat pengantaranya,JNT,Sulawesi Tengah
1,"Paket saya lama banget pihak jnt palu tolong lah kirim paket saya
Kalo lama saya males mau bayar nya juga",JNT,Sulawesi Tengah
1,Pelayanan lambat..Pengiriman dari palu.kurir ambil brg tgl 26.02.2020 sampai skrg 28.02.2020 blum sampai di Buol.pdahal kalau rental biasa hanya 1 malam..ini sdh mau 3 hari.kayak yg dikirim dari luar jawa saja..,JNT,Sulawesi Tengah
1,"Di tracking paket telah diterima, tp nyatanya sampai detik ini paket blm sampai ditangan sy..
Pasti dibilangnya kesalahan sistem lg servicenya sangat tdk profesional",JNT,Sulawesi Tengah
1,sy bisa mnta nmor kurir JnT palu selatan..brang sy sdh smpe 2 hri lalu dn belum diantr tp ditstus shope sdh diterima..pdhal smpe dtik ini brg sy blum ada dn tdk ad kurir nelpon juga mw krmh.,JNT,Sulawesi Tengah
1,"tolong dong pelayanannya ditingkatkan, barang udah sampe palu tapi belom di antar, saya cek katanya nomor tidak bisa dihubungi, ini gimana sih, sy coba telpon berkali2 gak di angkat juga",JNT,Sulawesi Tengah
1,"barang tidak diantar2! telfon ke kantornyapun tidak diangkat. masa iya kita sudah bayar ongkos kirim, tetapi harus antri lagi ambil barang dikantornya",JNT,Sulawesi Tengah
1,"Tolong telpon lagi nomor telepon yang ada di paket ats nama vinie katia jln soekarno hatta btn banua tadulako blok g no 9,nmr telpon tidak bisa di hbungi berarti jaringan lagi tidak bagus,jangan main asal bilang telepon bermasalah",JNT,Sulawesi Tengah
1,Saya di kerjain suruh datang ambil paket di lokasi bahodopi tapi ternyata sudah tutup permanen. Maksudnya apa itu ?? Saya datang jauh2 ternyata di tipu.. jangan sampai di jalur hukum. Saya punya bukti sms,JNT,Sulawesi Tengah
2,Semakin berkembang pelayanan semakin lambat. Biaya pengiriman semakin mahal tetapi pengiriman semakin lambat. Harus lebih ditingkatkan kecepatan dalam pengiriman. …,JNT,Sulawesi Tengah
1,Ini jnt yg tukang parkirnya tidak ada etikanya.,JNT,Sulawesi Tengah
2,"Knp br kali ini brangq sdh dtg dikntr tp pihak.jnt g da nelpon n diantr kermh,,sdgkn sy hax drmh trs menunggu brangq,,,",JNT,Sulawesi Tengah
1,"Penghabisan pakai jasa j&t.. dlu cpat skali brangx smpai... skrng lambat skli dtg, sdh lambat.. brangku di sortir ke kendari lgi, pdhl brng sdh smpai di palu.. 😢😢 mna itu brang jualan... …",JNT,Sulawesi Tengah
1,TIDAK BERTANGGUNG JAWAB DENGAN BARANG SEHINGGA BARANG HILANG. PDHL SY SDH KE KANTOR JNT. KATANYA KURIR SIMPAN BARANGNYA. LAH KNAPA DI SIMPAN TDK DI TELPON PEMILIK BARANGNYA. DAN HANYA MENYIMPAN DIRUMAHNYA SENDIRI. SAMPAI SKRG BARANG SAYA TDK ADA. BURUK SEKALI,JNT,Sulawesi Tengah
1,"Barang ga ada perkembangan, dah di cek resi barangnya masih disitu"" aja, ditanyain di csnya malah ga dijawab:"")",JNT,Sulawesi Tengah
1,Barang sy tertahan sudah 7 hari di transit center palu,JNT,Sulawesi Tengah
1,Paket seenak jidat diretur lagi ke penjual,JNT,Sulawesi Tengah
2,"Paket sy udah sampe dari tanggal 14 yang lalu tapi sampe sampe skarang gak di antar juga, agak kecewa sama pelayanan j&t express palu",JNT,Sulawesi Tengah
5,Pelayanannya bagus. nggak perlu antrian lama kalau mw ambil barang di kantor j&t.,JNT,Sulawesi Tengah
3,"Slmat sore, mau nanya utk pengambilan paket sampai jam berapa?",JNT,Sulawesi Tengah
1,"paket saya dari tanggal 8 sampe sekarang statusnya masih di sana aja ga dikirim ke morowali sebel asli, ditelfon ga angkat",JNT,Sulawesi Tengah
1,Barang saya katanya sudah di antar sma yg nmanya syarifudin. 2 hari yang lalu. Tapi sampe sekarang blum ada juga. Bgmna ini. Tolong di antar atas nama fadila.,JNT,Sulawesi Tengah
1,"Pelayanan nya kurang bagus, barang sudah tiba di palu tapi sampe berhari hari baru di antar ke alamat hadeuhhh",JNT,Sulawesi Tengah
2,Lalu kemari mau ambil kiriman.jam 10 pegawai yg pegang kunci lom masuk.hal hasil kiriman .lambat sampy,JNT,Sulawesi Tengah
1,ini gimana sih jntnya saya udah 4 hari nunggu barang saya tapi kok belum ada jga,JNT,Sulawesi Tengah
1,"Paket sy sdah lama sampai tapi blmdi antar2 maksudnya apa ini ..
Sangat kecewa 😡😡😡 …",JNT,Sulawesi Tengah
5,"Kalau ambil barang cepat disini, barang udah sampe juga di telepon, semoga ini terus menerus seperti itu. Godd job",JNT,Sulawesi Tengah
1,"Paket belum sampai di alamat, udah direturn",JNT,Sulawesi Tengah
1,JNT expres ga jelas dan segera dilaporkan di DPR,JNT,Sulawesi Tengah
1,Pelayanan kurir lebih di ajarkan tata Krama untuk berinteraksi sama pengguna jasa,JNT,Sulawesi Tengah
1,Tidak ada bgus2nya pelayanannya😩 …,JNT,Sulawesi Tengah
