Rating,Reviews,Company,Province
1,"Kurir pemalas.
Paket sudah didrop point dari tgl 4, tapi sampai tgl 6 tidak diantar. Tulisan diaplikasi nomer pelanggan tidak sesuai. Padahal hp selalu aktif. Tidak ada kurir …",JNT,Sulawesi Tenggara
1,"kurirnya pemalas, sdh berkali kali saya pesan paket diantarnya ke rumah tetangga, cm difoto pas saya chat dan telpon ditolak dan tdk digubris. jdi sy harus dtg ambil sndiri paketnya, gmn kl paket saya hilang diambil org? mau tanggungjawab? jelekkkk -0000000",JNT,Sulawesi Tenggara
1,"Bagusnya Kurir atas nama ""Andar"" di keluarkan saja atau di pindahkan lokasinya, supaya dia kapok juga, sudah beberapa orang yang keluhkan tentang dia
Termaksud saya , bagaimana bisa kita tanya baik² mengenai paket langsung tiba tiba di blok dengan alasan tidak masuk akal.",JNT,Sulawesi Tenggara
2,"Pelayanannya buruk. Dtng mau ambil paket sdh ada resinya dikasih da bilang ndd paketnya. Dsruh cek ulang marah"". Besoknya sya dtng ulang bilangnya tercecer. Memang dasarnya saja pemalah",JNT,Sulawesi Tenggara
1,"KURIRNYA PEMALAS ""andaryasih"" paket ku sdh brp kali mi di return, skrg jg sa blm dapat kunfirmasi nya knp bisa tidak di antarkan,krna sa di blok sama bliau.🙏🙏 …",JNT,Sulawesi Tenggara
1,"pelayanan jelek,saya blg mau ambil dikantor karna tidak sedang dilokasi ,malah diretur paketnya..",JNT,Sulawesi Tenggara
5,"Saya mau return barang, langsung diproses sama mas kurirnya di sini. Terima kasih mas kurir, sehat selalu 🙏 …",JNT,Sulawesi Tenggara
1,"Sungguh pelayanan yang sangat buruk,,paket saya yang seharusnya sudah datang 3 hari yg lalu masih belum di antar sama kurirnya,,jujur sj dalam hati sy ini jnt sangat mengecewakan",JNT,Sulawesi Tenggara
1,"Kantornya tutup saja
Penimbun paket, gk ada kurir semua 0, kt diksh menunggu 3 jam tp pket ndd kan tai",JNT,Sulawesi Tenggara
1,Jnt terburuk di Kendari keriawan nya pemalas dan sangat tidak ramah terhadap costumer tutup saja jnt cabang baruga,JNT,Sulawesi Tenggara
1,"Pelayanannya kurang, customer service yang sedikit. Antrian yang tidak teratur. Dan ruangan yang sempit dan panas. Kurir-kurirnya banyak yg tdk tahan dan banyak alasannya jika antar paket. Mohon Manajemen J&T perbaiki lagi servicenya, sehingga customer bisa betah dan memberikan respon yg positif.",JNT,Sulawesi Tenggara
1,"Pelayanan terburuk,, pulang balik ke kantor nya cman untuk ambil paket yg berhari"" nggk d antarkan
Paket sdah 4 hari di kantor , kurir tdk prnah antar, tidak ad konfirmasi dri …",JNT,Sulawesi Tenggara
1,"Udah jam 10 pelayanan masih g ada, udh dari jam 9 pagi menunggu, blm muncul pegawainya. aneh juga, padahal pintu terbuka. santai banget kerjanya..., padahal banyak yg sungguh2 mau kerja, malah yg di pekerjakan seperti ini, 🤨, tolonglah, …",JNT,Sulawesi Tenggara
2,Pelayanan bagian admin nya buruk sekali dtg jam 10 dibilang belum buka ... Sekali nya dtg siang jam 01 : 15 bilang masih istrahat... Buka stngh jam lagi.. seenak nya dia yg atur waktu buka nya padahal lagi santai2 ji main hp itu admin di …,JNT,Sulawesi Tenggara
1,Tidak sesuai operasional di jadwal operasionalnya jam 09 sudah buka tapi jam 9 belum buka banyak alasanya jutek pelayananya,JNT,Sulawesi Tenggara
1,"Sdh bayar ongkir TPI nda pernah diantar, dichat juga nda direspon",JNT,Sulawesi Tenggara
1,"Sudah dari tanggal 16 maret tiba barang, ada 3 paket tidak diantarkan, tanggal 22 maret saya cek langsung ke kantor 1 paket nyasar, dijadwal besokx lagi kembali cek. Menyita banyak waktu pencarian barang. Mohon kepada J&T pusat untuk tindak lanjut DC seperti ini, kekurangan karyawan sangat merugikan konsumen. Terima Kasih",JNT,Sulawesi Tenggara
1,"Sangat buruk, paket  belum diterima setelah 1 minggu estimasi pngiriman. Mending pake jasa yang lain deh.. Kapok.",JNT,Sulawesi Tenggara
1,"Pelayanan burukk....
Paket udah lama sampe, tp blum di antar"" akhirnya nyari sendiri ke gudang, antri udah hampir 1 jam blom ada kepastian dan gak ada kejelasan. Di tinggal gitu aja sama staff nya gak tau disuruh tunggu berapa lama. Kecewa banget sama pelayanannya 👎👎👎👎👎👎👎 …",JNT,Sulawesi Tenggara
1,"Buruk sekali, Kurir selalu sengaja untuk blg sudah dari lokasi pengiriman padahal memang belum di antara karna malas saja mengantar, kasihan jadi uang haram kalau upah yang di kasih tidak amanah",JNT,Sulawesi Tenggara
1,"Kurirnya pemalas, nyari alamat saja tidak niat.",JNT,Sulawesi Tenggara
1,Pelayanan buruk…status paket tulisannya “paket akan dikirim ke alamat penerima” pas mau ambil di kantor jnt mengantre lama sekali dan tidak ada terlihat pegawainya,JNT,Sulawesi Tenggara
2,"Manaaaa paketku knp belum muncul² juga,sudah lewat estimasinya ini",JNT,Sulawesi Tenggara
