Rating,Reviews,Company,Province
1,"Sumpah mengecewakan banget dan banget
Paketku kenapa tetap transit woyy
Jnt kurang ajar
Mana responnya udah 2minggu lo",JNT,Sulawesi Utara
1,"Kurir atas nama evan J&T Malalayang sangat tidak respon, paket saya sudah ada info tiba di kantor sampai pengantaran, saya telefon tapi responnya sangat lambat, bikin jengkel",JNT,Sulawesi Utara
1,"Pelayanan yang sangat sangat di bawahh standar,,
Sangat lalai dalam bekerja,
Sangat lambat dalam bekerja …",JNT,Sulawesi Utara
1,"Jasa kirim paling gk becus,mau ongkir reguler trp aja delay,apalagi ekonomi bisa sebulan paket nyampe,ketika di komplaian alasan selalu sama,bukti bahwa tidak ada evaluasi sama sekali di jasa kirim ini👎👎👎👎 …",JNT,Sulawesi Utara
1,"Maaf saya mau tanya sudah tiga hari paket saya belum sampai
Setelah di lacak....paket telah di terimah
Padahal saya belum menerima paketnya..
Jadi bisa fi konfirm masih sama kurir ny..?",JNT,Sulawesi Utara
1,"Kurir jnt Manado tidak ada pertanggung jawaban ketika nomer hp penerima tdk bisa di hubungi tidak ada usaha untuk menelepon nomer pengirim, barang asal di kembalikan lagi ke jnt asal padahal kita kirim barang dengan ongkir 106.000. tidak mau usaha cari alamat nya, tetapi asal di kembalikan barang nya ..",JNT,Sulawesi Utara
1,"Please boleh minta kontak wa? Barang da pesan dr tgl. 9 Juli, dikirim ke Manado tgl 14, ini tgl 18 masa belum sampe? Penting skali kasiang anak mopake tu barang nntau kurir m antar kapan 😢😢😢 besok qt m ke kantor pusat j&t manado, mo cek sandiri jo.. …",JNT,Sulawesi Utara
1,"Paket dalam perjalan dari pagi, tapi konfirmasi nnti so sore pas sdi tmpa krja srta dtnya m ambe ini hari di gudang itu paket dorang so retur dengan alasan overlod, kg alsan pket di tolak cs, kg tu kurir cuma  bilang pesan ulang Jo,",JNT,Sulawesi Utara
1,"Nintau apa sto ini j&t pe maksud paket so 3 hari di manado mar nda da kejelasan sama skali!
Katanya disimpan di gudang j5. Nintau dimana sto tu gudang j5 tu dia. Katanya …",JNT,Sulawesi Utara
1,"oknum kurirnya parah awal wa tidak di respon ,sekali di respon paket di suruh ambil di kantor,setelah ke kantor barang masih di kurir di telp malah tidak di angkat,parah merusak nama baik perusahan,masa paket COD di suruh ambil di kantor",JNT,Sulawesi Utara
