Rating,Reviews,Company,Province
5,"Kantor pusatnya J&T Padang luar biasa nyaman dan bagus, saya kirim paket ke sini jadi lebih senang dan sering ke sini aja",JNT,Sumatera Barat
1,"Kurir yang paling ajar yang pernah saya temui
Pertama alasan paket diantar karena sudah reschedule dengan konsumen padahal saya tidak pernah dihubungi oleh kurir jnt sama sekali …",JNT,Sumatera Barat
1,Barang saya ngk sampai2 kurir ngk amanah cih,JNT,Sumatera Barat
1,"Sampah banget pelayanannya. Paket sudah di padang dari tanggal 6 Januari 2024 namun hingga tanggal 27 Januari tidak sampai ke rumah. Saya bahkan ditelpon disuruh jemput paket sendiri, alasannya kurir kurang. Sudah pergi untuk jemput paket …",JNT,Sumatera Barat
1,"Pelayanan buruk, barang sampai gk tepat waktu gak sesuai estimasi. Paket yg dikirim kan gk jelas keberadaanya. Malah dioper oper dibilang sama kurir ini itu. Sumpah buruk banget, mana disuruh jemput sendiri kegudang. Gk ada otak!",JNT,Sumatera Barat
1,"Paket saya 4x di batalkan sama kurir nya ,saya coba telfon kurirnya tapi tidak pernah aktif,tau taunya pesanan saya di return,kurir nya ngga becus dan tidak pernah coba untuk nelfon saya tolong ya pihak J&T untuk kurir yg seperti itu di …",JNT,Sumatera Barat
1,"Tutup ajalah jd perusahaan ekspedisi kl ndk amanah antar paket sesuai estimasi. Kl isi paket bukan makanan gpp ya telat, lah punya uwe makanan yg mudah basi.",JNT,Sumatera Barat
1,"J&T cabang pantek, paket ndk tibo2 lah dijapuik kasitu keceknyo ndk do, ndk di ceknyo dlu jaleh dibawah kaki pantek andenyo, pecat selah reseptionisnyo tu",JNT,Sumatera Barat
1,"paket udah datang dari 16 nov , coba komplain disuruh nunggu karna alasannya kekurangan sdm , dan hari ini tanggal 20 nov coba langsung jemput ke gudang disini , 1 jam nunggu ga ada hasil 🙂 ga ada kejelasan , capek bgt sama jnt …",JNT,Sumatera Barat
5,pelayanannya ramah dan baik. paket pun aman sampai tujuan dengan selamat. pokoknya mantaplahh!!,JNT,Sumatera Barat
1,Sy ga suka dan kapok pakai jnt.. Barang sdh smpai padang tpi alasannya reschedule oleh penerima.. Sejak kapan kurir jnt minta reschedule  saya..? Kurir pemalas.,JNT,Sumatera Barat
1,"Saya sudah bilang itu makanan tapi malah di bodoh bodohin dilama lama in katanya mau langsung diantar gatau apa bakal basi itu makanan
Sekarang malah di blok sama kurir nya",JNT,Sumatera Barat
1,Tolong sampaikan ke kurir jnt kenapa untuk pembayaran cod dengan nominal lebih tidak sampai 100 perak tetap di bulatkan jadi 1k ? Padahal kami sudah membayar biaya penanganan di aplikasi shopee. Semoga jadi perhatian seluruh jajaran jnt. Thnks,JNT,Sumatera Barat
1,"Paket saya dari tanggal 7 paket menuju lokasi anda, tanggal 8, tanggal 9,10,11,12 selau paket menuju lokasi. Tapi sampai sekarang paket nya nggak diantar"" kurirnya. Tolong dong pelayanan nya dimaksimalkan!! Buruk banget pelayannya. Sudah lapor sana sini tapi nggak ada kejelasan!!",JNT,Sumatera Barat
5,"Setiap  pesanan saya sering d bilang saya tidak d rmh..kalau dlazada tidak pernah pkt saya tdk dtg...kuri slalu ngantar...
Tidak ketemu hai ini bsk harinya d antar lgi",JNT,Sumatera Barat
1,"Barang udah di gudang padang dr kmrn. Tapi sampe skrg belum ada notif dibawa kurir, udah 10 hr blm jg nyampe. Padahal saya butuh bgt barangnya. J&t lelettt....",JNT,Sumatera Barat
5,"Sudah 2 kali ke sini
Pertama, pas jemput paket COD (karena salah saya juga nggak ada ditempat, jadi untuk kebaikan bersama. Saya menawarkan jemput ke loket nya). Pas sampai di sana, …",JNT,Sumatera Barat
3,Satpam nya santay yaaa kerja nya,JNT,Sumatera Barat
5,"Paket saya tidak sampai dirumah, tp notifnya sudah diterima, di telpon kurirnya malah gak aktif",JNT,Sumatera Barat
1,"Jemput paket disuruh nunggu,aneh, padahal orang gk lagi rame",JNT,Sumatera Barat
5,"Alhamdulillah setiap pengiriman dilayani dengan baik, Alhamdulillah bsoknya dah sampai d tujuan karena barang jga kirim msih wilayah Sumbar👍tempat jga bersih walaupun msih kecil tmpatnya tpi okelah ✅ …",JNT,Sumatera Barat
1,Barang udah di gudang padang dr kmrn. Tapi sampe skrg belum ada notif dibawa kurir. Padahal saya butuh bgt barangnya. Cape deh j&t express tp kenyataannya lelet,JNT,Sumatera Barat
5,Keren bgt tempat nya kek hotel gitu.. trus pelayanan nya juga mantulll.. barang pengiriman ku cepat sampe nya.. thank you j&t Padang!,JNT,Sumatera Barat
5,"J&T Adalah Salah Satu Jasa Pengiriman barang baik dalam kota, luar kota maupun antar provinsi, Pelayanan jnt sangat baik dan Ramah-ramah 👍👍👍🤩 …",JNT,Sumatera Barat
5,"Pelayanan nya sangat baik dan juga ramah.
disana sambil menunggu paket pun di hidangkan coffe drink.
J&T Express HQ Padang is the best👍😎 …",JNT,Sumatera Barat
