Rating,Reviews,Company,Province
1,"kurir gbs dihubungi, pengiriman sangat lama dan banyak alesan setiap mau nganter. udh lebih 4 hari ga dianter"" ke lokasi dengan alesan nunggu mobil, dan besoknya katanya estimasi jam 1-2 tau""nya smpe besoknya masih ga dianter",JNT,Sumatera Selatan
1,"Paket dari tanggal 12 sampai sekrang tanggal 18 desember 2024 masih stay di gudang Palembang
Kenapa lama sekali , biasanya saya paketin 5 hari dari surabaya ke kota lahat
Dan status sudah diambil kurir , apakah kurir anda tersesat ?",JNT,Sumatera Selatan
1,"Woe... Gue order barang dari Palembang ke Tungkal Ilir knp smpe hampir seminggu? Itu kalo gue ambil sendiri di toko cm 3 jam dari rumah.
Terakhir gue pake jnt.
Pengiriman macam siput.",JNT,Sumatera Selatan
1,"Expedisi isi karyawanya tolo semua , bisa"" nya paket muter"" di palembang dengan alasan SALAH SORTIR , ini udah ke 3x nya kejadian seperti ini , yg mau pake jasa expedisi ini mending mikir 100x",JNT,Sumatera Selatan
1,"Sangat kecewa dengan layanan pengiriman JNT Palembang Express. Saya menunggu paket saya lebih dari dua minggu, padahal estimasi pengirimannya hanya 3-5 hari. Tidak ada update yang jelas tentang status pengiriman, dan setiap kali saya …",JNT,Sumatera Selatan
1,"Mohon izin tanpa mengurangi rasa hormat
Paket yang sudah ada di gudang tolong di percepat terimakasih",JNT,Sumatera Selatan
1,"J&t cabang sini emang tolol , paket udh 10 hari masih aja nyangkut disana",JNT,Sumatera Selatan
1,"Coba di rombak personil nya, masa paket stuck disini sampai satu minggu",JNT,Sumatera Selatan
1,Paket saya gk Dateng Dateng padahal saya mesen udah lama katanya tanggal 22 hari ini tanggal 22 saya tunggu malah nunggak lagi malah di jadiin tanggal 24 kan setan emang emang ngapain aja sih mereka ini aneh,JNT,Sumatera Selatan
2,ternyata disini emang selelet itu ya? padahal sering bgt pake jnt tapi baru kali ini kecewa,JNT,Sumatera Selatan
1,Kacau jnt tidak recomended... Pelayanan antar kurirnya buruk. Mau disimpan lamakah digudang????,JNT,Sumatera Selatan
