Rating,Reviews,Company,Province
5,"Pengembalian barang shopee dilayani dengan baik setelah mendapat beberapa penolakan dari jnt lainnya dengan berbagai alasan jaringan dan formulir kosong.
Jnt jl. Amal alasan tidak menerima barang elektronik dan diarahkan ke jnt …",JNT,Sumatera Utara
1,"paket udh mau 2 mnggu gk dkirim2, stuck dstu aja. ngliat d google map gk tau nya mmg rata2 pada complain gk bner, brrti mmg buruk bgt pelayanan nya. murka bgt sama ni j&t",JNT,Sumatera Utara
1,"tolong lah pihak j&t kurir nya gajelas paket diantar hari ini ga diantar2 masa ia malam katanya diantar lebih parah lagi disuruh jemput,kurir dichat gadibalas respon kurir gada sopan santunnya minimal punya attitude lah kesel kali sama kurir2 ni kadang !!!",JNT,Sumatera Utara
1,parah bangett yaaa paket ku ud 4 hari lebih stuck disitu truss padahal ini j&t express loh niatnya biar cepat sampai eh malah di tahan 4 harii disituu,JNT,Sumatera Utara
1,"Tolong la gimana ini,, ga ada konfirmasi apa"" tapi tiba"" paket saya dikembalikan ke penjual.. tolong dong respon nya.. kalau emang ga bisa antar biar saya yg jemput itu paket..",JNT,Sumatera Utara
1,"buruk sekali jnt sekarang,paket saya sudah lima hari belom jugak sampai tujuan, padahal radiusnya cuma 1 jam perjalanan dari Perbaungan ke kota Medan, alasannya overload,tapi gak di benahi' setiap hari di tanya ke admin, gak  sampai jugak paket nya, sampai di katakan penipu saya sama konsumen.😡😡 …",JNT,Sumatera Utara
1,Tolong la paket saya atas nama Feri hermawan udah hampir 2 minggu belum sampai juga,JNT,Sumatera Utara
1,"Sangat buruk, tak ada penjelasan di mana barang say berada, vomplian melalui email pun tak di respon, melalui whatsapp pun sm saja, benar2 sangat tidak di anjurkan untuk kerja sama dengan pihak jnt ini",JNT,Sumatera Utara
1,"Respon call centre pun selo aj, kurir dari pagi sudah konfirm mw antar tapi sampai sekarang gk diantar",JNT,Sumatera Utara
1,"Tolong dong paket saya segera di proses masa Paket Nginep  di sini sampe 2 hari . Benar"" Pelayanan yg Buruk!",JNT,Sumatera Utara
1,"J&t Ter buruk ya di sini barang orang orang stuck di sini aj terus, ga jalan, pada niat ga si kerja.",JNT,Sumatera Utara
1,"Kacau paket saya lampu belet bisa penyok dan pecah gitu kata kurir pas saya ambil dari Kantor dh kek gitu bg kta kurir ny sma Q kacau kacau main campak"" Aj kek ny",JNT,Sumatera Utara
1,"Tutup ajasih ... Paket makanan saya ga nyampe"" padahal lokasi saya di Medan juga ... Hadehh lupa saya cek di shopee pengiriman rupanya pake j&t pulaa...",JNT,Sumatera Utara
1,"Sangat kecewa aja sih, padahal di sn tertera parkir gratis tpi satpam ny malah diem pas ada pungli , parahh, apa gunanya ada satpam !!",JNT,Sumatera Utara
1,"paling buruk.. pelayanan, kejelasan informasi, semuanya buruk.. sangat tidak direkomendasikan.. kalau terpaksa pakai jasa mereka, siap-siap kecewa..",JNT,Sumatera Utara
5,Saya pernah kirim dari Jawa Barat ke pulau Nias. Alhamdulillah paket diterima dalam kondisi baik dan tepat waktu. Ongkirnya juga relatif murah. Terimakasih J&T Express.. 🤍 …,JNT,Sumatera Utara
1,Buruk kali pelayanan nya nyesel gw pakek ekspedisi ini baju wisuda gw kagak sampai 😭 …,JNT,Sumatera Utara
1,"Tolong lah paket itu segera dikirim kan bah, udah 4 hari lalap stuck disini",JNT,Sumatera Utara
1,"Ampun jnt labuhan batu, sumateran Utara, betingkah, paket saya ditahan-tahan 5 hari kagak diantar-antar. Expedisi apa seperti itu, pengalaman yg buruk !!",JNT,Sumatera Utara
1,Ya allah tolong kepada jnt ini sekian kali nya paket saya uda di luar estimasi sampek. Capek bgt sumpah liat pelayanan jnt sekitar sini.. kurir di mana2 bagus2 aja.,JNT,Sumatera Utara
1,"Paket 5 hari lebih ga jalan2 . Paket berhenti di gudang Center jnt medan .
Para karyawan apa ngga kerja untuk mengirimkan paketnya ?
Ko bisa hampir 1 minggu paket tidak jalan ya.",JNT,Sumatera Utara
1,"Paket saya udh di bandung tinggal ke cimahi, kenapa harus di puter ke sini ya ? Estimasi 3 hari sekarang hari ke 5 harusnya tgl 29 udh sampe karna tgl 28 sudah di bandung. Kecewaa 💔 …",JNT,Sumatera Utara
1,Ampun pake jasa pengiriman J&T lama kali nyampe nya,JNT,Sumatera Utara
1,"Jam tutup di Google Jam 22.00. Datang jam 21.37 gak diterima lagi, krn udah tutup, tapi pintu masih buka. (Foto tercantum itu saya foto pukul 21.45, pintu udah ditutup). Karena paketnya urgent, saya belain datang jauh karena pusat masih …",JNT,Sumatera Utara
1,Sudah 2 Minggu paket saya enggak sampai sampai dari meda,JNT,Sumatera Utara
1,"Paket saya lama banget diantar, udh lebih 4 hari",JNT,Sumatera Utara
1,"EKSPEDISI LEMOTT
BUAT APA NGELAMA LAMAIN PAKET ORANG KALAH NGELAMAIN MINIMAL KONFIRMASI LAHHH",JNT,Sumatera Utara
1,"Oh ini yg ada tulisan gratis parkir gak guna, lu bayar security juga percuma bos, cosplay doang",JNT,Sumatera Utara
1,Parah paket muter muter truss ... liat di tracking web nya... udah dari transit center nya  ke binjai trus ke transit center lagi.. padahal alamat di sunggal... parahhhhhh,JNT,Sumatera Utara
5,kantor pusatnya J&T Express Medan. yg sekarang lebih mewah dan nyaman. pelayanan sekarang jauh lebih baik 👍🏻 …,JNT,Sumatera Utara
1,"kurir tidak mengantar paket, hanya menelepon. tak terhubung tak pula me WA atau sms. (panggilan tak trjwb muncul notice di hp stlh 21.00 WIB, sy panggil dan WA  tak respon)",JNT,Sumatera Utara
1,"halo admin jnt, mohon maaf bgtnih. ga mau emosi sbnrnya, tapi kok pengirimannya udah ke stabat tapi malah balik ke medan lagiya? ini paket saya tgu udah lama bgt dari tanggal 2 februari. mohon ya segera di infokan ke saya. bantu saya …",JNT,Sumatera Utara
