Rating,Reviews,Company,Province
1,"Paket dibawa kurir 3 hari antar ulang terus padahal alamat pengiriman di kantor yg dijaga satpam 24 jam 7 hari seminggu. Call centre di-wa gk ada respon, telp gk diangkat",Sicepat,Aceh
1,"Ekspedisi abal2, kurang nyaman sama jasa ini, info dari aplikasi pesanan udah di antar oleh kurir ke almat tujuan, tapi udah 2 hari belom sampai juga. Malah di hubungi susah untuk konfirmasi agar bisa dijemput lansung pesanannya ketempat, …",Sicepat,Aceh
1,"Status pengiriman sedang di antar ke alamat tujuan, tapi paket tidak sampai. Tidak ada wa/tlpn dari kurirnya. Tiba-tiba notifnya berubah jadi sedang di sortir di pusat Banda Aceh.",Sicepat,Aceh
1,"Saya dirumah, ga ada dihubungin kurir ga ada di telpon atau chat maen update status not at home aja uda 2 hari, ini kurirnya ga bisa nelpon atau gmna. Gajelas",Sicepat,Aceh
1,Status paket sedang dikirim ke alamat tujuan. Sudah 5 hari gak nyampe². Kurirnya entah ngapain. Kecewa berat pakai jasa ini.,Sicepat,Aceh
1,Ini kurirnya berani menipu? Katanya barang sudah dikirim tapi penerimanya tidak ada. Padahal saya ada dikampus dari jam 8.40 pagi. Kalian jangan kurang ajar berani berbohong seperti itu. Kalian sendiri yang malas jangan bilang orang lain yang tidak ada di tempat.,Sicepat,Aceh
1,"Jerat Pidana dalam UU Perlindungan Konsumen
Selain pemberian ganti rugi atas paket tidak bergerak, UU Perlindungan Konsumen secara tegas melarang setiap pelaku usaha yang melanggar waktu penyelesaian …",Sicepat,Aceh
1,"Ekpedisi tidak bertanggung jawab
Paket sya malah dialihkan ke jnt dan sya harus nanggung beban ongkir sendiri
Harusnya kalo mau dialihkan ke jnt ya pihak sicepat yg bayar",Sicepat,Aceh
1,"Sudah beberapa kali kenak sama jasa kirim  silambat express semuanya dikirim kalau tidak lewat estimasi, ya pasti di akhir tgl estimasi. Padahal paket sudah lama di tempat gudang atau tempat sortir. Emg sengaja dilama2in seperti tidak …",Sicepat,Aceh
1,"Paket nggak dateng2,, barang udah mau dipake besok tp barang nggak sampe2.. barang lainnya yg dikirim di hari yg sama udah dateng dr kmren2..",Sicepat,Aceh
3,Pelayanan di kantornya bagus and ramah. Gak tau gimana kurirnya karena gak pernah suruh antar pesanan ke alamat (sering ambil paket sendiri). …,Sicepat,Aceh
1,"Paket udah 3 hari kagak diantar.. . Baru kali ini aku tega ngasih bintang 1...ga masalah klo lama di jalan, ini lama do kurirnya... Niat ga sihh",Sicepat,Aceh
1,Benar-benar salah pilih ekspedisi kali ini. Kenapa ada di list marketplace ya klo gini kualitasnya.,Sicepat,Aceh
1,Pilih Reguler tapi hasilnya lebih lama dari ekonomi ekspedisi lain.,Sicepat,Aceh
1,"Kapok sama sicepat, belakangan ini udah bobrok sekali, kirim paket reguler berasa cargo. Paket 5 hari ga jalan2. Kalau kalian belanja di shopee mending pilih pengiriman lain guys.",Sicepat,Aceh
1,"Status dalam perjalanan menunju rumah
Dah 2 hari gini terus
Pas di samperin dia masih di gudang …",Sicepat,Aceh
1,Parah nih status paket sedang diantar tapi gak sampai2... Paling lg pada main slot mangkanya lelet nganterin barangnya.,Sicepat,Aceh
1,"Kurang nyaman sama jasa ini, pesanan udah di antar k almat tujuan, udah 2 hari belom sampai juga. Malah di hubungi susah, kecewa",Sicepat,Aceh
2,"Alamat sudah jelas. Kalau gak tau rmh, Tlp, hp jng buat pajangan aja bg kurir. Paket udh 2 Hr bulak balik ke kantor, sy udah byr, itu bkn pkt cod.",Sicepat,Aceh
1,"Belum pernah saya kecewa dengan pelayanan jasa pengantaran seperti ini. Paket saya sudah sampai di kota tujuan tepat waktu. Namun paket tersebut tidak juga diantar ke tujuan dengan catatan track ""Antar Ulang"" selama 6 hari. Padahal …",Sicepat,Aceh
1,"ga bagus kali expedisini ni, skip aja",Sicepat,Aceh
1,Pengiriman reguler rasa hemat. Org bayar ongkir lebih tapi sama aja lamanya kaya make pengiriman hemat. Payahhhh.... Si lambat🤡 …,Sicepat,Aceh
1,Kalo kga niat kerja kga usah kerja bikin orang kesal aj status kga jls paket udh 2 hari dikota tujuan kga diantar2 udh 2 hari lebih dan gk ada kabar sama sekali mau telpon atau wa kga ada kantor cabang tutup udh beberapa hari ini jga...sumpah jasa ekspedisi pengiriman terburuk saat ini,Sicepat,Aceh
1,"Status nya diantar ke alamat selama tiga hari gg sampai sampai...
Alhasil harus ambil sendiri..
Semakin ke sini pelayanan nya kok makin jelek aja..!!!",Sicepat,Aceh
1,"Setelah lama menggunaka jasa si cepat, baru hari ini dn kali ini sangat kecewa. Niat mau kirim paket k jawa barat tp di tolak dgn operatornya dgn alasan.. Tidak bisa kirim karena orang yg lama belum dtng. Saya bener2 tdk paham dgn alasan …",Sicepat,Aceh
1,"Expedisi paling lambat sedunia
Reguler 10 hari
😝😝😡😤 …",Sicepat,Aceh
1,Mending tutup aja si cepat ini,Sicepat,Aceh
1,"Ya ampun ternyata emang buruk banget service nya, paketku udah hampir seminggu di gudang sortir banda aceh kenapa gak dikirim kirim? Kurir nya lagi pada ngapain emang sih? …",Sicepat,Aceh
1,"Silambat , si tak jelas ..!! bukannya paket di Anter , mala suru ambil sendiri ..
Ruuuugiii dong",Sicepat,Aceh
1,"lagi dan lagi di kecewakan sama kurir, terlalu buruk pelayanan, sangat tidak di rekomendasikan....",Sicepat,Aceh
1,"Ga jelas kali lah ekspedisi yg satu ini, apa ga ada orang kerja kah? Ini statusnya ga ada yg update, paket ga sampe². Kecewa kali lah sama ekspedisi ini. Ganti nama aja silambat deh",Sicepat,Aceh
