Rating,Reviews,Company,Province
1,"Belanja online di sopi dikirim tgl 6 dan tgl 9 baru sampe dps. Tgl 10 sore barang katanya udah kluar dri dps sortation sore jam 4/5an.
Hari ini udah tgl 15 tepat jam 6 sore. Udah hari ke 5 setelah keluar dari dps …",Sicepat,Bali
1,"Paket kabel COD di retur karena mungkin di google Maps salah lokasi rumah, tapi masa kurir tidak ada insting buat chat / telpon nomor pembeli? Goblok apa gmn? Sampe aja hp gw yang udh kelar di sortir waktu di anter malah di retur, udh gw bayar via online sampe aja ga becus!",Sicepat,Bali
1,heh kurir lu pada kemana? masa di gudang sortir sampe 4hari. itu pembeli sudah nunggu paketnya dateng lol mau dianterin kapan? jangan bikin buntung usaha orang lah. niat buka ekspedisi ga ?,Sicepat,Bali
1,Tokopedia kenapa harus bekerja sama dengan jasa kirim selambat ini untuk gratis ongkirnya? …,Sicepat,Bali
1,Beli paket buat farewell gift temen yg mau pindah keluar negeri. Masa udah 3 hari masih di gudang setan ini gak ada perubahan status. GANTI NAMA AJA JADI SI LAMBAT!!!! Kau makan lah tu paket!!! Teman ku udah keburu pindah!!!,Sicepat,Bali
1,"Gak usah pake nama sicepat deh, gk cocok dipake jasa ekspedisi klo seperti ini, masa paket saya stuck disini smpe 5 hari, smpe skarang blm juga datang, kecewa skali",Sicepat,Bali
1,"Gimna ini pengiriman SDH 1minggu pending d Denpasar Utara ,niat bisnis gak nih, ko ngga d antr2 pelayan komplen pun susah sangat mengecewakan,, BRG dr tgl 4 skrg tgl 14 blm d antr2 sts TDK ada update TDK amanah",Sicepat,Bali
1,Pengiriman cap t*i kuda..paket gak di kirem padahal udah di denpasar.masak dari tgl 12 - 19 barang cuma di gudang sortir...backlist dari jasa pengiriman aja,Sicepat,Bali
1,"Dri tgl 25 status sudah di dps tapi sampai skrg tgl 29 tdk dikirim² ,.
Knpa shoppe masih menggunakan ekpedisi ini",Sicepat,Bali
1,"Harusnya di blacklist sih ini expedisi di e-market, barang dri surabaya ke dps mulai tanggal 25 pengiriman sampe tanggal 31 ngga ada dtang, masih di sortiran terus. Makin kesini makin kesana nih ya expedisi.",Sicepat,Bali
1,"Jasa ekspedisi tidak bagus, sampai 3 hari sudah nyampe denpasar,  tapi tidak terkirim, beberapa kali statusnya gagal pengiriman dengan alasan tidak jelas. Padahal sudah ditutup di rumah. Lebih baik anda tutup saja.",Sicepat,Bali
3,"Harap bersabar pemirsa sekalian 😁, sicepat anter aja jnt lagi overload mreka, jumlah paket tidak sebanding dengan sumber dayanya jadi ya maklumi saja, saya sebagai seller cuma ngedrop barang aja kesini hehe …",Sicepat,Bali
1,Paket dalam pengantaran kok 3 hari gak di anter ..kurirnya males di bali ni paket pake sicepat malah lama gak cepat sampe,Sicepat,Bali
1,"Dikasih rating 1 pun masih terlalu bagus. Paket yg estimasi Dateng tgl 28 Agustus tapi tiba² cek resi ada keterangan ""customer not at home"" yang mana posisi saya selalu standby dirumah,,tapi ya okelah maklumi dulu. Trus dikomplain pertama …",Sicepat,Bali
1,"Nama doang si cepat barang sudah 2 hari nyampe di Denpasar TPI kurir tidak ngantar"" tutup aja itu perusahan kalo GK niat ngirim.!!!",Sicepat,Bali
