Rating,Reviews,Company,Province
1,"Hari ini mau ngambil paket, eh udh pindah ke taman kolam katanya
Dicari2 gk ketemu jg di tmpat tsb
Barang saya ngendep di sicepat sortation 2 hari. …",Sicepat,Bangka Belitung
1,"2 Hari paket gua disini, ngapain lu woi. Gila sih ini jasa, ga ada review yg bagus",Sicepat,Bangka Belitung
1,"Luar biasa ekspedisi ini buruk nya. pernah pakai ditahun 2021 silam sama lah kronologi nya seperti skrg. makin tahun bukannya makin berbenah, malah makin merosot kualitasnya. …",Sicepat,Bangka Belitung
1,"Paket kaga gerak2.. klo ekspedisi yg lain ada pergerakan tiap hari.. lah di ekspedisi ini malah mengendap berhari2.. nama SiCepat, tapi kenyataannya SiLambat.. mending ubah aja namanya, ga sesuai...",Sicepat,Bangka Belitung
1,Paket gua 2 hari disini ngapain oi ngopi?,Sicepat,Bangka Belitung
1,"Paket saya pesen tgl 18 janji maks di antar sampe tgl 26. Ini udah tgl 27 paket belom diterima. Saya pesen paket dri ekspedisi lain tgl 19 pesan tgl 21 udah sampe. Bener"" kurir sicepat buruk dan tidak memuaskan. Ga bisa juga di ambil ke kantor. Bad bangetttt 👎👎👎👎 ga mau lagi pake ekspedisi ini …",Sicepat,Bangka Belitung
1,Gila paket belum diantar ke tempat tujuan tiba2 tgl udah gagal pengiriman aja trus smpai skrng tgl 7 nggak gerak2 lagi..,Sicepat,Bangka Belitung
1,"Status tgl 16 paket akan di kirim ke alamat pembeli,, tiba 2 status berubah paket gagal kirim dan di kembalikan ke gudang,,, sampai tgl 19 paket tidak bergerak,, …",Sicepat,Bangka Belitung
1,kalau ada ekspedisi lain mnding jgn pke secepat,Sicepat,Bangka Belitung
1,Paket saya Lama beli tgl 8 Sampai saat ini Tgl 21 tidak nyampe² Bagaimanalah Kinerja nya Tolong di maksimalin... Sudah sangat kecewa . Dan Yang saya beli Pun di atas 3jt Dan barang Rawan Ancur 🤦🏼‍♂️🤦🏼‍♂️🤦🏼‍♂️🤦🏼‍♂️ Bila perlu Ganti saja Kariawan nya …,Sicepat,Bangka Belitung
1,"Paket lambat pengiriman nya,padahal udah dari tanggal 12 kemaren,sampai sekarang blm jga diantar,sedang paket ku yg lain udah datang semua melalui jasa lain😔😔 …",Sicepat,Bangka Belitung
1,Sumpah shopeee ga jelas kerjasama dengan ekspedisi ini .. cepet tutup aja ni expedisi nyusahin,Sicepat,Bangka Belitung
1,Kurir Sicepat tidak ada sopan santun . Etika buruk akhlak buruk kepada pelanggan . Sangat sangat tidak memuaskan .,Sicepat,Bangka Belitung
1,"Nama sicepat
Pengiriman lambat
Pangkal pinang ke Toboali bisa 3 hari belum sampai ANEH!!!",Sicepat,Bangka Belitung
1,"Pakt sdh di pangkal dari tnggal 17 tpi smpai skrng gak samapi2,gak sesuai dngn nm epedisi nya",Sicepat,Bangka Belitung
1,Untuk kualitas pengiriman kargo si cepat sekarang sangat menurun banding dulu.,Sicepat,Bangka Belitung
1,Woiiii paket saya di anter.. Buruk sekali pelayanan ini,Sicepat,Bangka Belitung
1,Sialan lelet banget pengantarannya. Sudah 2 hari mengendap di PKL Balam tak kunjung diantar ke penerima,Sicepat,Bangka Belitung
1,Tak seperti si cepat yg dulu,Sicepat,Bangka Belitung
1,Leletnya cepat habis,Sicepat,Bangka Belitung
5,Bagus,Sicepat,Bangka Belitung
1,No review found,Sicepat,Bangka Belitung
1,No review found,Sicepat,Bangka Belitung
5,No review found,Sicepat,Bangka Belitung
5,No review found,Sicepat,Bangka Belitung
5,No review found,Sicepat,Bangka Belitung
5,No review found,Sicepat,Bangka Belitung
1,No review found,Sicepat,Bangka Belitung
1,No review found,Sicepat,Bangka Belitung
1,No review found,Sicepat,Bangka Belitung
