Rating,Reviews,Company,Province
1,"Lama baget ini ekspedisi biasanya klo pake j&t paling 3 hari nyampe ini udh seminggu ga nyampe"" mana udh di bayar minta kembali dana ke seller nya malah di tolak najis bgt paket muter"" di kurir",Sicepat,Banten
1,bener bener dah jadi 5 hari an kaga nyampe padahal udh ditungguin jga sampe gajadi keluar nih ekpedisi lelet udh sesuai rating sama ulasannya,Sicepat,Banten
1,"Luar Biasa seminggu paket saya stuck di gudang sortir.tidak dikirim2 padahal dari seller udah sesuai .
statusnya..dan hari ini paket dinyatakan hilang.?Ngeriii yah .hilang di gudang …",Sicepat,Banten
1,"Sebelum nya saya tidak percaya akan ulasan tentang tempat ini kenapa bisa bintang 1, akhirnya kejadian sendiri di saya dimana paket saya tidak kunjung sampai (lewat tanggal estimasi) yang di mana paket saya berhenti statusnya di tempat ini …",Sicepat,Banten
1,"Parah paket saya udah seminggu gak smpe"" saya samperin sicepat dkt rumah kata nya msh di tempat sortir Kadu ampu. Silemot ini kapok pake jasa ini",Sicepat,Banten
1,"Sortation terjelek. Saya memesan paket dari tanggerang di tanggal 1, tgl 2 baru di pickup sicepat dan terakhir sampai ke sortation ini di jam 8 malam. Setelah itu dari tgl estimasi mulai dari tgl 3-7 (hari ini/rabu) paket status masih di …",Sicepat,Banten
1,"lelett bangett pengirimannya, paket saya udah stuck 4 hari di sortir ini, nama SiCepat ga salah tuh? bisa kerja kaga?",Sicepat,Banten
1,"Parah ya, paket saya butuh cepat dan pake yang 1 hari sampai molor gegara ketuker dan gak update tuh..",Sicepat,Banten
1,"Gak salah tuch namanya SiCepat,,,yg bener SiLelet,,,paket dikirim lancar dr SBY, giliran sampai GUDANG SICEPAT SORTATION TANGERANG paket ngendon/stuck sdh 3hr disini, blm ada kejelasan trackingnya,,,PUARAAAHHH!",Sicepat,Banten
1,"ini paket gua kmana ini kagak nyampe nyampe dah, katanya si cepatt tapi lama bgt udah 5 hari dieum disini paketnya",Sicepat,Banten
1,"Pengiriman lama
CA susah d hubungi padahal barang mau dipakai
Ga bagus nih ekspedisi …",Sicepat,Banten
1,ekspedisi tolol lambatt gajelas paket gua stuck di tanggerang 2 hari yg harusnya tanggal 12skrng sampe baru keluar gudangg!!,Sicepat,Banten
1,"bagus, barang dinyatakan hilang. Mentang-mentang barangnya kecil jadinya nggak ada yg notice hehe. Makasih ya",Sicepat,Banten
1,"Yang bener lah kalo kerja, kan dibayar kecuali kaga, kalo gabisa kerja ngangon kambing aja sama miara kucing!",Sicepat,Banten
5,"Tempat si cepat lain lama gk becus tapi dari sini paketnya langsung dikirim dalam 30 menit, trims",Sicepat,Banten
1,"Sangat lambat pengirimanya ,bkin orang  kapok saja silambat",Sicepat,Banten
1,"Lelet pengirimannya, dari satu gudang ke gudang yg lain bisa hampir sehari. Pesen tgl 6 sampe sekarang gak ada kabar. Konyol",Sicepat,Banten
1,"Saya belanja barang online pake sicepat BEST (Besok Tiba) belanja tgl 11 febuari, estimasi sampai tgl 12-13 febuari. Hari ini tgl 14 febuari barang belum saya terima. Complain via wa, ig sama email cuma dibales konfirmasi doang. Telp CS gabisa terhubung. Kalo emang ada keterlambatan minimal kasih info via email atau wa.",Sicepat,Banten
5,Alhamdulillah pengiriman cepat banget liat ulasan yg lain pada lambat mungkin ada perubahan dri kurirnya,Sicepat,Banten
1,"Lelet, paket keluar Tangerang sortation 1 dari Selasa PKL 17.15 tapi sampai gerai Rajeg Hari Kamis PKL. 11.11
Sudah gitu di gerai Rajeg sama saja, lelet …",Sicepat,Banten
1,"Parah pake kebangetan. Pengiriman pake SiCepat selalu di hari terakhir estimasi pengiriman. Bahkan sempat hilangin paket saya, dan barang baru dikirim di MALAM hari TERAKHIR proses investigasi. Yg harusnya cuma 3-4 hari, butuh waktu 12 …",Sicepat,Banten
1,"jasa pengiriman gk jelas, paket gwa setak di sortiran tangerang. Padahal jarak deket bnget dri tempat gwa beli barangnya. Masa smpe 4 hari gk smpe. Gwa pkek spx aj cman 1hari langsung smpe. Nyesel gwa pkek jasa ini .. taiiiiii",Sicepat,Banten
1,Paket dari tgl 5 udah jatuh hari estimasi,Sicepat,Banten
1,Paket ke jawa barat dari tangerang malah ke madiun dulu aneh banget,Sicepat,Banten
1,sortir ekspedisi terburuk selama saya ber belanja online,Sicepat,Banten
1,"Hadehhh ni ekspedisi lamaaa bgttt.
Saya beli buat kado, biasanya 2 hari nyampe ini udah 5 hari ga nyampe nyampe , eh pas liat komen hadehhh ternyata emg lelet ekspedisi nya.",Sicepat,Banten
1,SILELET. SELALU LAMA. KALO ORDER ONLINESHOP JANGAN PAKAI SICEPAT!!! TUTUP AJA LAH SELALU GITU. PESEN NEXT DAY PERCUMA SAMPAINYA NEXT YEAR.,Sicepat,Banten
1,"Pake next day dari jakarta ke Tigaraksa aja 2 hari.. mending JNE, dari Semarang cuma 1 hari pake yes.. udah jelas alamat nya tertulis CIKUPA, malah di bawa ke Ciputat terus ke Pamulang. Ngapain coba...",Sicepat,Banten
1,"Sampai saat ini paket beloman di kirim2 dm cs nya malah suruh tunggu mulu paket urgent itu kalo emg bisa saya ambil ya saya ambil kesana, ganti aja namanya jangan sicepat.",Sicepat,Banten
1,Paket saya kenapa didiemin disini ga dikirim² dari tgl 27 .. itu masalahnya makanan bukan barang!! Komplen ke cs disuruh tunggu mulu. Resi pun ga update² sebel bgtt sumpah!!!!,Sicepat,Banten
