Rating,Reviews,Company,Province
1,"Lambat lambat kali barang saya Uda dari tanggal 8 di Bengkulu sampe sekarang barang saya ga di antar"" SM mreka nama aja si cepat,
ASLINY lelet...",Sicepat,Bengkulu
1,barang saya lama banget nyampe nya padahal dari Palembang deket malah langsung ke Bengkulu hadeh di putar putar paket saya lama bagetttt,Sicepat,Bengkulu
1,"Tutup aja kalo males2an kurirnya, dikira kita santai aja telat paket sampe berhari2.",Sicepat,Bengkulu
1,"barang saya lambat bener datangnya padahal cma di kaur,sampe ke sicepat sortir bengkulu tanggal 1,ini sampe tanggal 3 belom gerakk",Sicepat,Bengkulu
1,"Semau mau nya aja menjadwalkan ulang pengiriman , kalian liat ratting dan ulasan lah biar ngaca gimana pelayanan kalian",Sicepat,Bengkulu
3,Paket AQ dg sampai2.la 2 hari dalam pengantaran..ga ada wa.,Sicepat,Bengkulu
1,Barang lambat sampai 2 hari Gagal kirim padahal cuma 9 menit dari gudang ke lokasi,Sicepat,Bengkulu
1,"Dulu cepat pengirimannya, entah kenapa sekarang malah jadi lambat",Sicepat,Bengkulu
1,"Tutup aja kalo lama pengiriman, si lambat",Sicepat,Bengkulu
1,Tolong dipercepat pengantaran paket ke cabang Argamakmur secepat mungkin,Sicepat,Bengkulu
1,Barang kelamaan nyampe. Padahal d dalam kota. Dan jaraknya cm 2 km dr sini. 3 hari udh keluar dr tmpt sortir. D suruh tunggu paketnya d antar ke rumah,Sicepat,Bengkulu
1,"Paket sudah 4 hari tiba di Bengkuku belum diantar2 ke alamat. Dan itu sering berulang kejadiannya.
Kargo yg lebih mahal lho kita bayar dari kargo2 lainnya. …",Sicepat,Bengkulu
1,"Sangat mengecewakan, paket sudah 2 hari sampai di gudang kota bengkulu, tapi belum dikirim juga ke alamat saya, sangat tidak sesuai dengan nama nya, membuat rugi yang ada",Sicepat,Bengkulu
1,"Lama banget, paket udah di bengkulu dari tanggal 1 tp ga dikirim² sampai sekarang
Skrg udah tgl 5 …",Sicepat,Bengkulu
1,"Di Jakarta stuck, di Line Haul Stuck, di sini pun kayaknya akan stuck. SiCepat tidak berusaha menyegerakan pengiriman paket-paket yg sudah terlambat dan luar estimasi.",Sicepat,Bengkulu
1,"Namanya aja sicepat, tapi lelet banget ya Allah.. paket aku dianggurin selama 5 hari di gudang sortation sicepat ini, dipendam di sana nggak dikirim kirim...",Sicepat,Bengkulu
1,paket sudah satu bulan belum dikirimkan,Sicepat,Bengkulu
1,"KALO BISA DIKASIH BINTANG 1/100000000000. EMANG EKSPEDISI TIDAK BERMUTU, STATUS PENGIRIMAN NGGAK DIUPDATE. MENDING BUBAR AJA SUMPAH.",Sicepat,Bengkulu
1,barang lambat nyampai,Sicepat,Bengkulu
1,"Buruk sekali..paket sya TDK datang2, kecewa...",Sicepat,Bengkulu
1,Parah banget pengiriman sicepat.sangat kecewa.,Sicepat,Bengkulu
1,"Jasa abal abal,barang lambat sampai...",Sicepat,Bengkulu
1,Udah 10 hari juga belum sampai.,Sicepat,Bengkulu
5,Sangat cepat dan memuaskan,Sicepat,Bengkulu
1,Paketku nyangkuttt,Sicepat,Bengkulu
1,sangat cepat,Sicepat,Bengkulu
1,No review found,Sicepat,Bengkulu
4,No review found,Sicepat,Bengkulu
5,No review found,Sicepat,Bengkulu
5,No review found,Sicepat,Bengkulu
1,No review found,Sicepat,Bengkulu
1,No review found,Sicepat,Bengkulu
5,No review found,Sicepat,Bengkulu
5,No review found,Sicepat,Bengkulu
