Rating,Reviews,Company,Province
1,"Order dari sopi
Jam 06:00 sudah sampe tempat sorti, sya pantau dari jam 06:00 - 16:15 masih aja tempat sorti. …",Sicepat,DIY Yogyakarta
1,Baca ulasan ga ada yang bagus.. Eeh bener juga paket saya 3 hari ga gerak disini iseng2 buka lokasi deket rumah tapi ah sudahlah biar rating yg berbicara,Sicepat,DIY Yogyakarta
1,PLIS KALO GA NIAT KERJA GAUsa buka dan gausa kerja sama breng shopee aja deh. Nyusahin. Saya lagi butuh barangnya ya masa SEMARANG JOGJA AJA SAMPE 4 hari kocak???! Anjing banget,Sicepat,DIY Yogyakarta
1,Kurirnya emg dikit apa ya? Karena dari jam 5 pagi status mau diantar e saya tunggu sampw maghrib malah dikirim besok.,Sicepat,DIY Yogyakarta
1,"Seandainya paketnya bisa ngomong, dia bakal bilang pusing diputer² ga jelas, sakit badan dilempar sana lempar sini..
Sama2 merah, masih cepetan merah punya sebelah..",Sicepat,DIY Yogyakarta
1,"Beli dari shopee pakai sicepat pasti tertunda, padahal dari pagi sudah dalam pengantaran kurir ditunggu sampai 12 malam hanya untuk dapat informasi pengiriman tertunda, SAYA MINTA KURIR DITERTIBKAN DAN DIDISIPLINKAN!!!!",Sicepat,DIY Yogyakarta
1,"Paket dari jakarta tujuan Jateng,, nyangkut disini uda 3 hari gak gerak, udah lebih dari estimasi lagi, putus Mitra aja deh sama shoppe.",Sicepat,DIY Yogyakarta
1,"Tukang sortirnya SDM nya perlu ditingkatkan,, masa paket lambatt sekaliii stuck di sini... Gk sesuai namanyaaa",Sicepat,DIY Yogyakarta
1,"Ekspedisi gak ngotak, pengiriman dalam 1 provinsi aja 5 hari gak sampai2 dan paket statusnya masih stuck di gudang sortir bantul",Sicepat,DIY Yogyakarta
1,"Beli di tokopedia,ekspedisi pakai si cepat(si lelet)
Seminggu gak sampai sampai, ternyata hilang,
Mending tutup aja",Sicepat,DIY Yogyakarta
1,"Gila anjir lama bgt, paket ku udah 1 Minggu gak diproses"" lama bgt anjig",Sicepat,DIY Yogyakarta
1,"Dari jam 7 an ini gd konfir gd jln jln paket sy, gmn sih",Sicepat,DIY Yogyakarta
1,"abis nginep di sini seharian (kadang malah 2 hari), digeser ke sleman, nginep lagi. Dulu pas nggak pake drop dulu di Bantul, pengirimannya bisa cepat. Dari jakarta cuma 3 hari. sekarang udah 5 hari belum nyampe tujuan",Sicepat,DIY Yogyakarta
1,"Pengalaman 2 kali mesen paket, kejadian yang sama cuma disitu situ aja paketnya, bisa sampai sehari lebih",Sicepat,DIY Yogyakarta
1,"Lama banget nyampenya, dikirim dari mekah po?",Sicepat,DIY Yogyakarta
1,"Hi Kak, untuk paket dengan nomor resi 005243121767 sudah keluar dari Gerai / Perwakilan DIY Sortation (Bantul) pada tanggal 26-04-2024 pukul 04:08. Mohon ditunggu kedatangan paketnya ya Kak. Terima kasih …",Sicepat,DIY Yogyakarta
1,"Tukang sortir pekok, alamat jelas2 lendah kulon Progo Yogyakarta, bisa2 nya di bawa ke gunung kidul.
Tololnya lg pas sampe GK, eeee kurir juga  bawa paketnya. Ini pada gabisa baca …",Sicepat,DIY Yogyakarta
2,"Apa mau bangkrut ini expedisi , paketan gak gerak gerak 2-3 hari  ?",Sicepat,DIY Yogyakarta
1,"Kalau Dapet ini pas flash sale kudu tenbel2in ati, kurirnya pekok semua",Sicepat,DIY Yogyakarta
1,"MINIMAL KALO PINDAH,PINDAH JUGA MAP NYA PANTEK GAJELAS NI EKPEDISI KOCAK GBLK",Sicepat,DIY Yogyakarta
1,"tulisannya 24 jam tp tutup pas didatangi, kalau ada yang tb"" butuh kirim paket jd bingung",Sicepat,DIY Yogyakarta
1,"Paket stuck disini sampai seharian full gaada pergerakan, pengiriman dari Klaten ke Wonosari masa iya sampai 6hariii. Namanya aja si cepat tapi respon lelet . Si lelet koplokkkk ga lagi"" pake jasa ini",Sicepat,DIY Yogyakarta
1,"Ganti nama aja jadi SiLemot, barang dkirim tgl 25 kemarin sampe sekarang tgl 27 statusnya masih didalam kota aja ga ada pergerakan . Biasanya dtempat lain ga nyampe lemot gini hadeh",Sicepat,DIY Yogyakarta
1,Jogja - boyolali sampai 1 minggu,Sicepat,DIY Yogyakarta
1,"paket gua 2 hari di tempat ini terus, lebih di perbaiki lagi lah kinerja nya",Sicepat,DIY Yogyakarta
1,"Udah 2 hari status barang bolak balik keluar masuk tempat ini. Ada jenis kurir kayak gini, aneh tp nyata",Sicepat,DIY Yogyakarta
1,Ga sesuai nama nya .. LAMBATTTTT..,Sicepat,DIY Yogyakarta
