Rating,Reviews,Company,Province
1,Pengalaman mengecewakan setelah menggunakan silelet ini memang sangat disayangkan. Tidak cocok dengan namanya. Say memesan barang yang lebih dari 4 hari dan stuck di Middle Mile Jakarta padahal jika dibandingkan dengan pesanan saya yang …,Sicepat,DKI Jakarta
1,"Kesalahan terbesar dalam hidup adalah memilih jasa pengiriman ini... Silelet tai anjimc....
Pesen paket dari tanggal 16 Desember 2024.... …",Sicepat,DKI Jakarta
1,"Paket dikirim dr tgl 25 desember sampe sekarang 5 januari masih disini aja. Emang bussuk ni ekspedisi. Ngga layak namanya si cepat, cocoknya silelet tukang karet",Sicepat,DKI Jakarta
1,"Ayodong kenapa malah lama katanya next day tapi inimah malah kaya reguler, gua bayar ongkir lebih. Dasar silelet t4i, harusnya kalo next day di pisah dong VIP gimana anj",Sicepat,DKI Jakarta
1,"Jujur nih kecewa banget sama ekpedisi ini, paket gue stak di jakarta middle mile ga berngkat2 ke alamat tujuan. Kalo paket udah di sortir mah yaudah jangan di endepin di gudang aja customer juga gamau rugilah. Gua pesen paket dr tanggal 3 …",Sicepat,DKI Jakarta
1,"kmtol lama banget sortir barang aja berhari harii babikk, luu bisa kerja gaa, ubah nama perusahaan lu jangan sicepat ga sesuai bangett ajgg, ubah ajaa jadi silambat, sortir barang kayak milihin beras perbutirr kali, barang yang gw perluin lagi urgent gblkk",Sicepat,DKI Jakarta
1,"Benci banget sama sicepat gaada perubahan sama sekali dari dulu selalu paling LELET LEMOT BANGET. Check out barang dari Tangerang Selatan ke Depok dari shoppe di tanggal 2 september jam 11, dan sampe hari ini tanggal 6 september gak dikirim …",Sicepat,DKI Jakarta
1,"Bubarin aja ini ekspedisi apa ganti nama sicepat jadi silambat
Masak dari tgl 30 sampe tgl 2 masih digudang ini padahal aku order dikirim dari tgl 29 ke jogja masih di sini trus . Kalau pakai jnt dah sampe  dari kemaren . Aku pilih ini terpaksa soalnya di toko oren ga bisa ganti cuma bisa silambat aja",Sicepat,DKI Jakarta
1,"keren parah, beli barang minggu nyampe senin.
tapi bukan senin besoknya tapi minggu depannya
kirim pengaduan via web, tidak dijawab …",Sicepat,DKI Jakarta
1,"Parah jakarta - sukabumi (jawa barat) 9hari belum sampai, setelah sekian lama menunggu dan sekarang 16 desember 2024, barang sudah di nyatakan hilang setelah sy cek barang ngendap di gudang ini, tapi tidak semua sicepat lelet tapi kalau …",Sicepat,DKI Jakarta
1,Woi anying ekspedisi tai bangke asu !! Barang gua gua pesan di tanggal 11 sampai sekarang di tanggal 16 masih nginep aja disini tai asu bangke!! Tutup aja perusahaan lo kalau kek gn!! Mana itu barang gua butuhin bangtt lagi!! Kirim gak tu paket gua sekarang!!,Sicepat,DKI Jakarta
1,"Beli paketan di toko oren si toko udh cepet bgt kirimnya eh ekspedisinya lelet bgt, padahal ada order barang make sicepat bogor on time ini sicepat jaktim inalilllahiiiiii kagak dikirim"" omooooo jelek sekali
Mana itu paketan mau dipake penting aduhhh",Sicepat,DKI Jakarta
1,"Nama doang sicepat, udah dua hari disortir di SC ini. Belom juga dikirim ke alamat gw. WORST OF THE WORST. Tokopedia please lah, ngapain masih make sicepat, masih lebih milih shopee dah dengan shopee expressnya.",Sicepat,DKI Jakarta
1,Jelek banget! Paket ga nyampe-nyampe. Udah 6 hari ga jalan ternyata pas di cek masih mangkrak disini. Tolong sistem kerjanya diperbaiki lagi!,Sicepat,DKI Jakarta
1,Ampun gue kapok sekapok kapoknya lupa pilih ekspedisi pas co di shopee. Alhasil dapetnya si lelet ini. Paket gua 5 hari dari jakbar ke jaksel aja muter dulu ke pusat sortir jaktim anying mana lama bgt ga sampe sampe. Tolong manajemen nya perbaiki dong! Bikin emosi aja lu,Sicepat,DKI Jakarta
1,Barang yg sudah di gudang tidsk di kirim kirim ke alamat alasan banyak banget di saat chat CS malah di akhiri sepihak. Aduhhh gimana sih si lambat ini,Sicepat,DKI Jakarta
1,"Tolonglah kirimpaket saya, sudah 5 hari paket saya ngendap disini.. tolonglah kalau memang sudah tidak sanggup gulung tikar aja jangan merugikan customer.",Sicepat,DKI Jakarta
1,Anim banget paket gua udah seminggu stuck di gudang sortir jaktim kaga jalan jalan....emang membagongkan sekali expedisi ini,Sicepat,DKI Jakarta
1,"Paket stuck 2 hari di sortir jakarta timur, jakarta bandung biasa 2 hari sampai pake expedisi sebelah. Failed aja bos klw udh ga sanggup di expedisi. Yg lain di bikin cepet ini di bikin lambat",Sicepat,DKI Jakarta
1,Kesel bgtt barang gua ga sampe2 ini mah si lelet bukan si cepat lgi urgent bgtttt padahal udh di kurir loh smpe skrng ga datang2 udh dri pagi 😭 …,Sicepat,DKI Jakarta
1,"Paket aku udah tiga hari nggak gerak di sini.stack disini ngga ada perubahan, Ini karyawannya pada lagi nyari jarum di tumpukan jerami, atau gimana, sih ga jelas sumpah",Sicepat,DKI Jakarta
1,PAKET GW YG DARI BANDUNG PAKE JNE UDAH NYAMPE PKU PADAHAL DI KIRIMNYA DI HARI SELASA INI DARI HARI SENIN DI KIRIM MASIH DI SORTING CENTER MULU KALO BISA JANGAN PAKE SICEPAT WALAUPUN GRATIS ONGKIR!,Sicepat,DKI Jakarta
1,Ekspedisi paling buruk di dunia kayaknya ni silelet paket dari tanggal 28 sampe sekarang tanggal 31 masih stuck disini. Nama sicepat tapi kerja superr lelet,Sicepat,DKI Jakarta
1,woy paket saya kirim jangan di diemin di sana parah banget si cepat dari jam 10 siang sampe jam 10 siang skrng gaada kemajuan tu paket parah kapok pake si cepat,Sicepat,DKI Jakarta
1,"Pengiriman lambaaaat...gak bisa di tepat waktu, mending cari pengiriman yg lain, tidak sesuai dgn namanya sicepat, ganti aja silambat",Sicepat,DKI Jakarta
1,"Paket saya udah ketahan 4 hari di sini...
Bukan secepat namanya, ganti aja si lambat..
Cuma 7 menit jarak rumah dari sana...
Pelayanan buruk sekali... 😡😡😡😡😡 …",Sicepat,DKI Jakarta
1,"Anomali ni sicepat LEMOT LAMBATTTTT pesen dari tanggal 28 nov - 3 des blm jalan jalan, klo emang overload juga ga gini gini akat kalii LEMOT LELET LAMBAT",Sicepat,DKI Jakarta
1,Jasa pengiriman paling jelek se indonesia adalah jasa ini mending pake yang lain aja baru coba udah langsung nyesel sumpah kapok bangett....,Sicepat,DKI Jakarta
1,"Woyy paket gueee cpet anterin dr tggal 28 smape. Tggal sgini ga smpe2,, niat mau anyer gaa sihh pangen bgt ngomong binatang guee 😏 sampe rumah gue aja beloman udah dkmbliin aja ke pengirimin maksdnya apa cbaaa …",Sicepat,DKI Jakarta
1,"Ku ingin berkata kasar sama ini pengiriman.
Kirim barang dari cirebon ke jakarta hampir 1 minggu belum sampe. Semoga barang masih aman. …",Sicepat,DKI Jakarta
