Rating,Reviews,Company,Province
1,"Buruk skali ini pake ekspedisi si cepat,, masa paket di Gorontalo dari tgl 7 sampe skg drg blum antar2,,,",Sicepat,Gorontalo
1,Lama skli b tunggu paket s 3 hari dng in blm sampe' kurir b Kase alasan yg tda masuk di Akal,Sicepat,Gorontalo
1,"Cuma satu kali di konfirmasi antar, trlmbat stngah jam angka tlfon langsung drg refund barang tnpa pengetahuan pembeli atau penjual, expedisi terburuk selama sya pesan online. Gaji buta pemalas !!",Sicepat,Gorontalo
1,Ini akntor apa uti. Jam stengah 10 msih tutup. Hari jumat.,Sicepat,Gorontalo
1,expedisi ga jelas. paket 3 hari d sortir terus. senin kantornya tutup masa? ga tau nasib paket saya gmn.,Sicepat,Gorontalo
1,Namnya si cepat tpi nyatanya si lelet bangeeeet. Estimasi sampai tanggal 1  ehh skrng sdh tnggal  3 paketnya belum ada huuuh niat bisnis ngk sih😒 …,Sicepat,Gorontalo
1,"Ngni p kantor sebenarnya dimana?
Supaya barang saya jemput langsung
👎🏿👎🏿👎🏿 …",Sicepat,Gorontalo
1,S 1 mnggu dpe kurir d jlan,Sicepat,Gorontalo
1,"BO DEPE NAMA SICEPAT PADAHAL RUPA APA ! kta p barang nynda jelas di toko oren kt p pket so di gorontalo tapi tda tau dmna, ini saja kt so dtg akan lngsg dkntor boti ada tutup kntor, smpe kntor sttlis diKONTRAKAN nntau so dmna kt p paket ini !! Kase jelas kamari !",Sicepat,Gorontalo
1,"Nama Paket siCepat tapi barang lama mengendap di gorontalo,,,contoh kongkrit paket tgl 10 januari sudah di gtlo,,skrg tgl 13 posisi masih sama,,,",Sicepat,Gorontalo
1,"Wadddoh sdh kapok sy pke kurir ini, nama perusahaan si sepat, tp pengantaran paket paling lambat dan loding. Kirim paket berhari2 tdk ada update, pegawaix pemalas",Sicepat,Gorontalo
5,Di P.O paketnya datang tgl 5-6 eh sicepat tgl 1 udah ada 🤣🤭 …,Sicepat,Gorontalo
1,"Slama skli pket in dgorontalo, antar kmri jo di rmah uti, lgi ngni bkng apa?😩 …",Sicepat,Gorontalo
1,"For ngoni jangan ada lagi yg mo pke ini SiCepat, cmn dpe nama yg cepat mar dpe real bo hoax.. tpe barang slwat tggl jato tempo blm sampe""..",Sicepat,Gorontalo
1,"Harusnya berganti nama jadi si Lelet.
Sudah berapa hari paket belum juga diantar. Sudah WA kurir tapi ga aktif².
Kapok pake jasa pengiriman ini lagi.",Sicepat,Gorontalo
1,"Sudah jam 11 kantornya belum bukaaa,2 hari paket saya di kantor tidak d antar,di chat kurirnya tidak balas,di telepon tidak aktif",Sicepat,Gorontalo
1,"Paketnya kapan di antar pak?? Sdh 3 hari stts nya sdh di Kab. Gtlo tapi sampai skrg paket blm saya Terima.
Dari Limboto k batudaa butuh brp abad perjalanan???",Sicepat,Gorontalo
1,"Paket tertulis sudah ditangan kurir, tapi berhari2 blm sampe. Per 21/10/2023 aku cek di limboto tapi bangunan sudah tutup, dan ada tulisan dikontrakkan",Sicepat,Gorontalo
1,"Si lelet ekspres, 3 hari blum sampe2 pdhls ada paket, napa jam 10 blum buka kantor, pdhl hari rabu. Paraaaahhh",Sicepat,Gorontalo
1,Paket saya ga di anter2 sampe skrg kurirnya janji buat nganterin kemarin sampe skrg di telfon2 ga di angkat. Kecewa bgt. Itu barang udh mau saya pake buat kebutuhan kmps sampe report ke shopee nya. Ternyata paketnya udh di ekspedisi wkwk kocak emang (cabang LIMBOTO),Sicepat,Gorontalo
1,ada yang tau dmna tempat SICEPAT Limboto skrng?,Sicepat,Gorontalo
5,"Kurir tersopan sejagad, nda pernah bad respon. Kirim barang di kasih estimasi waktu yg rasional 3 - 4 hari. Tau² 1 stengah hari so smpe di kota tujuan. Mmang terbaiiiq. Maju terus sicepat",Sicepat,Gorontalo
1,Lambat sekali brang sdh 1 bulan blum smpe2,Sicepat,Gorontalo
1,paket sdh 2 hari di cabang Limboto tp belum juga di antar padahal area penerima paket satu area (cuma 5 menit jarak titik penerima)..ini sicepat ato SILAMBAT ???,Sicepat,Gorontalo
1,"Btw, so TIDAK ADA KURIR kalian ini? Paket dari jawa sampe gorontalo tdk sampe 2 hari. Ini pket so di gorontalo somo masuk 6 hari belum di ANTAR. Bo so kadi SI LELET klo bgini.",Sicepat,Gorontalo
5,"Saya sekali menjemput kiriman fi tempat ini, tempatnya gampang untuk di dapat, adminnya koperatif dan sepertinya terdidik dan tau melayani costumer, jika paket terlanjur dibawa kurir, mereka dengan sigap menghubungi, jika tidak di jawab, …",Sicepat,Gorontalo
1,"lama banget barang dikirim, masa 4 harian cuman dikantor trus barangnya",Sicepat,Gorontalo
1,"Barang saya sudah 5 hari ni gorontalo,kok belum diantar jg k rumah..",Sicepat,Gorontalo
2,"Ini kt pe paket so ada cmn dpe kurir jaga tlpon"" Jga cht debo tda ada dia mbalas biar cmn mbalas kmri itu WA tda ad hmmm bo si lelet (CABANG GORONTALO LIMBOTO)",Sicepat,Gorontalo
1,"Namanya sicepat,
Mengantaran paling lama. Kapok sdh aku pake jasa ini",Sicepat,Gorontalo
5,"Pengiriman sangat cepat, saking cepatnya paket dipesan besok, kemarin sudah ada kurir yg nelfon",Sicepat,Gorontalo
1,Paling tidak jelas. Kantor tutup.,Sicepat,Gorontalo
1,Si LAMBAAAAAT 10 HARI BELUM SAMPAI,Sicepat,Gorontalo
