Rating,Reviews,Company,Province
1,"Pelayanan lambat barang sudah sampe sortir dri tgl 9 sampe sekrang gk dianter anter, tau gk sii barang itu buat dijual lagi, gk ada pergerakan sama sekali, jgn keseringan kaya gini lama lama customer kabur, yg ada kalian bangkrut, tolong ya paket saya dianterkan",Sicepat,Jambi
1,Ekspedisi SICEPAT ini kurang bertanggung jawab. Sudah kejadian k dua kalinya. Ekspedisi ini tdak mau ngirim smpek alamat tujuan. Mereka cuma mau sampai alamat kota.klo mau smpek alamat tujuan di over ke ekspedisi lain. Dan nambah ongkir …,Sicepat,Jambi
1,"Ingin coba aja, apakah benar Sicepat. Ternyata Silambat. Mask paket dari jakrta sdh 6 hari nggak nyampei. Biasa pakei JNE dam TIKi dari Surabaya aja 4-5 hari sampei. Kalo dari Jakrta 3 hari saja.",Sicepat,Jambi
1,"paket saya sudah sampai digudang sortir sicepat tgl 6 , masa tanggal 7 juga gak ada pengantaran ke alamat lemot banget di silambat ganti nama brand jadi silambat atau silemot aja lah",Sicepat,Jambi
1,"Ga usah nyalahin keadaan atau saingan yang besar kalo kalian saja pelayanan nya SANGAT BURUK.
kirim barang dari jambi ke jambi yang notabene nya masih 1 kota aja 4hari stuck di SORTIR.",Sicepat,Jambi
1,"Khusus Si Cepat, tolong dunk diperbaiki pelayanannya, mosok paketan di pending di gudang terus, kalau g bejus mending di tutup saja, tidak usah buka jasa pengiriman, utamakan pelanggan itu penting. Harus mencontoh jasa tempat lain itu …",Sicepat,Jambi
1,"Sumpah Demi apapun pengiriman jelek sekali..
Udah seminggu paket di gudang baru di antar sekarang kerumah..
Dan dadakan pas orang gaada dirumah.. …",Sicepat,Jambi
1,"Paket gua seminggu lebih blum sampe dri tanggal 12,kemarin gua ke gerai sicepat sortation ktny pindah,beringin dikontrakan jdi gerai yang bukak daerah mna klo lama pengiriman biar saya ambil ke lokasi aja si lemot",Sicepat,Jambi
1,Pengiriman sangat lambat. Bisa bisanya salah antar sampai dua kali untuk barang yg sama. Dari tgl 17 sampai tanggal 25 desember ini belum ada kabar untuk barang kiriman.,Sicepat,Jambi
1,"Ekspedisi paling buruk, paketnya udh sampai di gudang berhari2 tp ga diantr2 ke alamat rmh. Nggu harus di jempt sndiri ke gudang. Ganti aja nama ga sesuai si cepat alias si lelet.",Sicepat,Jambi
1,"Barang aku kok gak di anter2 udh 2 hari smpai di jambi, sumpah lemot banget
Udah ganti aja jd siLambat nama ekspedisinya
Gak bener ni
Kecewa sm ekspedisi ini",Sicepat,Jambi
1,"si lelet bener kata orang orang yang komplain paket dah sampai di gudang sortir di kota tujuan malah stuck di situ aja berhari hari. kapok dah pakai sicepat, si lambat si lelet halu",Sicepat,Jambi
1,"moga cepat bangkrut deh. ga sekali dua kali. berkali2 klo paket statusnya udah di jambi sortation, 3-5 hari pun tahan dia ngendepin di gudang ga diantar2.",Sicepat,Jambi
1,Setiap dapat expedisi ini selalu paketnya dk pernah sampai dengan alasan alamat bermasah terus padahal tidak pernah ada masalah dengan alamat😡😡😡 …,Sicepat,Jambi
1,"Ekspedisi paling parah,lebih lambat dibanding pengiriman yang lain seperti jnt atau spx,aku kira bakal cepat di 2hari nyampe Jambi dan diantar ke alamat saya,nyatanya masih stuck di gudang ny,parah banget dah",Sicepat,Jambi
