Rating,Reviews,Company,Province
1,"SiCepat❎
SiLelet, SiLemot✅
Mending buka warteg aja, karna sepertinya kamu gak mampu usaha jasa kirim …",Sicepat,Jawa Barat
1,"Tidak sesuai dengan namanya wkwkwk, cepetan paket yg pesen dua hari lalu udah dateng, lah ini mau 1 minggu cokkk",Sicepat,Jawa Barat
1,"Barang saya belum juga diterima, sudah dikirim dari tanggal 19 Desember padahal hanya dari Bandung ke Subang.  Status pelacakan paket juga tidak di update. Pelayanan customer service sangat mengecewakan. Jangan pernah lagi pakai sicepat.",Sicepat,Jawa Barat
1,"Bjirr estimasi ke pengiriman ke Sukabumi mau sampe sebulan bang??? Ekspedisi paling lemot menurut gw ni sicepat.. gw tau ada event 10.10 di onlineshop manpun, tapi gw pesen dihari yg sama dgn ekspedisi yg beda, ekspedisi sebelah padahal …",Sicepat,Jawa Barat
5,"Alhamdulillah, paket sampai dalam waktu 1 hari

Sukses terus sicepat , semoga bisa bangkit dan memperbaiki kendala sesuai keinginan konsumen",Sicepat,Jawa Barat
1,"Ekspedisi gila lama banget trs aja disini paketnya mana kaga bisa dihubungi, ekspedisi paling lambat masa lebih cepet ekspedisi yang lain padahal yang dianterin duluan pake ekspedisi sicepat tapi malah lama nyampenya",Sicepat,Jawa Barat
1,Ini kurirnya jalan kaki apa g mana? Bekasi Bandung aja 10 hari lebih gk sampe2. Ini mah bukan si Cepat tapu si Lemot. Udah tutup aja gk usah jd kurir,Sicepat,Jawa Barat
1,"Ini gimnaa oyyy paket saya dari tanggal 13 belum mju maju, kalo gini mh auto ganti nama nih ekspedisi bukan si cepat, tapi si lelet😭😭😤👊 …",Sicepat,Jawa Barat
1,"Astagfirullah, bukannya gawe malah mogok kerja. Paket saya dari Senin (04/11) - Jum’at (08/11) masih stuck disini, kagak nyampe2 ke rumah, padahal coverage area masih sama di Bandung. Dah kek sekolah aja, gajelas banget",Sicepat,Jawa Barat
1,"Ini paket sengaja nggk mau di kirim apa gimana ?

Dialihkan ke hari berikutnya mulu, kalau memang nggk mau kerjasama pihak olshop …",Sicepat,Jawa Barat
1,Ini yang punya si cepat siapa ya.. liat rating jeblog. Ga ada perbaikan.. mending blacklist aja dari penjualan online. Nyusahin kita perlu cepat malah lama. Nyampe nya,Sicepat,Jawa Barat
