Rating,Reviews,Company,Province
1,"Sorry broo...b1 soalnya paket yg saya beli mau buat di review tapi malah stuck di gudang sortir anda, intinya nanti saya infokan sedikit pembahasan mengenai jasa kirim ini di vidio saya (khususnya gudang sortir semarang) sesuai fakta yg …",Sicepat,Jawa Tengah
1,"paket dr minggu siang udah sampe sortation tp ga dikirim"" sampe pagi ini. tolong dong diperbaiki lagi kinerjanya. barang"" yg dibeli itu mau segera dipakai. lama bgt stucknya heran",Sicepat,Jawa Tengah
1,"Paket belum ada update status lagi sejak 22 Desember 2024 pukul 06.18. Tolong diperbaiki lah, saya butuh paketnya secepat mungkin. Seharusnya tanggal 23 itu sudah sampai loh, paket yang saya checkout berbarengan dengan paket tersebut malah …",Sicepat,Jawa Tengah
1,"Dari tadi saya nunggu belom datang juga paket nya, ini udah malam Lo padahal, katanya sicepat tapi kok lama🫵🏼😂 …",Sicepat,Jawa Tengah
1,"Dari jum at malam sampe minggu pagi masih aja di sortir, lemot amat, padahal sama2 satu kota bukan beda pulau, parah amat ini..
Kecewa kecewa .. Gak lagi gak lagi pake jasa ini..",Sicepat,Jawa Tengah
1,"Udah deket rumah, engga sekalian dianter malah pengiriman gagal, namanya sicepat tpi pengiriman lambat, ngga sesuai nama. Tolol",Sicepat,Jawa Tengah
1,"udh seminggu lebih nungguin barangnya ga sampe”, ganti aja namanya jadi silambat jangan sicepat puki",Sicepat,Jawa Tengah
1,"Paket terparah, barang tidak ada pergerakan sama sekali. Sudah 3hari di tempat sortiran tidak kunjung dikirim.",Sicepat,Jawa Tengah
1,"Barang ga dikirim udh 3 hari dngan status yg sma, hari ke 4 tiba"" barang di balikin ke pe jual ga ada konfirmasi sma skali ga ada wa, tolol",Sicepat,Jawa Tengah
1,"SiCepat? SI LAMBAT KALI, UDAH BERHARI HARI STUCK DI TEMPAT NI ORANG SAMPE PAKET YG TERAKHIR DI CO PUN DATENG DULUAN, TUTUP AJA SEKALIAN",Sicepat,Jawa Tengah
1,"Sudah yampek di Semarang sudah 3 hari, sampai sekarang belum di kirim kiri, jasa pengiriman yang paling buruk banget",Sicepat,Jawa Tengah
1,"Padal udah satu kota udah 3 hari ngga ada pergerakann, ekpedisinya gimana yaa???
Namanya aja sicepatt tapi kerjanya Lambat!",Sicepat,Jawa Tengah
1,Barang...   Sudah 2hr di gudang sortir tp gak dikirim2...   Mau diambil tidak bisa …,Sicepat,Jawa Tengah
1,rekor dalam kota aja 10 hari gg sampai sampai...  di ambil sendiri alesanya berbelittt,Sicepat,Jawa Tengah
1,Ini gimana barang lama bgt di sortir disini hampir seminggu gak gerak2. Parah bgt ganti nama aja jadi Silambat 👎🏻👎🏻👎🏻👎🏻👎🏻 …,Sicepat,Jawa Tengah
1,Tolonglah paket saya lama sekali belum di antarkan..🙏 …,Sicepat,Jawa Tengah
1,"kalo co di toko oren dapetnya ini mah males banget👹 udh bukan si cepat lagi. dulu cuman dari jogja ke solo aja bisa seminggu lebih, semarang solo pun juga kayak gitu. prnh juga pickup paket berhari-hari dinotif shopee kalau gagal di pickup …",Sicepat,Jawa Tengah
1,"parah banget, paket estimasi sampe tgl 10-11 sampai tgl 12 blm juga dteng. kontak DM instagram, WA slowrespon semua! padahal klaimnya CS 24jam, tp dibales di beda hari 😮‍💨 suka sedih kalo CO Sho**ee kurirnya pake si lambat satu ini. selalu tidak pernah ada solusi setiap nanya status update barang kita! …",Sicepat,Jawa Tengah
1,Ngirim barang sesama Semarang dari tgl 2 sampe tgl 6 stuck disini. Kocak emang,Sicepat,Jawa Tengah
1,"Bisa gasih bintang nya minus aja, 2 hari masih di sortir gila apa ya ekspedisi nya ini",Sicepat,Jawa Tengah
1,ADA JASA BUAT BOM TEMPAT SORTIRAN SI-PEKOK INI ? TOLONG HUBUNGI SAYA YA THANKS !,Sicepat,Jawa Tengah
1,"Banyak yg komplain paket berhenti di penyortiran berhari-hari. Tapi minim kontak untuk komunikasi.
Aku resmi hanya di INSTAGRAM namun untuk pelayanan custumer servise hanya …",Sicepat,Jawa Tengah
1,"PAKAT MAU DI EMBAT BERAPA TAHUN, KEK NAPI AJA DITAHAN SAMPE LAMA",Sicepat,Jawa Tengah
1,Goblok paket udah berhari hari belum ada pergerakan,Sicepat,Jawa Tengah
1,"Sumpah pelayanan nya jelek banget
Customer servicenya juga jelek banget
Astaga ampun",Sicepat,Jawa Tengah
1,Expedisi tolol ganiat kerjaaa paket 5 hari masih belom nyampe padahal cuman dari jatim! Yg lain pake jnt aja dari jakarta 3 hari udah nyampaii tololll,Sicepat,Jawa Tengah
1,"Lambat banget, 2 hr belum ada pergerakan di pusat penyortiran",Sicepat,Jawa Tengah
1,"ga jelas pesen tanggal 17 dateng tanggal 21,emg lelett!",Sicepat,Jawa Tengah
1,"Saya pakai sicepat - BEST bayar mahal, karena saya di hotel sampai hari Selasa, padahal pengiriman dri tgl 18 sampai Semarang tgl 19, sampai tgl 20 saat ini belum d antar, sedangkan sy sengaja pakai BEST karena tgl 21 udh pulang kampung. . Jika tidak di antar hari ini menjadi tanggung jawab perusahaan",Sicepat,Jawa Tengah
1,Leng celeng paket e ra dikirim kirim,Sicepat,Jawa Tengah
1,"Ganti nama jadi Silambat saja. Kurir pada nakal, barang tdk diantar tp status sudah sampai",Sicepat,Jawa Tengah
1,"Paket stuck terus, padahal udh di semarang",Sicepat,Jawa Tengah
1,Bener bener sama aja sicepat dimanapun berada kemarin nyangkut di JKT terus di Bekasi sekarang malah di Semarang haduuh kapan kau insaf sicepat mana paket saya udh 2 HR lagi disitu🤦🏻‍♀️🤦🏻‍♀️ …,Sicepat,Jawa Tengah
1,"paket gue jangan ditilep lah bloks
mau smpe kapan ini si cepat gini mulu kirim paket aja smpe berminggu minggu .",Sicepat,Jawa Tengah
5,pengiriman cepat dari tanggerang ke smg cuma 2 hari sabtu dikirim senin udah sampe.,Sicepat,Jawa Tengah
1,Tutup aja kalau g niat buka ekspedisi !!!,Sicepat,Jawa Tengah
1,"Kenapa paket saya udah 3 hr masih di penyortiran terus ,?
Kapam mau keluar gudangnya iniiii !!",Sicepat,Jawa Tengah
1,"Sicepat yang selalu tidak cepat, ganti aja SiLemot",Sicepat,Jawa Tengah
1,"Expedisi yg enggak sesuai dengan namanya🤣 silambat,alamat paket tujuan ngaliyan,paket di gudang udah 5hari  enggak di kirim"" …",Sicepat,Jawa Tengah
1,silambat kuontoll emang bisa” nya paket nyangkut 3 hari di sini ngapain sampe nginep di sini masalahnya bukan hotel sampai paketan nginep” sekali lagi guoblokkk,Sicepat,Jawa Tengah
1,"Gk ada update sama sekali, bener bener lama.
Dah paling bener pakai j&t …",Sicepat,Jawa Tengah
1,"Paket dari solo tanggal 29 jan 2022, chek resi sistem shopee mssih otw sortation. Tapi check cs sicepat udah sampe tertanggal 31 jan. Dan skrg tgl 1 hanpir 2 belum update resi aplikasi shoopee. Payah",Sicepat,Jawa Tengah
1,"Sicepat pengalamannya mengecewakan,paket saya lacak seharusnya saya terima tgl sekian,gk taunya mundur gk jelas&tanpa alasan!!!kapok gk lagi2 kirim paket PK sicepat express.namanya sicepat,tp kerjanya silambat",Sicepat,Jawa Tengah
1,"Nama doang sicepat, paket nongkrong di penyortiran 3 hari ga gerak²",Sicepat,Jawa Tengah
1,WKWKWK NAMANYA SI CEPAT PENGIRIMAN LEMOT . GANTI AJA SI LEMOT 🤮 …,Sicepat,Jawa Tengah
1,"Reviewnya pd parah, tp emg bener2 parah lambatny, krm paket dlm kota dr tgl 1 sep sampe tgl 4 msh stack d gudang sortir, parah parah, srn saya pake expedisi lain",Sicepat,Jawa Tengah
1,"status keluar dari line haul semarang, 4 hari ngga ada pergerakan, sebelumnya pengiriman dari klaten dg sicepat, 5 hari ngga ada perubahan status, SICEPAT khususnya jawa tengan adalah ekspedisi terburuk...",Sicepat,Jawa Tengah
1,"Sicepat Cargo 2 GAK NIAT KERJA !! Paket dianggurin berhari2 tanpa kejelasan, lapor CS sicepat cuma disuruh nunggu. Mau diambil ke lokasi alamat di google trnyata alamat servis elektronik ! SICEPAT EKSPEDISI GAK JELASSSS",Sicepat,Jawa Tengah
1,"Saya memutuskan untuk menulis review karena ini ketiga kalinya bagi saya menggunakan Sicepat untuk kiriman dalam kota Semarang, dan hampir 3 hari paket belum sampai. Seller dari Semarang Barat daerah Candisari, dan lokasi saya berada di Ngaliyan. Berulang kali terjadi. Keterlaluan!",Sicepat,Jawa Tengah
1,Gak cocok sama namanya harusnya si lambat aja.kirim dalam kota dari tgl 26 sampai tgl 2 blm ada tanda2 barang di kirim.,Sicepat,Jawa Tengah
1,"ini mobil yang kirim pake kecelakaan apa gimana, kluar dr semarang seminggu gak ada updht smpe skrng bahloel",Sicepat,Jawa Tengah
1,"Paket saya sudah 4 hari di lokasi ini, padahal barangnya urgent mau digunakan. haduhh bikin kecewa saja sama si cepat nihh",Sicepat,Jawa Tengah
1,"Saya sering belanja di tokopedia,
Dan rata2 di alihkan ke ekspedisi si sepat,
Entah kenapa paket saya selalu criss cross dan rata2 dari cabang sini, semarang …",Sicepat,Jawa Tengah
1,"Ga nyampe nyampe goblok, tutup aja",Sicepat,Jawa Tengah
1,Lama banget paket berhenti disini. Kalo ekspedisi lain cuma berapa jam di proses langsung di teruskan ke daerah penerima. Ini masa harus 24 jam,Sicepat,Jawa Tengah
1,"Ni kurir yg Namanya Sapto Budi Susilo kok ngeselin ya, barang udah sampe pagi, dibawa dia jg dr pagi, ditungguin sampe malam kaga dianter jg, kejadian ini udah bbrp kali dengan nama yg sama, kalo lg urgen butuh itu aku kudu pie?",Sicepat,Jawa Tengah
1,"PARAH. dari jakarta ke semarang aja bisa sehari. Masa udah sampe semarang, kirim ke semarang juga ditunda mulu. Gak ada update apapun selama 2 hari di semarang !! Padahal urgent banget. Nyepelein banget sih sicepat ini.",Sicepat,Jawa Tengah
1,Paket ane mana woy!,Sicepat,Jawa Tengah
1,"Parah bgt molornya..pengiriman dr tggl 12 tggl 21 baru smpe😩 itu pun harus tlp call centre dl (nunggu di opyak2)
Harusnya namanya jgn si cepat tp si lambat …",Sicepat,Jawa Tengah
1,Lamaaa pengirimanya,Sicepat,Jawa Tengah
