Rating,Reviews,Company,Province
1,"Perbandingan Terbalik,percuma jangan ambil untuk paket di si cepat lagi....
Si lemooot yang benar....
Sangat-sangat kecewa,sudah saya samperin di gerai 2 tempat sampai ditempat yang …",Sicepat,Jawa Timur
1,ga jelas malang ke maduraa udah 1 minggu ga dateng datengg mana paketnyaa ga jalan jalan dancok emanggg buatt kalian jangan mau pakek ekpedisi inii cukupp terakhirrr inii dah pakek si cepat,Sicepat,Jawa Timur
1,"paket ku udah hampir 2 minggu di line haul mp surabaya sampe skarang belum ada perkembangan paket di kirim.. Tolong dong jngn bikin kita mnunggu lama.. sumpahhh klo ilanggg gue minta duit gue di balikin,... …",Sicepat,Jawa Timur
1,"Tidak sesuai dengan namanya
Namanya si cepat tp semuanya lambat
Paket dr surabaya ke tulungagung sudah 3 hari di trackingnya kaga bergerak sama sekali",Sicepat,Jawa Timur
1,Paketnya lama banget diprosesnya JANCOKK. Paket Gresik - Tulungagung doang udah 24 jam ga gerak sama sekali!!! Lain kali kalo emang ga niat bikin jasa ekspedisi tutup aja suu,Sicepat,Jawa Timur
1,"Gara2 expedisi ini kerjaan gw telat, di toko oren estimasi nya cuma 5-10 hari,, sampai sekarang udah lebih 15 hari masih gak gerak paket gw,, nyesal gw milih expedisi ini",Sicepat,Jawa Timur
1,"Malasnya saya belanja dan ga mau belanja di tokopedia ya karna gak ada pilihan jasa kirim seperti j&t jne, otomatis, ya pas ketemu jasa kirim si cepat auto lah 3 minggu pengiriman, padahal saya ada pesan barang sesama surabaya tpi pake j&T …",Sicepat,Jawa Timur
1,"aku kira cuma paket ku, mampir disini ternyata banyak yg komplain
Mohon untuk dibenahi untuk pengirimannya karena terkadang kita membutuhkan cepat barang tersebut",Sicepat,Jawa Timur
1,"Lama banget dah paket gua, mending tutup aja dah terus ganti tuh gudang lu jadi tempat londry",Sicepat,Jawa Timur
1,"Paketan saya mangkir disini lebih dr seminggu, bubarkan saja jasa pengiriman sicepat ini gak ada guna.",Sicepat,Jawa Timur
1,"tolong lah paket saya sudah disini 4 hari tidak ada pergerakan, saya memilih xpedisi ini berharap paket cepat sampai bukan malah paket lelet sampai",Sicepat,Jawa Timur
