Rating,Reviews,Company,Province
1,"Ekspedisi parah, udah berhari hari paket ku gak ada kabar, distatusnya ""paket keluar dari kuburaya"" setelah itu gak update dan paket ntah hilang kemana",Sicepat,Kalimantan Barat
1,"Jasa pengiriman ndak jelas, paket malah di kembalikan... dibilang alamat bermasalah, alamat saye alamat toko ndak mungkin pindah.. di map bah ade...",Sicepat,Kalimantan Barat
1,"nama sicepat, pengiriman reguler dari tgl 16 sampe sekarang ga nyampe2 buset silelet atau sicepat
Reguler udah mirip hemat ‼️",Sicepat,Kalimantan Barat
1,"2 barang sama sama reguler, tapi malah barang lain yg baru dipesan sampe duluan, kek manaaaaa ganti aja namanya jangan sicepat wkwkwk si lambat aja",Sicepat,Kalimantan Barat
1,"3 hari pengiriman dari Jawa tengah, hari ke 4 paketnya status sudah di sortasi kubu raya. Luar biasa ini paket di sortasi kubu raya sudah terhitung 8 hari. paket saya masih belum sampai juga. Jika dijumlahkan harinya paket saya sudah 12 …",Sicepat,Kalimantan Barat
1,"paket Saya Dimana ini. Nanya CS yang jawan pesan otomatis,",Sicepat,Kalimantan Barat
1,expedisi ini harusnya dapat rekor pengiriman terlama yang pernah ada! bayangkan paket dari jakarta ke balaiberkuak 25hari gak nyampek-nyampek! sampek sekarang saya gak tau paket saya dimana gimana kabarnya dengan siapa 🤣🤣 …,Sicepat,Kalimantan Barat
1,Paket saya sudah tertahan 9 hari dengan status posisi di Sicepat sortation Kuburaya. 9 hari yang seharusnya datang tanggal 25/11 sampai sekarang belum datang.,Sicepat,Kalimantan Barat
1,"Pesanan dari kota Pontianak dan akan diantar dipontianak pula, status pesanan diantar kealamat tujuan mulai tgl 25 sampai tgl 30 paket belum sampai,, pertanyaannya perjalanan kesiantan saja butuh brp hari? Tolonglah yang amanah sesuaikan dg namanya kalau memang si cepat🙏 …",Sicepat,Kalimantan Barat
1,"brg dri tgl 8 digudang,gk diantr2 ke alamat.kurirnya tidok kli ye,mkan gaji buta.
mahal,lelet lgi pngirimanya,respon jelek",Sicepat,Kalimantan Barat
1,"Bintang dan ulasan tidak diragukan lagi, memang benar mengecewakan. Barang tertahan di sortation",Sicepat,Kalimantan Barat
1,Parah.... sampe call kantor nya 2x masih ga gerak gerak. Kurir ny pada tidur apa gimana ini. Barang sangkut dri tgl 24. Harus saya yg samperin ke agent ??? Hadeh,Sicepat,Kalimantan Barat
1,"Paket sudah 2 minggu tertahan disini, total sudah 3 minggu (dari tanggal 4 November ) paket nggak sampai2. …",Sicepat,Kalimantan Barat
1,jasa kurir terlelet yg pernah saya gunakan,Sicepat,Kalimantan Barat
1,"paket saya sudah hampir 1 bulan belum ada kabar"". Pesan 7 November sampai sekarang belum sampai""",Sicepat,Kalimantan Barat
