Rating,Reviews,Company,Province
1,"Sering banget paket gak sampai malah kembali balik ke penjual. Malah kemaren paketku sempat hilang.
Bisa gak sih konfirmasi dulu ke yang punya paket sebelum dikembalikan? Gak ada email gak ada WA eh paket udah balik kepenjual aja.",Sicepat,Kalimantan Selatan
1,"Gila.... Pengiriman ditunda : Pembeli tidak ada di lokasi pengiriman

Alasan apa itu🤬 ... Aku yang nunggu, kagak kemana2 loh... Paket reguler kok 2 …",Sicepat,Kalimantan Selatan
1,"KD kompeten expedisi yg ini, setengah bulan KD sampai2, sudah sampai ke Banjar, maka bebulik ke Jakarta pusat pulang,. Aneh oa., KD niat hndak be usaha klu, ganti aja nama nya si cepat, jdi si paling lambat,",Sicepat,Kalimantan Selatan
1,"Jangan mau lagi pake ekspedisi ini, dah 3 hr di tempat sortir ga bergerak, dlu ambil sendiri D marahin sama admin cowo yg D banua anyar, sejak itu ga mau lagi. Ini lagi apes pesenan Shopee 2 dapet nya ekspedisi ini, 3 hr keduanya msh D sortir ga bergerak",Sicepat,Kalimantan Selatan
1,"Ekspedisi paling buruk, tiap kali pake si cepat selalu bermasalah paket di putar2nya tiba2 di nyatakan hilang ini sih dasar karyawannya yg gak bisa kerja paket dilempar sana sini",Sicepat,Kalimantan Selatan
1,"BARU PERTAMA KALI NULIS ULASAN BEGINI. PELAYANAN YANG SUPER BURUK DAN LAMBAT. ORDER TANGGAL 4 NOVEMBER 2024, TAPI SAMPAI TANGGAL 15 NOVEMBER 2024 (HARI INI) DI TOKO ORANGE PAKETNYA BELUM SAMPAI JUGA. ZOLIM TAU KALAU KAYAK GINI, BANYAK PIHAK …",Sicepat,Kalimantan Selatan
1,Ngalih nya pang baya nyortir di lawa si lagi unda handak manggawi mun handak bagawi bujur² ikm kai tu baik kd usah jadi kurir kd kawa dipercaya lalu lambat di tahan mun isuk kd datang bintang 1 tupang pelayanan kurir nya,Sicepat,Kalimantan Selatan
1,"Wahai sicepat, kemana paket saya kenapa sudah lebih dari 10 hari masih belom di antar juga, knp gk tutup aja perusahaan yg kualitasnya buruk",Sicepat,Kalimantan Selatan
1,"2 kali pakai sicepat kada da bagusnya.
Pertama lewat estimasi tapi pas di hubungi ke customer service langsung dilayani. …",Sicepat,Kalimantan Selatan
1,Kurir rekomendasi di tokped tp sangat tidak recommended. Udah lebih 4 hari paket saya nyangkut disini gak bergerak. Udah gitu update pejalanan paketnya gak jelas,Sicepat,Kalimantan Selatan
1,"Tolong ya jangan mengecewakan pembeli maupun penjual.

Status paket gk gerak2. Mana susah dihubungi. Mau ditimbun paketnya dsna???",Sicepat,Kalimantan Selatan
1,"Mohon sekali admin, tlg d urus paket kami. Knp mandeg lama sekali lebih seminggu d tempat sortir, dan bbrp paket apes nya",Sicepat,Kalimantan Selatan
1,"Bener bener ini sampe SDH kadaluarsa barang nya masih ga d krm2, ga normal pengiriman reguler LBH dr 2 mgu",Sicepat,Kalimantan Selatan
1,"Antar paket ku tai,udah 2 minggu ini,masa udah di banjar balik lgi ke jakarta kan tai ni ekspedisi",Sicepat,Kalimantan Selatan
1,"Lamaaaaaaa paket kesana kemari, ekspedisi kada jelasss, klo kada niat baik tutup jaaa ekspedisi siput iniiiii",Sicepat,Kalimantan Selatan
1,"Masa paket udh 1 minggu blm sampai jua lagi, kmna kurirnya 🤷😏 …",Sicepat,Kalimantan Selatan
1,"Bangke, paket gue gak dikirim2 udah seminggu lebih belum datang2 juga niat kerja gak sih ini perusahaan",Sicepat,Kalimantan Selatan
1,aneh di cari sesuai titik eh ga ada udh 10 hari lebih paket saya ga sampai sampai,Sicepat,Kalimantan Selatan
1,Woyy paket saya antar!! DARI TANGGAL 9 SAMPAI SEKARANG GA SAMPAI SAMPAI KE BALANGAN!! JALAN KAKI KAH EXPEDISI NYA!!,Sicepat,Kalimantan Selatan
1,"Paket nyangkut gak bergerak masih di pusat penyortiran banjar,sudah 5 hari.",Sicepat,Kalimantan Selatan
1,Paket sdah dri taggal 2 smpe taggal 8 ga ada pergerakan. Paket masihbd bandung,Sicepat,Kalimantan Selatan
1,ekspedisi paling lambat 4 hari masih di disitu2 aja,Sicepat,Kalimantan Selatan
1,"Pakett lama bgt, 7 hari cuma muter2 dibanjar",Sicepat,Kalimantan Selatan
1,"Ekspedisi paling buruk, paket tidak ada pergerakan disortation.",Sicepat,Kalimantan Selatan
1,"paket saya dimana, masa paket saya di tracking balik ke jakarta lagi",Sicepat,Kalimantan Selatan
1,Woy cepetan lah antar. Ini gimana sih ke Martapura aja lama banget.,Sicepat,Kalimantan Selatan
1,"Pengiriman lama
Paket ga bisa di tracking",Sicepat,Kalimantan Selatan
1,"Dasar kd beres ini, sdh 3hri lewat estimasi kdd ja lgi meantar",Sicepat,Kalimantan Selatan
1,12 Hari paket belum jua lagi sampai,Sicepat,Kalimantan Selatan
1,paket saya nyangkut dimana wahai si siput,Sicepat,Kalimantan Selatan
1,"Banjarmasin -rantau, masa 5 hari blm sampai 🤬 …",Sicepat,Kalimantan Selatan
