Rating,Reviews,Company,Province
1,"Pesan dari tanggal 29 desember 2024, dan ini sudah tanggal 4 januari belum ada update dan barang belum dikirim 😁 1 minggu nunggu paket belum datang dan tidak ada update 😁 …",Sicepat,Kalimantan Tengah
1,"Paket saya kenapa gk diantar2 capeeee nunggu. Mana kurir gk menghubungii apa susahnya sih kalian ini.
Estimasinya hari ini ya terakhir, tapi kemarin lagi pengantaran tiba2 dibatalkan …",Sicepat,Kalimantan Tengah
1,Paket saya kapan sampainya status di antar kurir tapi gk sampe2 juga. Si cepat apanya tak sesuai  dengan nama si cepat,Sicepat,Kalimantan Tengah
1,"PAKET STATUSNYA DIANTAR TAPI GA ADA NYAMANPE” RUMAH NYASAR ATAU GIMNA HUBUNGIN JUGA GA ADA . TIBA” STTNYA BERUBAH JADI DIBATALKAN KARNA ALASAN LAINYA LAINYA APAAN ???, KATANYA SICEPAT SICEPAT HALUUUUUUUUU",Sicepat,Kalimantan Tengah
1,ekspedisi apaan ini gajelas paket gada info nya berhari2 kocakkk kocak,Sicepat,Kalimantan Tengah
1,Jangan kirim paket via jasa ini. Paket gak di antar. Moga cepat bangkrut se indonesia,Sicepat,Kalimantan Tengah
5,"Mau ngambil paket di kantor si cepat, diberi nomor kontak org kantornya. Diberitahu dgn baik, dicekkan resi dan diarahkan ke alamat pengambilan paket. …",Sicepat,Kalimantan Tengah
1,mana paket saya nih lama amat ga datang datang,Sicepat,Kalimantan Tengah
1,"Paket saya tidak sampai sampai ,, trauma pakai si cepat",Sicepat,Kalimantan Tengah
1,JASA PENGIRIMAN APA INI ? GAK ADA TERIMA PESANAN TAPI PESANAN STTUS SUDAH DIANTR DAN LAIN RUMAH LAGI!! JELAS ADA NO WA SAYA KENAPA TIDAK KAU WA  !!! RUMAH SIAPA KAU POTO !!!,Sicepat,Kalimantan Tengah
1,"kapok dah pakai jasa kurir sicepat, masa iya dari banjarmasin ke lamandau sudah hampir 2 mingguan gak sampai2👎👎👎 …",Sicepat,Kalimantan Tengah
