Rating,Reviews,Company,Province
1,"Kesel bgt di shopee otomatis kirim pake ekspedisi ini! Udah dikirim dari tgl 11 sampe skrg tgl 21 blm jg keluar dr gudang samarinda padahal reguler lho! 🤬🤬🤬
Telp cs sicepat jg tiba2 dimatiin padahal blm ngomong sama cs nya 👊🏻👊🏻 …",Sicepat,Kalimantan Timur
1,"Paket saya stuck di tempat ini dari tanggal 2 hingga hari ini tanggal 6, tolong dong di tingkatkan kinerja nya, paket itu adalah KEBUTUHAN kalau kalian lalaikan sama dengan kalian SEPELEKAN kebutuhan orang.",Sicepat,Kalimantan Timur
3,"Baru prtama makai jasa ini blanja di lazada tokonya dari balikpapan statusnya skarang lagi dlm perjalanan ke alamat mudah""an betul dikirim hari ini karena baca smua ulasanny bikin merindin,(pesanan saya non cod) mudah""an cpat d antar krna.sdh d bayar dn butuh scpatnya mau dipakai",Sicepat,Kalimantan Timur
1,"2 paket saya statusnya nge-stack disini dari tgl 3 Januari dengan status ""paket keluar dari samarinda (sortation)"" Sampai sekarang. Masa iya dari SMD - Melak sampai 5 hari, lawak kocakkk",Sicepat,Kalimantan Timur
1,"Barang udah sampe di kota tujuan samarinda dari tgl 7 november tapi sampe sekarang ga di anter"" kurirnya,nyesel bgt pake ekspedisi ini !!
Ga tau sih kenapa bisa direkomendasiin sho**e pake ekspedisi ini,nama doang sicepat,tp nyata nya bener"" lelet 😭😭😭 pdhl barang nya bener"" ditunggu …",Sicepat,Kalimantan Timur
1,"sorry bgt yaa.. udh 3x loh bolakbalik ke pergudangan cm buat nyari barangku yg gatau sdh dmn. alasannya brgku tebawa sampai berau. KOK BISAA??????. janjinya besok/lusa dtg. tp pas lusanya dtg lg, katanya brg di gudang talangsari (?) ok, mnt …",Sicepat,Kalimantan Timur
1,"Paket sampai di gudang sortir samarinda tgl 16 Des, sampai sekarang tgl 23 Des g ada pergerakan sama sekali, buka google memang ternyata reviewnya g ada yang bagus, yang rencana kirim2 paket pakai ekspedisi ini tolong di pikirkan kembali, namanya si cepat padahal aslinya si lambat",Sicepat,Kalimantan Timur
1,"Paket kena criss cross dari tanggal 27-28 September,kirain tanggal 29 bakal dikirim ke Kalsel,rupanya ditahan,status pengiriman belum ada pergerakan.Saya chat admin dari produk yang saya pesan katanya estimasi dari ekspedisi tanggal 4 …",Sicepat,Kalimantan Timur
1,"barang saya sudah dikirim tanggal 2 oktober tapi tidak ada menghubungi saya dan tiba tiba paket sudah di kembalikan ke tempat sortir lagi. sampai sekarang belum di kirim kirim, di keterangan bad addreas padahal yang melakukan pengiriman via …",Sicepat,Kalimantan Timur
1,saya pesan dari tanggal 25 November sampe sekarang blm sampe sampe selalu di undur estimasi nya sampe sekarang tanggal 4 Desember masih blm di krm ini mau kirim selesai tahun baru kh apa gimna nama doang si cepat ekspres,Sicepat,Kalimantan Timur
1,"Sumpah ni pesanan saya smpek mau 1 bln blm jga smpai, di samarinda udah mau 10 hri gk jga gerak ni pket diam d tmpat, pda hal gk jga gratis ongkir, knpa gini kang pket nya ni",Sicepat,Kalimantan Timur
1,Kirim paket menggunakan jasa pengiriman ini dan diterima oleh pembeli dalam keadaan rusak...,Sicepat,Kalimantan Timur
1,"Gada Kejelasan barang Dipesan Lewat Tokopedia pakai Kurir Sicepat Tanggal 5 sampai tanggal 11 ga sampai sampai Sangkut di Sortir Samarinda
Sampe 3 hari ga bergerak . Sudah bubar kan aja Ekspedisi mu Pantes ga Berkembang …",Sicepat,Kalimantan Timur
1,"Milih ekspedisi sicepat karna otomatis kepilih dari app onlineshop nya, pesan tgl 8 november. Sampe skrng tgl 21 november blm dtg tu barang, gak lagi2 pake ekspedisi ini!",Sicepat,Kalimantan Timur
1,"Super payah,,paket kenapa kembali lagi kegudang padahal sudah keluar,,buat si lelet daerah samarinda coba di cek ne kinerja anak buahx,,payah,klo gk tau alamatx telpon kan ada nomorx,,jnt ninja jne gak seribet si lelet.. kapok pake si lelet,kasian penjualx karna bakal gua batalin transaksix,,kecewa bgt",Sicepat,Kalimantan Timur
1,"LO MENDING GAUSAH KERJASAMA SAMA E-COMMERCE DEH.. LELET BGT PAKET SEMUA STUCK DI SAMARINDA APAAN DAH!!!!
GA ADA PERGERAKAN SAMA SEKALI DARI TANGGAL 11 SAMPE TANGGAL 17!!!! …",Sicepat,Kalimantan Timur
1,Ekspedisi palinggggg gak sopan. Paling suka naruh barang ketempat orang lain. Paling paling aneh. Pleasee jgn pake ekspedisi ini. Paket kalian bisa diantar kerumah orang lain.,Sicepat,Kalimantan Timur
1,"dari tgl 17 gada lanjutan apa-apa di shoppe, malah udah ada keterangan sudah di terima di samarinda an. saya, padahal alamat saya di tenggarong??? stuck di gudang hampir 2 mgg gada pergerakan apapun",Sicepat,Kalimantan Timur
1,"Ekspedisi gak jelas
Sampai sakarang status masih di gudang aja sementara udah seminggu di gudang masak gak di kirim kirim besokbesok ganti namanya aja jadi silambat",Sicepat,Kalimantan Timur
1,"Semoga kurir sehat selalu dan ceet kaya biar nggk kerja di sini lagi,Lambat kali prosesnya",Sicepat,Kalimantan Timur
1,"Paket aku tolong dong ka ini kan namanya sicepat ko lambat banget, udah 3hari stuck di Samarinda sortation trs ga gerak2",Sicepat,Kalimantan Timur
1,Ada yng punya no. Kurir yng biasa ngantar ke tenggarong gak? Paket saya sdh beberapa hari yng lalu keluar dari samarinda tapi gak sampai2 ketenggarong,Sicepat,Kalimantan Timur
5,"Riview jujur ya, paket saya sudah sampai dianterin kok, paket saya non cod dan sudah di bayar, paket cepet sampainya ga nunggu seminggu uda sampai di samarinda.",Sicepat,Kalimantan Timur
1,"Paket gue udah dimedan kenapa bisa balik ke samarinda?! Aneh bgt sih. Kalau udh di medan, yasudah langsung di proses saja dong. 😮‍💨😡 …",Sicepat,Kalimantan Timur
1,"Udah di tunggu lama, sekalinya saat pengiriman paket hilang. Aduh ini penyebabnya apa ya",Sicepat,Kalimantan Timur
1,"Pelayanan tidak baik, barang ga di antar antar, alasan nya alamat ga lengkap, ekpedisi lain ga pernah ada yang kaya begini",Sicepat,Kalimantan Timur
1,"Engga lagi lah pake pengiriman ini jera udh, pelayanannya ga jelas,mana ga bisa di ambil sendiri, keterangannya di anter kurir, tapi berhari hari ga nyampe, pdahal deket rumah, malah barang yg baru dipesen nympe duluan, paling ga kalau ga bsa ngirimin biarin barangnya di ambil sendiri",Sicepat,Kalimantan Timur
1,"Mohon maaf ya, kenapa paket saya belum sampai-sampai? Saya perlu CEPAT !!!

GAK REKOM sih jasa kirim ini !!",Sicepat,Kalimantan Timur
2,Min kapan sampainnya di rumah kami katanya paketnya sudah keluar dari samarinda dari kemarin subuh padahal dekat saja lo samarinda muara badak,Sicepat,Kalimantan Timur
1,"Besok ganti nama aja, si lambat aja.
Sudah 3 hari barang saya gak di antar antar 👎🏻 …",Sicepat,Kalimantan Timur
1,Keterangan sudah terima barang tapi belum terima apa2 saya pengiriman ga jelas jasa kurir kasih foto palsu besok saya mau ke kantor,Sicepat,Kalimantan Timur
1,"paket orang banyak numpuk di gudang, saya ambil sendiri paketnya di gudang antri lama dari pagi sampe sore baru dapat, untung aja dapat kalau enggak sia-sia ngantri, kecewa banget mending gausah terima paketan lagi deh tutup aja sekalian gudangnya",Sicepat,Kalimantan Timur
1,"Seminggu paket ku ga di antar ni ekspedisi, gegara sopi ini ga bisa pilih ekspedisi, buruk paling buruk ini xpedisi",Sicepat,Kalimantan Timur
1,"Paketan tgl 30 November sudah sampe samarinda, akhirnya tgl 6 coba buat ambil sendiri ke gudang dari tenggarong. Alhasil dari jam 10 sampe jam 3 ngga dapat apa-apa. Sampe hari ini tgl 10 barang ngga ada dikirim-kirim juga. Percuma nungguin …",Sicepat,Kalimantan Timur
1,"Terburuk dr segala pengiriman gak sesuai dgn judul
Paketku berhari2 tertahan",Sicepat,Kalimantan Timur
1,Menyesal aku beli di Tokopedia pengiriman nya sangat lambat sekali gak sesuai dengan namanya sicepat,Sicepat,Kalimantan Timur
1,"Paket stuk 1 mingguan lebih nggak ada tanggapan, pegawainya perlu ditanyakan kredibilitas nya",Sicepat,Kalimantan Timur
1,Barang aku sdh di Samarinda dri tgl 14 tdi smpai sekrng pket gak gerak2,Sicepat,Kalimantan Timur
3,"Paket aku udh kebuka syukurnya dalamnya masih aman. Semua paket numpuk di sana, susah nyarinya tapi alhamdulillah masnya baik bantuin cari paketku dan nggak lama ketemu. Kalau mau datang ke sana jangan pagi soalnya dia buka jam 10:00-22:00 …",Sicepat,Kalimantan Timur
1,"Ekspedisi paling ga jelas,paket stuck ga gerak"" ga di antar"" fak",Sicepat,Kalimantan Timur
1,"emang andalan ni sicepat, saking cepatnya barang ngak nyampe²",Sicepat,Kalimantan Timur
1,"5 hari barang di tahan di sicepat samarinda, gak gerak sama sekali, parahhhhhhh

Silelet",Sicepat,Kalimantan Timur
1,"Ganti nama aja, jadi ""silambat"". Mending tutup aja deh. Klo kerja ga becus.",Sicepat,Kalimantan Timur
1,Asli eh buang2 waktu.... Seharusx ad kompensasi paket d ambil sendiri d gudang.. Seminggu lebih barang g d antar k alamat penerima,Sicepat,Kalimantan Timur
1,ada yg tau nomer kurirnya kah yang ke tenggarong. gila jera,Sicepat,Kalimantan Timur
1,"Paling parah ini.
Gk ngotak estimasinya.
Jd gk bs di komplain di tokopedia.",Sicepat,Kalimantan Timur
1,"Ganti aja namanya jgn sicepat, paket ku  sangkut di Samarinda sampai seminggu GK dikirim""",Sicepat,Kalimantan Timur
1,Parah pokoknya. Cuma diem aja itu paket berhari hari di Samarinda. Miris,Sicepat,Kalimantan Timur
1,"Paket saya tadi statusnya diantar sekitar jam 9 pagi waktu setempat, sampai jam 5 sore saya tungguin di kantor gak dateng2, tiba tiba jam 7 malam di shopee status berubah jadi gagal kirim, parahnya ekspedisi tidak menghubungi via telepon …",Sicepat,Kalimantan Timur
1,Beli di tokopedia nyangkut di sini. Biar bintang yg berbicara hahaha. Huahahahahaha. Jajajajajjaja. 555,Sicepat,Kalimantan Timur
1,ALAMAT Jelas di bilang Bad Adress No HP salah saya langsung CHAT PIHAK SICEPAT ! Katanya disuruh tunggu sudah di konfirmasi eh gk taunya malah di retur ke pengirim ! HADEHHHHH ! BAD bgt SICEPAT HALU NO REKOMEN ! Pdahl paket sampe smd belum …,Sicepat,Kalimantan Timur
2,"Mohon paket saya bisa diteruskan ke Sangatta, sejak tanggal 9-14 masih di Sortation Samarinda padahal paket bukunya sangat saya butuhkan segera. Saya telp ke CS pusat minta nomor kontak sortation ga dikasih. Tolong Pak, saya butuh paketnya …",Sicepat,Kalimantan Timur
1,Ini paket kenapa ga di kirim2 sudah 2 Minggu,Sicepat,Kalimantan Timur
1,"Pelayanan begitu buruk ,seburuk pengamtran paketnya",Sicepat,Kalimantan Timur
1,tolong kurir nya diajarin sopan santun.,Sicepat,Kalimantan Timur
1,"Expedisi geblek si lelet😡😡😡
Mengecewakan gak pakai lagi …",Sicepat,Kalimantan Timur
1,"Barang di return tanpa pemberitahuan ke customer. Padahal baru sehari di samarinda paket saya langsung dikembalikan ke toko di jawa, ditanya alasannya apa jawabnya apa, gajelas sicepat bangke mudahan bangkrut. Aamiin",Sicepat,Kalimantan Timur
1,"Jasa pengiriman paling terkutuk di muka bumi, kirim dari jakarta aja ke Samarinda 2 Minggu. gila!!! bahkan melebihi kaya dapet kiriman ke luar negeri lama banget",Sicepat,Kalimantan Timur
1,Ini sudah tutup woyyy disuruh antar ke si cepat tp kantornya gak tau dmna,Sicepat,Kalimantan Timur
1,"pengiriman sangat lambat, tidak sesuai tanggalnya",Sicepat,Kalimantan Timur
5,"Setiap pengalaman orang beda beda yah, ini dari pengalaman pribadi w sebagai pembeli di e-commerce dengan memakai jasa kirim sicepat halu, ternyata cepat banget dong langsung sampai di estimasi hari pertama, GK ush ngejudge atau apa yah w bukan orang dalam juga ini hanya pengalaman saya",Sicepat,Kalimantan Timur
1,"Kurir Si Ceoat payah....sdh 2 hari jalan meantar brg tapi masih belum sampai dan dikembalikan lagi ke kantor nya di Samarinda seberang....kapan sampainya.
Kalau alamat nya tdk mungkin tdk tahu...sekarang kalau ada kouta internet pasti tahu....kalau kada langsung WA ada nomor penerima nya jua...",Sicepat,Kalimantan Timur
1,PHK massal buat pelayanan jelek banget.biasa si cepat emg cepat bgt apalagi ad kurir langganan sampai hapal. Ini status d anter tp trus d pending dan g dianter2. …,Sicepat,Kalimantan Timur
1,"Beli barang online tp ga bs pilih ekspedisi karna otomatis pake SICEPAT dari olshop. Ga salah salah ongkirnya sampe 100rb. Dari 30 november sampe gini hari masih di sort station sort station, giliran ditelfon bilangnya sudah keluar hari …",Sicepat,Kalimantan Timur
1,"Parah bnget sih lelet nya, pesan barang d tiktok harusnya nyampe di sy tanggal 28 november paling lambat 30 november, smpe sekarng barang nya ga nyampe. Keterangan nya cm paket anda saat ini berada di (Samarinda Sortation Samarinda) yakali …",Sicepat,Kalimantan Timur
1,"Luar biasa BURUK kinerja nya...
Paket sudah sampai di Samarinda Sortation sedari tgl 29 Nov... yang entah dimana itu lokasi nya, yg CS pun merahasiakan.. …",Sicepat,Kalimantan Timur
1,"Tanggal 24 November barang di kirim dari Jakarta, sampai hari ini 3 Desember saya belum terima paket saya, padahal saya pakai siuntung yg estimasi nya 2-4hari paket di Terima, deadline paket harus di Terima tgl 29 November dan di minta …",Sicepat,Kalimantan Timur
1,"Jasa pengiriman dengan kualitas layanan terburuk sementara ini, dalam jangka waktu yang gk sampai 1 bulan 2 paket tertahan di status keluar sortation selama berhari-hari, sudah ditanya ke semua drop point di sekitaran tempat tinggal gk ada …",Sicepat,Kalimantan Timur
1,rating terburik sepanjanng masa ganti aja namamu silambat,Sicepat,Kalimantan Timur
1,"Paket lambat dikirim, padahal pakai yg reguler, sdh ongkos mahal malah gk dikirim kirim. Di aplikasi tokped yg awalnya paling lambat tgl 1 desember eh malah seenak jidatnya berubah sampai tgl 6 desember. Akhirnya, karena butuh banget jadi …",Sicepat,Kalimantan Timur
1,Paket saya kok gak dianter²?,Sicepat,Kalimantan Timur
1,"ekspedisi paling bobrok, paket saya dari sleman udah nyampe di samarinda dari 24 juli sampe sekarang 31 juli ga dikirim² padahal pengiriman reguler loh, situ niat kerja apa kaga sih bl0k, mending ganti aja itu namanya dari sicepat jadi silambat😂😂 …",Sicepat,Kalimantan Timur
2,"Paket saya estimasi akan sampai di tanggal 3 Juni 2022, ternyata sampai hari ini tgl 7 Juni belum juga ada kabar, padahal status sudah dikirim dari gudang sortir Samarinda. Tidak ada pembaruan status ataupun informasi terbaru. Setidaknya …",Sicepat,Kalimantan Timur
1,"Lambat sekali, ga nyampe² barang saya. Barang sudah di smd tapi ga diantar², udah datangin langsung kw gudangnya trus dikasih tau kalo paket sedang diteruskan ke partner, tapi sampe sekarang ga dtng².",Sicepat,Kalimantan Timur
1,Kapok sdh pake expedisi ini... Kapok2...,Sicepat,Kalimantan Timur
1,"Meskipun waktu pengirimanmu sama sekali SANGAT tidak seperti namamu, dan team Cust Supportmu tidak membantu sama sekali,setidaknya paket saya tetap di antar. Mulailah mempertimbangkan utk ganti nama, kayaknya SiCepat kurang bawa hoki deh.hehe",Sicepat,Kalimantan Timur
2,berharap masalah yg ada dari pihak ekspedisi cepat kelar,Sicepat,Kalimantan Timur
1,"Paket saya gimana nih,asem lah padahal saya sudah bayar ongkir mahal-mahal kok gak diantar status resinya saya lacak sudah di terimah di pergudangan tapi tidak diantar padahal lokasi saya tidak jauh dari sortationnya.😡 …",Sicepat,Kalimantan Timur
1,"Pelayanan buruk, pengiriman juga ugal-ugalan, apa coba keterangan cuma sekedar ""keluar"" Informasi paket juga ga jelas, ya kalau kalian mo kirim/beli barang perhatiin deh siapa ekspedisinya, jan pake nih ekspedisi lagi, nyesel nanti, sudah …",Sicepat,Kalimantan Timur
