Rating,Reviews,Company,Province
1,Kalau gak becus buka cabang gak usah lah buka..dari pada paket di anggurin seminggu gak di kirim2..dan ternyata semuanya mengeluh soal ini,Sicepat,Kalimantan Utara
5,"Baru pakai jasa ini kedua kalinya hari ini. dan Alhamdulillah packingannya selalu utk sampai ke konsumen, walaupun yg pertama ada sedikit penyok tp barang didalamnya tetap aman krn mungkin penanganannya juga berhati2. …",Sicepat,Kalimantan Utara
1,"Kantor pindah-pindah, tidak diinformasikan pindah kemana, bingung cari paket, paket diantar bilang gak ada orang padahal ada ajah orang nunggu didalam",Sicepat,Kalimantan Utara
1,Ini paling buruk sebagai kurir barang,Sicepat,Kalimantan Utara
1,Jasa kurir paling ndk beres ...pngantaran paket lemot bnget estimasi pengiriman sdh lewat tpi paket blm di trima2 jugaa hadehhh,Sicepat,Kalimantan Utara
1,"Tolong sertakan no telp yg bisa dihubungi, kita bingung nyari alamat, soalnya kantor sering berpindah2... Terima kasih",Sicepat,Kalimantan Utara
1,"Paket saya sdah bbrapa hari sampai di tanjung selor tapi tidak diantar ke alamat saya.. gimana ini???? Saya butuh barangnya, tolong lah di perbaiki lagi cara kerjanya.",Sicepat,Kalimantan Utara
1,"Sudah lama di Pengiriman, eh paket sudah dari 3 hari di kurir, dgn keterangan segera di atar ke alamat 🥲😌. …",Sicepat,Kalimantan Utara
3,"Saat ini (September 2023) Si Cepat ada di Jalan Rambutan (Eks. Kedai Mie Aceh) dan Sabanar Lama Gang Sekumpul. Tidak ada Plang Nama atau Spanduk.
Ini foto yang di Sabanar Lama Gang Sekumpul.",Sicepat,Kalimantan Utara
3,"Lumayan muter-muter karena maps nggak sesuai.
Sicepat belum masang papan nama.
Yang nyari paket sicepat bisa nanya ke agen Lion Parcel Jalan Jeruk, bisa minta …",Sicepat,Kalimantan Utara
1,"bubarin aja ini,ga beres kerja nya paket di anggurin sampai seminggu",Sicepat,Kalimantan Utara
1,"Pindah knm nih kantornya, paket 5 hari status dibawa kurir ndak ada sampai, saya butuh barangnya, mobil saya loh teduduk nunggu pakenya, keterangan drop di tanjung palas, sampai keliling ndak nemu juga",Sicepat,Kalimantan Utara
1,"Kok paket saya dibalikin ya, padahal saya belom nerima dan tidak ada telfon dari kurirnya juga",Sicepat,Kalimantan Utara
1,"Pelayanan sangat buruk, paket saya sudah 3 hari belum di antar, kantor nggak jelas pindah pindah.",Sicepat,Kalimantan Utara
5,agan sicepat express....alamat anda di mana ? tolong kami penggemar setiamu di tg.selor sangat ingin mengetahui alamatmu sekarang....di jln.cempedak di google map alamat itu rumah orang...,Sicepat,Kalimantan Utara
1,Barang aku udah 2 hari blm d kirim² padahal tanggal 22 dikirim dri tarakan,Sicepat,Kalimantan Utara
1,Paket sudah sampai tgl 29 agustus di tanjung selor sampai tgl 2 sep hari ini paket belum juga di antar.alasan bad alamat padahal alamat dan no hp sudah jelas.tidak ada kurir wa atau telp.,Sicepat,Kalimantan Utara
2,Gmna pula mau ambil paketnya g ada orgmya..paketnya didpn..mau lngsg ambil takut dikira pencuri🤣 …,Sicepat,Kalimantan Utara
5,"Awalnya dulu memang sangat mengecewakan sekali expedisi sicepat, sudah barang lama sampainya, sesudah sampai barang rusak pecah ga karuan.. tapi untuk sekarang aku suka dan sering sekali memakai jasa pengiriman sicepat, kurir nya ramah,barang sampai tepat waktu, barang aman, harga jg ekonomis..",Sicepat,Kalimantan Utara
1,Seumur hidup kalau masih di Tanjung selor gak akan pake si Cepat. Sumpah kesel sekesel keselnya paket saya dari tgl 21. Sampai kurir tgl 24 dan sekarang tgl 28 masih belum terima paket. Warbiasa pokoknya,Sicepat,Kalimantan Utara
1,Pelayanan sangat buruk tiga kali sudah paket saya tdk di antar2 padahal alamat say jelas,Sicepat,Kalimantan Utara
1,"Tgl 16 Oktober 2022 status paketan sdah keluar dari tarakan, sampe tgl 20 Oktober 2022 blum ada info selanjutnya. Di tanya malah saya di pimpong sana sini.
Sungguh mengecewakan.",Sicepat,Kalimantan Utara
3,"apa paketan saya sudah ada saya cek sudah dua hari di tanjung selor tapi kok ndak ada info yahh ,,, mau datangi takut blm ada soalnya tempatku jauhh ,,",Sicepat,Kalimantan Utara
1,"Pindah lokasi kantor dan tidak ada info lokasi baru, paket tidak sampai-sampai lebih dari 2 hari",Sicepat,Kalimantan Utara
1,Paket saya tidak sampai kenapa bisa padahal alamat saya lengkap ko?,Sicepat,Kalimantan Utara
1,Kurir tidak merespon,Sicepat,Kalimantan Utara
5,Kak yang tahu no HP kurir SiCepat ?,Sicepat,Kalimantan Utara
5,Sicepat enaknya kurirnya ama pegawainya santuy dan ramah dibanding sama sibiru dan merah,Sicepat,Kalimantan Utara
1,Kantor pindah entah kemana,Sicepat,Kalimantan Utara
5,"Cepat Sesuai nama nya 😘, Sudah Biaya Paling Murah, kurir nya ramah gaesss …",Sicepat,Kalimantan Utara
4,"Gak berharap banyak sama sicepat, cuma selama ini make masib aman-aman aja.",Sicepat,Kalimantan Utara
1,pelayanan si cepat tg selor sangat2 buruk,Sicepat,Kalimantan Utara
5,Lam datang paket saya,Sicepat,Kalimantan Utara
3,"Belum pakai jadanya3, ke sini hanya makan mi ayam...rekomemded mi ayam nya",Sicepat,Kalimantan Utara
