Rating,Reviews,Company,Province
1,"Pengiriman yang sangat jauh dari jadwal estimasi pengiriman, pelacakaan resi di sistem sicepat, tidak update hingga 5 hari dari updatean terakhir, estimasi 2-4 hari sampai, ini udah hari ke 8 belum update, sampi akhirnya langsung ke gudang …",Sicepat,Kepulauan Riau
1,"Woilah gila aja men, paket gw berhari² dimari betah apa ya ?!! Orang lagi butuh malah lama bener sampainya. Sicepat makin buruk pelayanannya... lama bgt paket² sekarang suka telat sehari. Jauhh lebih baik make ekspedisi jne/jnt aja di harga yg serupa",Sicepat,Kepulauan Riau
1,"Mending kelen ttup aja,nama aja si cepat paket dri kmren ga smpe2 psnn dri awal bulan smpe ini udh mau prtghn bulan ga smpe2",Sicepat,Kepulauan Riau
1,"Oi kurir Nabil HW, kalian kemanain paket ku, udh bermingu² gak sampe² panteslah setiap titik gmaps sicepat dikasih bintang 1, saran aja nama nya diganti SILAMBAT",Sicepat,Kepulauan Riau
1,Tolong lah paket kalo udah mendarat di pulau batam itu langsung kirim. Jangan di biarin seharian penuh. Lu kira ini jawa?????,Sicepat,Kepulauan Riau
1,Gak jelas.kelamaan paket saya..status dikirim..sudah jam 6 sore dibatalkan alasan tertukar..gak profesional kali kalian..tutup aja kalian..gak usah jual jasa gak jelas,Sicepat,Kepulauan Riau
1,"Nyesel gak liat review google dulu sebelum pesan barang, ini barang saya udah 3hr gak sampe2, keterangan dibawa kurir si firman mulu, tutup ajalah si lemot ini",Sicepat,Kepulauan Riau
1,"pengiriman sangat lamaa udah 2 minggu gak sampai""",Sicepat,Kepulauan Riau
1,"SiLambat ini paket uda 10 Hari gagal pengiriman terus, tutup aja lebih bagus",Sicepat,Kepulauan Riau
1,"Paket di tunggu2 ga dateng2..lama banget ga update2.lama di jakarta,udah sampe batam lama lagi.",Sicepat,Kepulauan Riau
1,Kenapa lah shopee bisa joint SMA si LELET ni 😠 …,Sicepat,Kepulauan Riau
1,Pilih dekat biar cepat . Lah nyangkut paketnya disini,Sicepat,Kepulauan Riau
1,"Tolong dong minta nomor kurir yang mengatar paket saya ke orang yang salah
Bukan di antar ke saya",Sicepat,Kepulauan Riau
1,"an***g bisa2 nya paketku dari tj pinang transit ke jakut dlu, mana perlu cepat lagi, kuon kuon
Ganti ajalah namanya jadi silambat",Sicepat,Kepulauan Riau
1,"KECEWAAAAA !!!!! CALL CENTER PUN GAK AMANAH DI HUB , CUMAN JANJI2 HALU YG DI KASIH . SARAN SAYA BAGI YANG MAU KIRIM2 BRG JGN PAKE EKPEDISI INI SUDAH BANYAK YANG KECEWA",Sicepat,Kepulauan Riau
1,"Pengiriman lama skli, tolong di percepat dalam pengirimannya, gk ad update track dr barang saya sampai skrg",Sicepat,Kepulauan Riau
1,"ini nih biang kerok paket saya ga nyampe"" 5 hari disini, ga kelar kelar",Sicepat,Kepulauan Riau
1,"Sebulan lagi kali paket saya nyampenya ,apa dumpetin disini ya?😂😂 …",Sicepat,Kepulauan Riau
1,Paket saya kok di holding lama banget..masalahnya apa?GK ada infonya,Sicepat,Kepulauan Riau
1,Duh gimana sih ini expedisi paket saya udah 4 hari ga keluar keluar 🤯🤢 …,Sicepat,Kepulauan Riau
5,Pengiriman sesuai estimasi waktu dari Batam ke Tanjung Pinang.,Sicepat,Kepulauan Riau
1,Kurir terburuk,Sicepat,Kepulauan Riau
3,Lamaaaa,Sicepat,Kepulauan Riau
1,"Sicepat❌
Silambat✅",Sicepat,Kepulauan Riau
1,Parah lama banget,Sicepat,Kepulauan Riau
1,Semoga cepat tutup,Sicepat,Kepulauan Riau
5,Dilengkapi penuh,Sicepat,Kepulauan Riau
3,Oke,Sicepat,Kepulauan Riau
4,No review found,Sicepat,Kepulauan Riau
