Rating,Reviews,Company,Province
1,"Waduh kok review nya jelek"" ya.. paket saya belum sampe udah 10 hari. Di keterangan sudah sampai di gudang tanggal 22 desember tapi sampai sekarang belum juga gerak. Adakah yg punya kontak atau solusi? Karena itu stok bahan untuk jualan🙏 …",Sicepat,Lampung
4,"Semoga aja paket saya sampai di hari kamis tanggal 14\November 2024, biar saya kasih bintang 5. walapun dari respon yang komen kurang baik. saya tetap percaya pengantaran cepat dan kondisi barang baik.",Sicepat,Lampung
1,"proses pengirimannya sangat"" lama , merugikan konsumen dlm segi waktu, pake stak selama 4 hari d gudang dan tidak bergerak sma sekali, sangat sangat buruk pelayanannya , kl bisa saya posting tanpa bintang , sangat sangat tidak d rekomendasikan untuk jasa pengiriman !!",Sicepat,Lampung
1,"Kurir nya pembohong.
Keterangan di shopee ""delivered"" padahal barang saya tidak sampai ke rumah.
Cek cctv pun gak ada barang atau kurir datang. …",Sicepat,Lampung
1,"Jasa expedisi gak masuk akal udahan kirim paket dari jakarta ke lampung bawa sepeda mungkin nganterin ya belanja tg19 estimasi di trima tgl 29 gila aja , jakarta ke lampung 3 hari lampung ke rumah 6 hari padahal dari gudang sicepat kerumah saya cuma 30menit sangat kecewa sama sicepat",Sicepat,Lampung
1,"Barang lama sampe, sekalinya nyampe nganter nya salah alamat,
Nama aja sicepat ga sesuai sama realita, ganti aja jadi SILELET, udah banyak review jelek bukannya berbenah malah tambah jelek",Sicepat,Lampung
1,"Semoga paket saya sampai hari ini karena udah mau dipake. Sejauh ini, ini paket terlama sampai seminggu. Hufttt …",Sicepat,Lampung
1,"semoga sicepat ini cepet bangkrut paket saya dikirim lambat banget udah seminggu mana info resi pengiriman amburadul bikin emosi, namanya sicepat tapi lambat udah kayak barang mau Dimaling aja lama banget dikasih ke pelanggan shopee",Sicepat,Lampung
1,Paket 10hari gak sampek” 4hari dibandar lampung ni ngpain aja!!! Klo gak niat buka jasa kirim barang gak usah buka!!!,Sicepat,Lampung
1,Sangat lambat pengirimannya jadi pelanggan saya pada batal batalin orderannya..dari tanggal 13 okt sampe sekarang 16 okt masih di situ situ aja gmna dah. Tolong dong jadi kami yang kena omel sama cutamernya,Sicepat,Lampung
1,"paketku 5 hari tetep stay di sortiran gk gerak cuuk
, notif cuman paket sedang diproses di tempat sortir aja aaah, gk niat",Sicepat,Lampung
1,"Sebenarnya ga cocok dapet bintang, si lelet ini orang nelfon customer service malah di riject, kalo ga bisa buka layanan jasa gausah buka asu, ga jelas banget",Sicepat,Lampung
1,"Ganti aja nmanya jadi si lambat , paket udah lewat batas pengiriman tapi ga pindah2",Sicepat,Lampung
1,Paket gue ketahan seminggu disini kenapa yaa? ga ada kejelasan cs ga membantu sama sekalii.. gajelas,Sicepat,Lampung
2,"Wah sialan ni ekspedisi, paket gw nyangkut 3hari disini anJir sialan emng",Sicepat,Lampung
1,"Barang saya,,udh seharian ga diambil paket nya nyesel juga pake aplikasi ini klo ga jls",Sicepat,Lampung
1,Ga jelas pengiriman si cepat ini tll paket 2 hari di bandar lampung ga ada pergerakan,Sicepat,Lampung
1,"kurir ga jelas di timbun doang ga di anter anter tai,apa coba masa jakarta lampung seminggu lebih ga ada keterangan ga usah di pake ni kurir si lemot CS bot bukan orang ga solutif kata kata template tai",Sicepat,Lampung
1,Nyortir barang ampe 3 hari ini sebenernya niat apa engga buka jasa pengiriman....?,Sicepat,Lampung
1,"Sicepat B*NG$4T, kiriman stack digudang ga pindah pindah, ganti nama aja jadi SIB*NG$4T bukan sicepat",Sicepat,Lampung
3,Bintang 5 untuk mba yang pake jilbab abu-abu yang ngambilin paket saya. Bintang 3 untuk kurirnya bdw alamat gua jelas cuman nomor tlfn yang ga aktif/salah satu angka keterangan paketnya bad adress gua mesti jauh jauh kesini ngambil paket …,Sicepat,Lampung
1,"lelet banget ganti aja nama jadi silelet, paket ketahan di sini ga jelas padahal cuma dari Bekasi-Lampung",Sicepat,Lampung
1,Kacau ini paket dari gudang ke sesama Bandar Lampung sampai 4 hari belum ada update status. Malu ama nama perusahaan sendiri. …,Sicepat,Lampung
1,Ini paket saya tulisannya udah sampe tirtyasa padahal kantor sicepat tirtayasa udah tutup. Saya yakin pasti ini paket ada di gudang campang. Terus paket stuck disitu mau di apain paketnya. Suruh jalan sendiri paketnya gak di anter kurir. …,Sicepat,Lampung
1,"Nama doang sicepat, padahal si paling lambat... Tutup aja ekspedisi nya, gak guna",Sicepat,Lampung
1,"Ga niat yg kerja
Perasaan udha dilampung dari kmaren kmaren tapi ga dikirim ke alamat penerima",Sicepat,Lampung
1,"Si cepat sekarang payah lambat bener...
Jangan jdi patner nya shoppe dll bos kalau kalian lambat",Sicepat,Lampung
1,"Minta tolong bos. Paket saya sudah lebih dari 1 bulan gak ada kejelasannya.
Saya hubungi no komplain tidak ada jawaban. Saya datangi ke cabang terdekat cs bilang gak tau paketnya dimana. Di minta datang ke gudang nya saya datangi tetap …",Sicepat,Lampung
1,"Ini sih seburuk buruk ekspedisi,, parah bgt,, paket udh dibandar Lampung dr kapan hari ga sampe2,, kaya' ga niat buka ekspedisi,, ga niat kerja,, aslii udh paling kesel dapet ekspedisi si cepat karena bakal lama sampe'y,, terutama di hub Bandarlampung ini,, barang stuck di gudang Bandarlampung 👎👎 …",Sicepat,Lampung
1,"pengirim mandek padahal udh sama sama di balam tapi udh 3 hari lebih paket ga jalan!! di susul ke gudang sini gudangnya udh ga ada, udh pindah bukan disini lagi! ga jelas gudangnya dmn! sampe skrng ini paket gatau dmn! ga amanah bangkrut deh lo!",Sicepat,Lampung
