Rating,Reviews,Company,Province
1,"Paket saya dari tanggal 20 di Ternate tidak dikirim"" ke Obi. expedisi paling lelet di jagat raya. sehat sehat dah kalian. kalau tidak mau ngirim barang retur ajh ke penjual jngan sampai barang org hilang",Sicepat,Maluku Utara
1,"Orang pe paket ngoni tono sampe ceh, status 2 minggi tara berubah tu ce",Sicepat,Maluku Utara
1,Paket sudah 2 minggu belum sampai. Kerjaannya ngapain aja???,Sicepat,Maluku Utara
1,"Sangaaaattttt buruuuukkkk, kurir ngabari mau d antar dr tgl 14 smpe tgl 16 blm sampe2, yg antar dr israel kah lewat jalur gaza",Sicepat,Maluku Utara
1,"Sdh nunggu lama, taunya brg dnyatakan hilang",Sicepat,Maluku Utara
1,"Jasa pengiriman SiCepat Lambat
Kesabaran Tipis",Sicepat,Maluku Utara
1,paket dari tgl 9 Desember sampai sekarang tgl 14 Desember belum sampai  ke alamat yg tertera di paket. maaf saya kasih bintang 1.,Sicepat,Maluku Utara
1,Ganti aja namanya jadi silambat,Sicepat,Maluku Utara
1,Sangat Buruk,Sicepat,Maluku Utara
5,mantap,Sicepat,Maluku Utara
1,Gudangnya gak jelas,Sicepat,Maluku Utara
1,Gak jelas,Sicepat,Maluku Utara
1,Tidak becus,Sicepat,Maluku Utara
3,Ada kendala,Sicepat,Maluku Utara
1,Lambat,Sicepat,Maluku Utara
5,Mantap,Sicepat,Maluku Utara
1,No review found,Sicepat,Maluku Utara
5,No review found,Sicepat,Maluku Utara
4,No review found,Sicepat,Maluku Utara
5,No review found,Sicepat,Maluku Utara
5,No review found,Sicepat,Maluku Utara
5,No review found,Sicepat,Maluku Utara
