Rating,Reviews,Company,Province
1,"Pengiriman paling lelet, 3 hari dilombok blom sampe2 muter muter bolak balik , mau jemput susah dihubungi, mending rubah nananya jadi silelet,  dihubungi susah status pengiriman ga berubah2, ksel bgt dh",Sicepat,NTB
5,"saya selalu pakai jasa pengiriman SiCepat dari pertama kali tau cara belanja online di tokped/toko pedia sampai sekarang. Saya kasi bintang 7☆☆☆☆☆☆☆. Paling saya Gak suka jasa pengiriman adalah AnterAja.
Pokoknya siCepat Terbaik menurut ku.",Sicepat,NTB
4,"Jujur ya untuk pengiriman dari kurirnya cepet banget banget , yang lama itu pengiriman dari jkt nya ksni yang lama bgt. Mungkin dri pusat bisa lebih cepet gitu handle pengirimannya kaya ekspedisi yng lain.",Sicepat,NTB
3,"Saya sudah pembayaran pakai gopay, tinggal anter ke alamat saja susahnya, untung kurirnya gak slow respon bin 3",Sicepat,NTB
1,"paket tidak diterima oleh anggota keluarga maupun saya, tapi status paket menjadi “sudah diterima” kocak kocak paket ghaib kah yang saya terima? kurir juga tidak komunikatif",Sicepat,NTB
1,"Mau nanya nomer kurir atau admin si cepat, boleh saya hubungi, karena paket saya sudah sampai tapi belum dikirim sama sekali",Sicepat,NTB
1,"duh memang ga becus ekspedisinya, kurir ga jelas paketnya ga d anter, cs nya nlpon malah nyalahin customer juga, ekspedisi ga jelas",Sicepat,NTB
1,"Yaok paket saya sudah mau 2 Minggu ga di kirim², apa mau tunggu paket saya melahirkan di sana ya",Sicepat,NTB
1,paket saya 1 minggu gk sampe² malah di kembaliin ke penjualnya,Sicepat,NTB
1,Paket saya sudah 2 hari di sorting center mataram tp tidak dikirim kerumah,Sicepat,NTB
1,"Pak kurir suka banget bawa paket bolak balik kantor, ante woyyy",Sicepat,NTB
1,boleh minta nomr wa kurirnya gak? mau ambil paket,Sicepat,NTB
1,"Kapan barang saya di antar ke alamat tujuan
Sudah 7 hari ini belum saya terima barang saya",Sicepat,NTB
1,Nyebelin. Paket gak dikirim. Malah dikirim balik ke penjual.,Sicepat,NTB
1,"Kalau tidak terpaksa saya tidak akan menggunakan sicepat lagi
Karna tidak sesuai dengan namanya",Sicepat,NTB
5,Bengkel motor dan ganti oli sangat ramah..,Sicepat,NTB
1,Paket saya sudah seminggu sampe sini gak dikirim” ini gimana sih sistemnya tau begitu gak pakek expedisi ini katanya sicepat tapi kok lambat sekali🥵 …,Sicepat,NTB
1,"Asli dah ini ekspedisi ga becus sekali, masa paket sy belom dateng udah sebulan lebih, mana udah bayar ga dateng², yg satu dibawa kurir, yg satunya masih di mataram sortation (keluar masuk), udah sebulan coyyyyy mana paket gw",Sicepat,NTB
3,"Masih baik loh kasih bintang 3, btw ni paket saya dari gudangdari tgl 2 juni 2022 ga dikirim kirim ya butuh berapa lama bongkaran? seminggu? Alasan overload apa gi mana sih aneh :( se overload ga pernah parah gini",Sicepat,NTB
1,"Sy punya 2 Paketan atas nama najah sholehah, dgn alamat dusun gubuk lantan desa pelambik, kec.praya barat daya, lombok tengah, dr tggal 16 april sdh smpe mataram, skrg tgl 27 kenapa paketan sy blum smpe rumah.?",Sicepat,NTB
1,Ekspedisi paling lelet.. dr tgl 3 juni 2022 sampe tgl 18 juni 2022.. barang ku blm sampe. Ya Allah... apakah ini di sengaja atau tidak. Atau mgkn kurir nya sdh pada ndk sanggup kerja??? Suruh aja tutup. Ndk usah ambil orderan delivery lagi. Bikin emosi aja...,Sicepat,NTB
1,"Parah sih emang sudah mau sebulan paketan belum nyampe gara"" gak dikirim"" si cepat ini pesen barang dari tgl 22 april tgl 24 sampe mataram sesudah itu tgl 29 paketnya keluar masuk mataram saja...dan hilang kabar...dan akhirnya tgl 5 mei …",Sicepat,NTB
