Rating,Reviews,Company,Province
1,"Tolong lah min, paket saya di kemanakan, ini sdh 2 minggu, kalo tdk mau antar etlis kantornya dimana? biar sya yg ambil, SEKALI LAGI DENGAN HORMAT SAYA MINTA TOLONG KASI TAU ALAMAT KANTOR BIAR SAYA YG AMBIL SENDIRI PAKET SAYA🙏 …",Sicepat,Papua 
1,"Tutup aja! Paket dah seminggu ga dianter juga!!!!!! Alamat dimana titik maps dimana ckckkck 😪
#Silambat …",Sicepat,Papua 
1,Sa pu paket su dari tgl 15 smpe besok su tgl 20 nih lama skali 🥲ini malah tambahan waktu 2-3 hari kedepan maksudnya bgaimna k? Su smpe di lokasi Xpress abepura bru pengantaran nya kok lama sekali e 🥲 …,Sicepat,Papua 
1,Ekspedisi TERLAMA!!! sudah lebih dari 2 minggu paket belum diantarkan ke alamat tujuan padahal sudah sampai di counter dari tanggal 8 agustus,Sicepat,Papua 
1,"Kurir 🐷 hutan. Paket tidak diantarkan ke costumer. Belum diterima paket sudah di return. Lebih baik NINJA EXPRESS, kita di WA, ditelfon baru diantarkan... SICEPAT JELEK SKALI. SANGAT KECEWA DENGAN SICEPAT🐷🐷🖕🏽 …",Sicepat,Papua 
1,"Sebaiknya dilaporkan ke Pusat, kalau sicepat express cabang jayapura pelayanan nya sangat sangat buruk.
Biar sekalian tutup saja. …",Sicepat,Papua 
2,paket ku lama skli di antar sudah ada di lokasi sortir abe 3 hari belum di antar-antar,Sicepat,Papua 
2,"Pelayanannya tidak memuaskan. Paket sudah tiba sejak tgl 9/11/2021, namun sampai tgl 11/11/2021 belum dikirimkan ke penerima, harus di ambil sendiri ke kantornya dan rupanya saya tidak sendirian. Saya mesti nunggu sekitar 30 menit, baru paketnya di ambil di gudang mereka",Sicepat,Papua 
1,"Kam kerja apa sebenarnya ini, sa paket su berapa hari kam tahan disitu.
Kamu tunggu sa besok kesitu sa kasih paham kalian disitu semua.",Sicepat,Papua 
1,Oknum di ekspedisi ini terlalu banyak. Ga sekali kirim paket dari Tokped pembayaran COD sengaja dilamain untuk status di Tokpednya  padahal barang udah di anter dan kurir juga trima uang COD nya. semua masih banyak pemain di ekspedisi ini. KACAU,Sicepat,Papua 
5,"Barang dijayapura dari tanggal 28 maret, tetapi blm diantar di tempat saya, saya coba telfon nomor hp yang tertera di google maps dan dilayani dengan baik dan cepat, dan barang hari ini saya ambil di tempat, lokasinya di dekat mie Singkawang 88, entrop.",Sicepat,Papua 
1,Tutup sudah. Jangan buka layanan antar barang di wilayah Jayapura.,Sicepat,Papua 
1,"paket katanya di antar tgl 20, krn tgl 19 di shope Info nya not at home, pdhl baru nelf 1x! ga si antar smpe hr ini",Sicepat,Papua 
1,"min tolong ka antar paketnya kita :) ga merasa bersalah ka? ratingnya sudah hancur banget loh, bukannya meningkatkan kinerja, malah terus begini lol",Sicepat,Papua 
1,tracking pakek 3 hari tertahan d gudang g d antar2. akirnya d datangin ke kantor. jam 8 belom buka ternyata bukanya jam 9. entah kurir brangkat jalan jam brapa itu klo kantor saja baru buka jm 9. bgitu paket pasti mnumpuk lah kerja lambat. bgitu namanya sicepat...,Sicepat,Papua 
1,"Lambat banget sumpah pke kurir ini. Barang dah smpe berhari-hari tp ga diantar k tujuan. Kalo barangnya penting, mau dipake, kita kudu nunggu.",Sicepat,Papua 
1,"Kurir chat tidak ramah,status sudah di pickup kurir dari pagi tapi tidak ada telfon/pesan,beda dengan ekspedisi sebelah di telfon dulu kalau paket sudah mau diantar dari kantor, terimakasih semoga bisa lebih baik🙏 …",Sicepat,Papua 
