Rating,Reviews,Company,Province
1,"Anji** ga niat kerja, sudah berhari-hari di cek ke kantor malah tutup, udah lapor ke sicepat pusat tp tidak ada respon juga",Sicepat,Papua Barat Daya
1,ini bukan si cepat tapi si lelet  barng sudah smpai 3 hari malah dipulangin taiii' seharusnya kalo barang itu ada konfirmasi dlu ke yang punya jangan asal retur aja tolol tolol .... konfirmasi kagak main retur2 aja,Sicepat,Papua Barat Daya
5,"Pelayanan bagus
Mau menunggu customer d luar jam kerja ,pelayan humoris, asik dan sopan ,
Sejauh ini baik² saja …",Sicepat,Papua Barat Daya
1,"Kurir nya tidak becus,barang belum diantar padahal sudah sampai dari 4 hari yang lalu,kalo malas tidak usah kerja",Sicepat,Papua Barat Daya
1,udah pindah ga di alamat ini lagi. pindahnya dekat SMKN 1 Sorong. sederatan toko foto copy masih KM 8 juga. tapi kesana tutup. padahal confirm ke pusat harusnya buka. kesana juga mau ambil paket karna d tracking katanya di hold karna permintaan customer. kurir aja ga ada telfon. malasnya minta ampun kurirnya.,Sicepat,Papua Barat Daya
1,"Sampai sekarang kiriman saya ke teminabuan belum datang ya ... padahal belanja shopie, estimasi diterima paling lambat tanggal 10 agustus 2022... cek resi, paket sampai sorong dari tanggal 6 agustus... baru 4 hari ini saya pung paket tunggu apa di sorong ?... ongkir saja 135ribu... untuk paket ukuran hp saja....",Sicepat,Papua Barat Daya
3,"Barang sering rusak pas diterima, tdk ad pelayanan retur, klo rusak y tanggung sndiri sm pembeli, sdgkn kita ga tahu barang itu kondisi di dalam pecah apa ga...harus ad unboxing, klo paket nya belasan ga mgk unboxing, beberapa kali nyasar ke tempat lain, dan tdk di respon sm kurirnya",Sicepat,Papua Barat Daya
1,"Pesanan di status keluar dari sorong,sampai skrng status tra update bahwa posisi brng sudah dmana ? Baru mau tlfon cek di kntor cabang  sorong No tlp tidak ada,kalo ada mohon info nomor kntor cabang ka terima kasih",Sicepat,Papua Barat Daya
1,"Sangat mengecewakan petugas / karyawan sicepat ekspres kota Sorong,
Saya hubungi untuk mengambil barang Tp tidak di gubris sama sekali, padahal WA aktif dan chat saya di baca Tp tdk di balas dan tidak di angkat tlpon saya.. ada ya orang seperti itu di dunia!!!!",Sicepat,Papua Barat Daya
1,"dapat kurir yang tra sopan skali,,,, barang ditunggu tdk datang datang setidaknya konfirmasi dulu kalo ada kendala atau bagaimana",Sicepat,Papua Barat Daya
5,"Mantapp…saking cpat nya brg dtg 2 hari sbelum tgl estimasi, pelayanannya jg sdh bagus tingkatkan lg..sesuai dg nama nya sicepat👍🏻👍🏻 …",Sicepat,Papua Barat Daya
1,"Si cepat kota sorong kurirnya songong, tidak sopan. Tlong pihak si cepat training kurirnya untuk tau sopan santun dan tata krama yang baik.",Sicepat,Papua Barat Daya
1,"Bad Address terus ke sungguer, belum ada akses apa males antar kurirnya?alamat sudah jelas jelas tertera diketerangan Bad Address gamasuk akal",Sicepat,Papua Barat Daya
1,Pelayanan sangat tdk baik. Brg saya sdh ad tpi tdk d antar Tepat waktu dan tdk ad konfirmasi jika terjadi pembatalan pengantaran.,Sicepat,Papua Barat Daya
