Rating,Reviews,Company,Province
5,"Cepat, 3 hari sampai. Sejauh ini belum ada keluhan. Untuk bapak ibu yang paketnya belum sampai, bisa hubungi langsung ke media sosial Sicepat (Facebook, X, IG, dll.) jangan malah pasang bintang satu di rating Google, kasihan. Bijaklah dalam berinternet.",Sicepat,Papua Selatan
1,"Saya sudah dua kali kirim ke Merauke paket sudah diterima tapi kenapa belum diupdate diaplikasi resi mlah diupdate nya pending,.
Sudah satu Minggu ini sesudah paket diterima paket saya blum terupdate …",Sicepat,Papua Selatan
1,"Kenapa pengiriman keBoven Digoel itu harus diTahan diMerauke 1 minggu dulu baru diKirim...?
Kerja lambat..! …",Sicepat,Papua Selatan
1,"Halo kak pesanan sya blum datang tujuan ke kepi
Mohon bantuanya kak",Sicepat,Papua Selatan
1,Gak sesuai nama sicepat tapi paling lambat dari semua pengiriman 😭😭😭 …,Sicepat,Papua Selatan
1,"Sicepat perlu di ganti nama
SIPUT
karena pelayanan terlalu lambat dan tidak sesuai dgn namanya",Sicepat,Papua Selatan
5,"Mantap sicepat sesuai dengan namanya, tidak pernah mengecewakan dalam kecepatan pengiriman walaupun saya lebih suka ambil barang langsung di kantornya 😁 …",Sicepat,Papua Selatan
1,Paket di terima oleh yang bersangkutan. Tapi paket tidak dtang”. Baru foto cuma tehel sajaa. Tidak niat sekali,Sicepat,Papua Selatan
3,"Proses cepat, waktu pengiriman cepat, pelayanan baik, ramah dan bersahabat, kekurangannya belum bisa antar ke daerah yang jauh dari kota,",Sicepat,Papua Selatan
1,Saya belum dapat kabar dan belum menerima pesanan saya tapi katanya sudah saya terima ini maksud nya bagaimana saya tidak merasa sudah menerima barang pesanan saya,Sicepat,Papua Selatan
1,"Barang saya lama di antar ke lampu 1
Padahal itu hewan hidup lama² nanti mati dalam packingan",Sicepat,Papua Selatan
1,"Barang sampai tgl 10 Des, Tgl 19 tertulis menuju lokasi sy, sampai tgl 20 sore tdk sampai jg?
Ini ANEH atau bgmn y?",Sicepat,Papua Selatan
5,"Pengiriman baik, kurir sopan, sayangnya kantor sicepet tidak bisa di hubungi lewat telepon.",Sicepat,Papua Selatan
5,Proses pengiriman sangat cepat sesuai dengan namanya 😁👍 …,Sicepat,Papua Selatan
1,Slmt siang admin Sicepat MRQ... Apakah brang sy sdh masuk. Maaf Ad contak yg bisa di hub k?,Sicepat,Papua Selatan
5,"pengiriman atau pengataran fast respon, di jaga dan lebih di tingkatkan lagi👍🏻👍🏻🥳 …",Sicepat,Papua Selatan
1,Ga ada kontak yg bisa di hubungi pengiriman lama,Sicepat,Papua Selatan
5,Selamat siang maaf.. apakah pesanan saya sudah datang,Sicepat,Papua Selatan
5,Pesan senin rabu dateng,Sicepat,Papua Selatan
2,Ada nomor tlpn kntor merauke yang bisa di hubungi?,Sicepat,Papua Selatan
5,cepet sih katanya,Sicepat,Papua Selatan
5,Cepat dan pelayanan baik.,Sicepat,Papua Selatan
5,mantap,Sicepat,Papua Selatan
1,Tidak niatttttttf,Sicepat,Papua Selatan
4,Kerja bagus,Sicepat,Papua Selatan
5,Sicepat 👍 …,Sicepat,Papua Selatan
5,Terbaik,Sicepat,Papua Selatan
5,No review found,Sicepat,Papua Selatan
1,No review found,Sicepat,Papua Selatan
1,No review found,Sicepat,Papua Selatan
5,No review found,Sicepat,Papua Selatan
5,No review found,Sicepat,Papua Selatan
5,No review found,Sicepat,Papua Selatan
5,No review found,Sicepat,Papua Selatan
5,No review found,Sicepat,Papua Selatan
5,No review found,Sicepat,Papua Selatan
5,No review found,Sicepat,Papua Selatan
4,No review found,Sicepat,Papua Selatan
3,No review found,Sicepat,Papua Selatan
5,No review found,Sicepat,Papua Selatan
3,No review found,Sicepat,Papua Selatan
