Rating,Reviews,Company,Province
1,Kurang bagus kurir tdak pernah dia antar paket kerja wa saja paket tdak pernah di antr ke alamat yg di tuju,Sicepat,Papua Tengah
1,"Lain kali kirim kesini jangan pakai sicepat lha, 2 minggu baru sampai, kalah sama kirim ke luar negri, kebanyakan diam di tempat ga tau pd ngapain itu kerjanya, manajemennya bobo semua",Sicepat,Papua Tengah
1,"Paket sudah di Nabire dari hari Sabtu, tapi sampe sekarang tidak sampai2. Entah dimana paketku itu. Kurirnya juga tidak mau hubungi.",Sicepat,Papua Tengah
1,"Ini titipan lelet bukan titipan kilat ya paket saya dari tanggal 11 sampai sekarang udh tanggal 17 belum di kirim"" mana isinya obat kalo saya tau bakal kayak gini mending kirim lewat JNE selalu tepat waktu ngk kayak tiki lelet gini😤😤😤😤 …",Sicepat,Papua Tengah
1,"Barang tidak dikirim2 sudah beberapa hari digudang Nabire, padahal dari gudang sicepat Nabire ke polres Nabire tidak jauh, jasa pengiriman apa ini!!",Sicepat,Papua Tengah
1,"Paket berhenti,gk di kirim ke pelanggan,komplain ke email,wa gk ada respond sama sekali,expedisi macam apa",Sicepat,Papua Tengah
1,"Si cepat si cepat nyatanya brg gw lama bgt nyampe, di WA ga di bls di telfon ga di angkat, cara kerjanya gmna si",Sicepat,Papua Tengah
5,Brg cepat sampe kurir langsung gercep antar jika brg sudah dtg 100 Lah intinya,Sicepat,Papua Tengah
5,Nomor kantor yang bisa dihubungi apakah ada ?,Sicepat,Papua Tengah
4,Pantai Nabire sangat menyenangkan sekali duduk di sore hari...,Sicepat,Papua Tengah
1,Paket gak tau mutar2 kemana gak nyampai²... Payah,Sicepat,Papua Tengah
1,"Kantor sudah pindah, tetapi di maps belum di update",Sicepat,Papua Tengah
1,sampe seminggu lebihh woii ga di anter anter !!!!! 👎🏿👎🏿👎🏿 …,Sicepat,Papua Tengah
5,Mantap,Sicepat,Papua Tengah
3,"Ini dmn kantornya, sih",Sicepat,Papua Tengah
1,Alamatnya dimana woi,Sicepat,Papua Tengah
1,Ekspedisi paling lambat sudah,Sicepat,Papua Tengah
5,Lokasi strategis dan pelayanan bagus,Sicepat,Papua Tengah
5,Mantap,Sicepat,Papua Tengah
1,Pengantar pake lambat,Sicepat,Papua Tengah
3,Selesai,Sicepat,Papua Tengah
5,No review found,Sicepat,Papua Tengah
5,No review found,Sicepat,Papua Tengah
3,No review found,Sicepat,Papua Tengah
5,No review found,Sicepat,Papua Tengah
4,No review found,Sicepat,Papua Tengah
5,No review found,Sicepat,Papua Tengah
5,No review found,Sicepat,Papua Tengah
1,No review found,Sicepat,Papua Tengah
4,No review found,Sicepat,Papua Tengah
5,No review found,Sicepat,Papua Tengah
4,No review found,Sicepat,Papua Tengah
