Rating,Reviews,Company,Province
1,"Kalau bukan karena dipilihkan Tokopedia, nggak bakal saya pake ekspedisi kalian. …",Sicepat,Riau
1,"Ganti ajah lama nya ama si lambat, paket 5 hari kaga nyampe"" Sedangkan pake ekpedisi lain 2 hari/3 hari dah sampe",Sicepat,Riau
1,"Ya Allah, keknya udh seminggu masih tetap di jawa mulu paket gua, kapan nyampenya bro? Paket yg lain dengan pengiriman lain dh sampai smw lho, ini masih di jawa mulu..gilak gilak",Sicepat,Riau
1,"Expedisi terburuk menurut saya... paket dari pekanbaru ke kampar kok bisa di sortir dulu dijakarta ?? TIDAK SESUAI DENGAN NAMANYA "" SICEPAT ???""",Sicepat,Riau
1,Pengiriman terlalu lama. Masak dari pekanbaru ke duri 5  hari.sampai sekarang paket gk bergerak.,Sicepat,Riau
1,"2 hari disortir mulu itu barang, ga ada niatan nganter kerumah apa ya",Sicepat,Riau
5,"Gudangnya si Cepat. Banyak juga yang lain, tp klo mau ambil paket langsung punya si Cepat, bisa langsung datang ke gudangnya ini.",Sicepat,Riau
1,"Saya sudah Black List jasa kurir ini dari usaha saya, masak jasa pick up bisa ngaret sampai 2 hari, dikira gak ngaruh apa sama rating toko kita.",Sicepat,Riau
1,"PENGIRIMAN TERJELEK SELAMA INI!
SENAK JIDAT GANTI ESTIMASI TANPA PEMBERITAHUAN KE CUSTOMER!
MENDING GAK USAH BUKA EKSPEDISI LAGI DEH!!!",Sicepat,Riau
1,"paket sampai kota tujuan 6Desember, status pengiriman “pesanan sdg diantar” tp selalu gagal antar sampe di tgl 13 Desember dikirim ke rumah. mana kurir ngirimnya gedor2 pintu rumah kek mau nagih utang. semoga bisa di kencengin lg service excellence training nya buat kurir2..",Sicepat,Riau
5,"Jadi teringat tanggal 2 Maret 2020.
Pergi malam-malam naik motor . 😥
Mencari alamat Si Cepat Express ini....padahal udah pake google maps. Tapi ga …",Sicepat,Riau
4,Lokasi di blok belakang. Ga ada papan penunjuk atau banner di sisi jalan mau masuk ke gudangnya. Tapi ini khusus buat gudang paket reguler. Kalo utk paket kargo beda lagi gudangnya,Sicepat,Riau
1,"Exspedisi terburuk, heran shopee kok masih make exspedisi ini",Sicepat,Riau
1,"Iya, ngk berguna ini yg di Pekanbaru.

Masa iya dari Medan ke Rengat mesti ke Jakarta dlu. …",Sicepat,Riau
1,"ga jelas bgt ni ekspedisi, kalau alamat yg dituju tutup tu ya telfon, chat WA, apa kek.
katanya mau di antar lagi tapi ngga di antar"" udah berhari hari",Sicepat,Riau
4,Lumayan sih tempatnya tapi letaknya tersembunyi,Sicepat,Riau
5,Selama saya pakai Kurir Sicepat buat kirim diluar kota melalui tokopedia Alhamdulillah selalu selamat dan sampai tujuan sesuai estimasi waktu yang diberikan . Terima kasih kerja sama nya .semoga tetap semangat dalam bekerja ..abaikan yang …,Sicepat,Riau
1,"Bayar nya mahal tp pengiriman lama bgt, paket lama d pekan baru. Gak ada d proses. Katanya ekspres",Sicepat,Riau
1,Barang belom sampai ya..... Awas kalo di antar ga ku bayar karna uangnya mending buat makan daripada buat nungguin yg ga jelas,Sicepat,Riau
1,"Layanan pick up buruk, kalo ga terkejar tolong dikabari costumernya, jadi customer ga nunggu, ga nunggu kalian aja kerja kami do, kayak anak"" baru kerja aja kurir pick upnya..",Sicepat,Riau
1,Udah 2 kali ngirim brg gagal pick up terus. Kali ini malah udah 2 hari gak di pick up2. Customer udah pada komplain. Klo emg gak bisa pick up mending di tutup layanan pick up nya. Fix abis ini gak bakal pake ekspedisi ini lagi.,Sicepat,Riau
1,"Barang sampai gudang udah dri tnggal 13, ini udah tanggal 19 barang gak diantar"", status masih sama terus, bener"" Gak jelas ni expedisi🤬 …",Sicepat,Riau
1,"Pelayanan Sabtu Minggu libur. Semua keluhan masuk ke satu no telpon. Estimasi kirim 1-2 hari. Meski sampai 5 hari, dianggap wajar, krn hari minggu, libur tdk dihitung. Pickup sendiri hrs ada pengajuan 1x24 jam.
SiCepat Ekspress tp tdk cepat & tdk Ekspress, LAMBAAAATT! ! !",Sicepat,Riau
