Rating,Reviews,Company,Province
3,"estimasi paket tgl 6 oktober, tidak ada perubahan, tp sampai saat ini barang belum diterima, tercatat ""kurir sudah ditugaskan""...tapi sudah +2 hari belum sampai, padahal tujuan alamat ke kantor yg tidak sulit dicari🙏🏿🙏🏿be better next time kawan🙏🏿🙏🏿 …",Sicepat,Sulawesi Barat
5,"Yg bermasalah paketnya disini kasih lincah2 gerakanta sm tanganta, paket tiba di alamat sesuai estimasi, Love you sicepat mamuju ❤️",Sicepat,Sulawesi Barat
1,Gak jelas paket dr pagi sm kurir jam 17:00 blm sampai tujuan,Sicepat,Sulawesi Barat
3,"Ada yg tau di mana lokasi terbarunya sicepat?
Saya kesini tgl 24/06/2024 sudah tidak ada orang sama sekali",Sicepat,Sulawesi Barat
1,"Paket saya belum di antar sudah 4 hari, mau tanya toko si cepat di ( mambi) kabupaten mamasa di bagian mana ?",Sicepat,Sulawesi Barat
1,"pengiriman sicepat haruskah makin lama makin membuat pelanggan yg menggunakan jasanya bosan & marah"". …",Sicepat,Sulawesi Barat
5,"Dari harga sih ,dah tau kalau bakalan ngak menentu paket nya dah tiba setidak nya lebih murah lah ada harga ada kualitas dan setidak nya barang di antar hingga kerumah gw tidak kek j&t ngak pernah nyampe ke rumah",Sicepat,Sulawesi Barat
1,"003109012895 ini tolong dianterin udah ada di kota tujuan seminggu lebih, belum lagi perjalanan kesitu nya kalo dijumlah hari nya stengah bulan lebih, saya mohon anterin 🙏🙏🙏🙏 …",Sicepat,Sulawesi Barat
1,"Bagamana sih ini,kok tidak becus ya,ada barang bersamaan pesan dan diproses bersamaan tapi lain kurir satu ninja Van satu ini sicepat,kok duluan ninja Van tiba ya,tidak sesuai dengan namanya,tidak usah buka jasa pelayanan pengiriman klo Tdk bisa ya...barang saya dimana sekarang ?saya mau pake cepat itu,",Sicepat,Sulawesi Barat
1,"Barang saya sudah dimamuju di bawah sicepat marsuk,ko nga langsung di antar padahal sudah seminggu di pengiriman pas tiba nda langsung di antar",Sicepat,Sulawesi Barat
1,"kurir pemalas .
sumpah makan gaji buta.
paket dari tanggal 17 diem bae disini …",Sicepat,Sulawesi Barat
4,"Kasi bintang 4 agh. Dari dulu ampe sekarang sy slalu pake si cepat. Estimasi tiba di tokped slalu 2hari lebih cepat dari estimasi akhir, tapi akhir akhir ini meleset trus😊 si cepat pasti bangkit😁😁😁 …",Sicepat,Sulawesi Barat
1,"Sangat mengecewakan, paket berhari-hari di Mamuju sampai sekarang tidak sampai ke rumah",Sicepat,Sulawesi Barat
1,Berhari hari pket tdak diantr heran ttup sj sklian kalau bgtu biar konfirmasi jg tdk ada astgaaa masalahnya in pket dibthkan,Sicepat,Sulawesi Barat
1,"Pengiriman lambat, nama aja si cepat ngehalunya",Sicepat,Sulawesi Barat
1,"Paket dari 4 hari keluar dari mamuju kemudian sampai di mamuju. Putar"" aja terus kayak bulan putari bumi",Sicepat,Sulawesi Barat
1,"Lama kali anjing
Paket ku dh 2 hari di mamuju gak dikirim kirim",Sicepat,Sulawesi Barat
5,Belum dapat paketnya,Sicepat,Sulawesi Barat
1,kak tolong dong paket saya dikirim mau dipake besok uass,Sicepat,Sulawesi Barat
2,"SiCepat sekarang menjadi sangat jelek, paket berhari-hari disimpan di Mamuju",Sicepat,Sulawesi Barat
2,Pengiriman ngak jelas siapa yg bisa dihubingi dan kantornya pun semua tutup,Sicepat,Sulawesi Barat
1,Paket ku blm ada dikirimkan sama sekali,Sicepat,Sulawesi Barat
4,Dimana ambil paket area Malunda karena yang dulu sudah tidak lagi,Sicepat,Sulawesi Barat
3,"Paket tiba kemarin, tp hari blm ada kabar",Sicepat,Sulawesi Barat
1,"dari sortiran mamuju ke cab.kalukku 1 minggu, sungguh membagongkan!",Sicepat,Sulawesi Barat
1,"CS GA ADA RESPON SAMA SEKALI, PADAHAL LAGI ONLINE DI WHATSAPP",Sicepat,Sulawesi Barat
1,"Paket udah datang kemarin tapi belum juga di antarin,sekalinya ke gudang nya jam 8 pagi eh masih tutup, padahal udah cek jam bukanya katanya jam 7, ini gw jam 8 kesana masih tutup. Sangat mengecewakan beda sama expedisi sebelah",Sicepat,Sulawesi Barat
5,Sicepat memang cepat ... Mantblahh pokoknyaaa,Sicepat,Sulawesi Barat
1,Pengirimannya lambat sekali,Sicepat,Sulawesi Barat
1,Pengiriman paling ga niat,Sicepat,Sulawesi Barat
5,Pelayanan oki. Ditingkatkan lagi.,Sicepat,Sulawesi Barat
4,Tertata rapi,Sicepat,Sulawesi Barat
5,Mantap,Sicepat,Sulawesi Barat
1,ayo pergi,Sicepat,Sulawesi Barat
5,No review found,Sicepat,Sulawesi Barat
5,No review found,Sicepat,Sulawesi Barat
1,No review found,Sicepat,Sulawesi Barat
5,No review found,Sicepat,Sulawesi Barat
1,No review found,Sicepat,Sulawesi Barat
3,No review found,Sicepat,Sulawesi Barat
