Rating,Reviews,Company,Province
1,Kenapai ini si cepat paket ku masih di gudang nah nah berapa hari mi ini bukan namanya si cepat tapi lambat ayo dong bos keduanya si cepat jangki begini KA.malas Ki juga org mau pake kurir ini bikin pusing,Sicepat,Sulawesi Selatan
1,Barangku sdh 5 hari tiba di mksr tp blm di antar jg.. stelah baca2 komen ternyata bnyk barangnya org yg blm diantar. Gak lagi2 mau pake ekspedisi ini,Sicepat,Sulawesi Selatan
1,"kalo tidak bisa mengantar paket jgn diambil kasih jasa pengiriman lain, tiba barang dari tgl 30 des 24 blm diantar sampai sekarang...hadeuuuuh",Sicepat,Sulawesi Selatan
1,"Telat 2 hari mi paket ku belum di antarkan, paket sebelumnya lewat 4 hari kayaknya jd saya inisiatif dtng ambil sendiri, pas dtng ehh di sttus paket saya paket di antar oleh kurir, padahal saya sendri yang ambil paket di lokasi ini, nah ini paket saya sdh 2 hari belum di antarkan atau menunggu saya ambil sendri paket nya ?!!!!",Sicepat,Sulawesi Selatan
1,"Dehhhh sumpah saya lacak brgku tgl 27 Desember 2024 SDH tiba digudang sortir Makassar, sekarang tgl 12 januari 2025 blm di antar,,, kurirnya pada ngapain woii? Seandainya kuliat tempatmu kudatangi",Sicepat,Sulawesi Selatan
1,"kurirnya tidak amanah, paket tidak pernah di antarkan sehingga paket yang dipesan terretrund gara gara kurirnya tidak pernah memberikan informasi mengenai paket yang di antarkan. Ntah itu mmng tidak di antarkan atau bagimana tpi saya sudah …",Sicepat,Sulawesi Selatan
1,Tolong evaluasi ini kurirnya yg bernama Muhammad nasir kenapa pelayanannya buruk sekali di telpon berapa kali tidak mau di angkat di chat tdk di respon padahal sy cuman mau tanyakan paketku di mana krn sy ke gudang paketnya jg tdk ada di gudang,Sicepat,Sulawesi Selatan
1,"Ini kurirnya niat jadi kurir apa tidak,status pesanan menghantar ke alamat tujuan tapi tidak sampe2 malah di kembalikan terus ke kantornya",Sicepat,Sulawesi Selatan
1,"Paket sudah hampir 15 hari jakarta-makassar pikir kota besar knp bisa selambat itu gimana yang daerah lain,solusinya ambil paket langsung ke sortationnya kebetulan dekat rumah saya pas di tallassa city makassar.",Sicepat,Sulawesi Selatan
1,"Kurang ajar nih kurirnya TDK becus, barangku TDK smpe di alamatku, ku cek ternyata di antar ke alamat lain, padahal SDH di bayar. Tanpa ad konfirmasi chat maupun telvon.",Sicepat,Sulawesi Selatan
1,"Sicepat atau silambat sih ini? Knp kegagalan pengiriman paket ke alamat tujuan, sengaja kah atau gimana?
*Saran ku bagi yang mau pakai ekspedisi ini mending ngak usah yah*, paket saya disengajain kegagalan pengiriman ke alamat tujuan, sepertinya itu faktor kesengajaan bagi mereka",Sicepat,Sulawesi Selatan
1,Pagi pak paket saya dr tgl 28 smp skrg blm sampai2 dr tgl 4 sdh smp di mks dlm proses penyortiran smp tgl 8 blm2 huga dikirim..katanya si cepat padahal silelet😀😀 gak lagi2 deh …,Sicepat,Sulawesi Selatan
1,"Hei si lelet kenapa udah 6hari barangku masih di sortir, kenapa gk dianter ke alamat tujuan?? Cepatko antarki sudahmk ku bayar !! Bukan barang COD itu !!",Sicepat,Sulawesi Selatan
1,"pesanan di marketplace dari tanggal 21 desember,sampai 28desember gak kunjung datang.padahal pesanan masih dalam satu kota.mendingan toko toko online gak usah pake ini kurir lagi deh.",Sicepat,Sulawesi Selatan
1,"Kondisi paketku pas saya terima tadi sdh hancur memang dan pas saya buka bocor
Pertanyaanku nuapaiki ini paket? Bsa sampai bocor jelas” mi itu sdh di segel sama selotip tp tetapji bocor sekali. Andai 1 masih bsaji saya tolerir ini 22nya …",Sicepat,Sulawesi Selatan
1,"Kurirnya sembarang kerja beri paket.. Alamat pemesan paket di tempat lain, paketnya diserahkan ke orang dngan alamat lain.. Bikin rugi costumer.",Sicepat,Sulawesi Selatan
1,Dimnmi ini paketku .. sudah berp Minggu lebih woyy .. paketku itu hari tidak jauhmi dri rumah tp tidak di antar pdhal bisa tlvn klo mmng kau tidak tau itu alamat,Sicepat,Sulawesi Selatan
1,"Buruk pakai banget pengantaran paket gak sesuai estimasi, sampai sekarang paket belum saya terima dan baik hubungi wa telfon pusat sicepat semuanya BURUK mending ganti nama jadi SILELET",Sicepat,Sulawesi Selatan
1,paket saya dari hari Sabtu tgl 14 dari Makassar- ke Palopo belum tiba sampai skrng tgl 19 padahal estimasi tibanya tgl 15 kenapa lambat sekali,Sicepat,Sulawesi Selatan
1,"Ini kontaknya tidak adakah ??
Ada paket sudah 2 hari gagal kirim setidaknya kalau tidak bisa mengirim hubungi si pemilik paket kan nomornya disitu ada 😏 …",Sicepat,Sulawesi Selatan
