Rating,Reviews,Company,Province
1,"Ini ekspedisi aneh. Kurirnya kurangajar.
Paket saya jelas² alamatnya.
Kurirnya sdh hubungi sy dan sy sdh konfirm.
Malah status paket sy dijadikan Bad Adress.",Sicepat,Sulawesi Tengah
1,"Apa maksudnya ini sudah 9 hari barang sampai di tempat sortir terus, giliran kita jemput kesana alasan bilang barang belum di bongkar.",Sicepat,Sulawesi Tengah
1,Paket sdh sampai dipalu.. tp tdk ad yg antar2. Mo hub kantor sini ndk jelas no nya hadehhhh.. buruk!!!,Sicepat,Sulawesi Tengah
1,"Seharusnya paket sdh Tiba tgl 23 di suruh tunggu lgi smpai tgl 1 bulan dpan,,pelayanan TERBURUK,,Si cepat bangke",Sicepat,Sulawesi Tengah
1,"Asli lama skali paketku datang, maksdku kasih pasti alamatnya kamu dimana kah supaya saya ambil sendiri saja !!!",Sicepat,Sulawesi Tengah
1,"GK ada konfirmasi kurir tersebut,SDH brp.hari pakt sya di palu nda di konfirmasi,sya SDH cari almtnya nda jls juga",Sicepat,Sulawesi Tengah
1,"hadehhhh si cepat tailaso, barang saya tidak sampai-sampai, padahal udah di palu, alamat saya cma di tondo",Sicepat,Sulawesi Tengah
1,"Ada yang punya nomornya wa sih kurirnya, tolong di bagi, soalnya paketku belum ada",Sicepat,Sulawesi Tengah
1,Paket harus tiba tgl 17 Desember sampe tgl 19 Desember tidak kurir antar 🙃 …,Sicepat,Sulawesi Tengah
1,Paket sudah 8 hari tidak sampai di rumah padahal paket sudah di palu,Sicepat,Sulawesi Tengah
1,"Pelayanan jelek lelet, masa dari palu ke kota poso 2 hari ga nyampe, liat di maps aja 5 jam. Ga rekomen leletnya minta ampun",Sicepat,Sulawesi Tengah
1,paket saya dua kali di return tanpa sepengetahuan saya padahal paket nya sudah saya tunggu dan sudah sampai di kantor si cepat bahkan di konfirmasi ke saya saja tidak ada. minim pelayananan,Sicepat,Sulawesi Tengah
1,"Pengantran sangat lambat,sdh berpa hari sampai di palu,sampai sekarang blm di antar²😥 …",Sicepat,Sulawesi Tengah
5,"Sesuai dengan namanya, pengiriman aman dan cepat..👌
Sudah beberapa x menggunakan jasa expedisi SiCepat dan selalu memuaskan..👍 …",Sicepat,Sulawesi Tengah
1,"PARAH, dari tangl 21 Des 2024 sampai 27 Des 2024 paket tidak ada pergerakan!!!",Sicepat,Sulawesi Tengah
1,"Waduh baca baca ulasan, buruk semua responnya, barangku pakai via sicepat semoga tdk tertahan sampai direturn. Anehnya lagi tertahan dgn alasan krn tdk ada orang di rumah padahal belum diantar. …",Sicepat,Sulawesi Tengah
1,Ekspedisi si malas.. paket kok nda diantarkan ‼️,Sicepat,Sulawesi Tengah
1,Pengiriman sangat lambat dasar expedisi tailaso.,Sicepat,Sulawesi Tengah
1,"JGN PERNAH PAKAI JASA EKPEDISI INI. SUMPAH SANGAT-SANGAT KECEWA DIBUAT!!!
PAKET BERHARI-HARI TDK DIANTAR KEALAMAT
PADAHAL ALAMAT JELAS DAN LENGKAP NOMOR JG. SAMPAI PADA AKHIRNYA JADI RETUR.",Sicepat,Sulawesi Tengah
1,"EKSPEDISI PALING TIDAK BERTANGGUNG JAWAB!!!
Alasannya kalo ngga hilang, cust tidak ada dirumah padahal tidak pernah dihubungi bahkan datang ke rumah. Ujung-ujungnya barang dikembalikan ke penjual. Dan ini …",Sicepat,Sulawesi Tengah
2,"Tolong dong si cepet.
Paket sya sdh smpi di palu segak tgl 26 buln 2.
Ini sdh tgl 2 buln 3 kok blom sampi juga di rumh bahkan di donggala... …",Sicepat,Sulawesi Tengah
1,"Ekspedisi tidak BECUS.
Paket saya sudah 3 hari masih ketahan di palu terus, kapan di kirim ke alamat saya ny. …",Sicepat,Sulawesi Tengah
1,"Paket saya tiba di palu tgl 3 april, skrg tgl 20 April belum dikirim di banggai laut, pake nama SiCepat biar apa?😌 …",Sicepat,Sulawesi Tengah
1,Paket saya sampai sekarang belum sampai,Sicepat,Sulawesi Tengah
1,Sdh1 minggu lebih paketnya stuck d.palu.. mana udah mau dipakai.. tdk usah d.tahan lama2 itu paket.. menyesal pakai sicepat halu.. emang halu betul.. andaikan bisa posting in tdk pakai bintang,Sicepat,Sulawesi Tengah
1,Minimal klau antar barang di telpon atau di SMS atau di WhatsApp maksimal jangan Si paling malas,Sicepat,Sulawesi Tengah
1,Paket sy ditukar dengan barang orang lain walaupun resinya benar....begini kerjanya si cepat sudah lelet stuck lama di palu ternyata diterimanya barangnya orang lain.....kecewa,Sicepat,Sulawesi Tengah
1,"Dari kantor yg di zebra di suruh lgsg ke gudang, dtg ke gudang karyawan nya malas nyari, katanya sdh di antar kurir, di antar darimna? Yg di zebra ngomong masih di gudang kok, sampe 3 kali bolak balik nyari bilg nda ada, nnti ganti karyawan …",Sicepat,Sulawesi Tengah
1,"Untuk SiCepat kota ToliToli Mau di datangi kantor nya aja ga ada, kurir ga jelas yang mana. Kenapa cabang Sulawesi Tengah gini banget ya apalagi bagian ToliToli, nama nya aja sicepat tapi kinerja nya masih cepetan ngirim pakai cargo …",Sicepat,Sulawesi Tengah
2,"Sdh 2hri paket sampai d palu tp keterangan ny masih d sortir pdhal pakai reguler, tr akhir pokok ny sy menggunakan ekspedisi ini",Sicepat,Sulawesi Tengah
1,Barang sudah seminggu dipalu belum dikirim ke luwuk sehingga tidak sesuai estimasi,Sicepat,Sulawesi Tengah
1,"Ngeri pakai si cepat sekarang, sudah sampai batas tanggal estimasi pengiriman barang tapi barang belum sampai-sampai. Padahal paket sudahh sampai palu dari tanggal 5, keterang masih di Palu sortation sudah 6 hari. Mau saya cancel saja saja barangnya.",Sicepat,Sulawesi Tengah
1,"Parah sekali ini pengiirman barang sy cuman di kasi biar2 di gudang tidak diantar2
Barang sampai palu tanggal 27, sekrng sdh tanggal 1 belum juga diantarkan ke alamat.",Sicepat,Sulawesi Tengah
1,Pelayanan dan pengiriman lambat sekali.. saya menulis ini di hari sabtu dan resi tidak update dari hari rabu... status paket keluar dari sortation.. tapi kemana paket saya (?) entahlah.. rencana mau diambil saja paketnya krn sdh trllu lama …,Sicepat,Sulawesi Tengah
1,"No. Resi : 001564048576
05-09-22 22:53  IN-Paket telah di terima di Palu [Palu Sortation] …",Sicepat,Sulawesi Tengah
1,"Sudah 1 minggu paket stuck di Palu, jujur kecewa dengan pengiriman dri si cepat. Ongkirnya aja yg mahal penanganannya sangat lambat. Kalau ada bintang -10 udah ku klik. Emang penanganannya minus 👎👎👎 …",Sicepat,Sulawesi Tengah
1,"Namanya saja sicepat tapi pengantaran paket lama padahal barang sudah sampai 2 hari lalu
Onkos kirim sudah mahal tapi pelayanan buruk..kalau ada bintang mines 5 saya akan kasih rating",Sicepat,Sulawesi Tengah
1,"woe barang gua ngapain lu diemin 3 hari di gudang ? lu ternak biar numbuh biji paket ? kirim yg bener, bukan malah diternak di gudang",Sicepat,Sulawesi Tengah
1,padahal udh nyampe di palu r hari yg lalu sampe lewat dari tgl estimasi ga dikirim kirim,Sicepat,Sulawesi Tengah
1,"Barang yg sy pesan tgl 18, besoknya tgl 19 dikirim dari Jakarta ke palu, tgl 19 udh sampai di gudang sortir, tapi  kok gk diantar², udh 4 hari kasian....",Sicepat,Sulawesi Tengah
1,"No Resi : 004078988850,

30/08/2022 14:38  Terima permintaan pick up dari [Shopee] …",Sicepat,Sulawesi Tengah
2,"Paket dari tgl 4 sampe skg ga diterima,, kantor pun tdk jelas",Sicepat,Sulawesi Tengah
1,"Lebih Cepat Barang Dari Luar Negri Datang Ketimbang Yang Dalam Negri, Sangat Lambat Pelayanan SiCepat Skarang Ini, Paket Sortation Dipalu Sampe 2 Minggu Lebih Disimpan, Kalo Memang Sudah Tidak Mampu Melayani Paket² Konsumen Ditutup Saja SiCepat, Ganti Menjadi SiLambat Dan Sudah Pasti Konsumen Mengerti Kalo Namanya SiLambat....",Sicepat,Sulawesi Tengah
3,"Kirim barang dari tanggal 22 agustus dan status di terima di palu sortation tgl 29 agustus , ada lagi status di terima di palu sortation tgl 05 september , dan sampai sekarang barang belum sampai juga ,,tolong jawab kalau barang di ambil sendiri di gudang sortation bisa gak ?",Sicepat,Sulawesi Tengah
1,0 besar. Si cepat tapi lambat. Bukan si cepat sih. Lebih si Lambat. Paket sudah mau sebulan msih transit terus. Tidak ada kejelasan. Tutup saja ekspedisi nyaa.,Sicepat,Sulawesi Tengah
1,Paket tdk bergerak sdh 3 hari disini. 👎👎👎 …,Sicepat,Sulawesi Tengah
1,"bagaimana nih paket sy stuk di palu sdh 4 hari, tdk ad pergerakan, mohon di respon semua no telfo tdk bisa di hubungi",Sicepat,Sulawesi Tengah
1,Lambat banget.. padahal dari akhir minggu barang udah d palu . Sudah minggu depan hari rabu tidak ada tanda tanda barang nyampeee.. kecewaa bangett,Sicepat,Sulawesi Tengah
1,"Parahh si cepat inii.... Sampai 12 harii gk sampai ,, dari palu ke parigi sdahh 5 hari di sortir di gudang , gk di antar2",Sicepat,Sulawesi Tengah
1,"Paket saya kenapa belum di kirim""... Malah mau di retur",Sicepat,Sulawesi Tengah
1,"barang gua 5 biji stuck d sini, kapan mw d kirim ke toli2 udh lwt lima hari. jasa paket paling lelet dan tidak bertanggung jawab",Sicepat,Sulawesi Tengah
1,"Tolong paketku segera di kirim ke Parigi bangkeeeeeeeeeeee.

Pelayananmu g sesuai dengan nama mu. …",Sicepat,Sulawesi Tengah
1,Paket stuck 5 hari disini ga ada pergerakan sama sekalii mau dipake buat acara nikahan gimana neeh sicepatt kapok deh pake kamu,Sicepat,Sulawesi Tengah
1,Dari tgl 14 okt sudah disortation palu sampai tgl 19 okt belum bergerak...mau diantar atau tidak paket saya?,Sicepat,Sulawesi Tengah
1,Paket sudah 1 minggu masih di sortiran palu,Sicepat,Sulawesi Tengah
1,"10 hari paket stuck di palu sortation sampe hari ini blm ada pergerakan, nasib barang saya gimana ya ?",Sicepat,Sulawesi Tengah
1,Paket saya stuck di gudang sini sudah lebih dari 2 minggu,Sicepat,Sulawesi Tengah
1,Barang sdh dipalu tfk diantar ya ampun bikin jengkek,Sicepat,Sulawesi Tengah
1,Paket saya udah 2 hari di palu kok belum sampai?,Sicepat,Sulawesi Tengah
1,Kok Ngak ada nomor yang bisa dihubungi,Sicepat,Sulawesi Tengah
1,Barang suda sampai Tpi na ad konfirmasi.baru alamat nga jelas. Mending tutup sja itu tempat.,Sicepat,Sulawesi Tengah
1,"PAARRAAAHH!!! PELAYANAN SANGAATT BURUUUKK ! PAKET LANGSUNG MAIN RETURN, PADAHAL SUDAH DI KONFIRMASI AKAN DI AMBIL. KECEWA!!!!!",Sicepat,Sulawesi Tengah
1,"payah, tidak jelas",Sicepat,Sulawesi Tengah
1,Ganti nama si paling lambat eww,Sicepat,Sulawesi Tengah
