Rating,Reviews,Company,Province
1,Si cepat tp pengantaran ya LAMBAT SEKALI. Barang sudah sampai digudang 5 hari belum diantar2. Pelayanannya buruk. TIDAK RECOMENDED untuk pakai ekspedisi ini👎👎👎 …,Sicepat,Sulawesi Tenggara
1,"Kalo punya masalah internal CEPAT di SELESAIKAN, kita yg butuh barang itu udah estimasi waktu tiba, mau dipakai malah ga nyampe nyampe, rugi waktu. Pengen ngomong kasar tp ga guna.",Sicepat,Sulawesi Tenggara
1,"Sama seperti orang lain, barang saya sudah di Kendari dari tanggal 22 Juli 2024, tanggal 24 Juli 2024 tertulis OTS (On Transit Schedule) sampai sekarang saya ajukan klaim barang hilang di Tokopedia, tidak dikirimkan ke Lasusua. …",Sicepat,Sulawesi Tenggara
1,"Kantornya tidak jelas yang mana, kantornya juga tutup terus. pengiriman bermasalah, tidak ada solusi yang diberikan. katanya ada masalah internal. maksudku saya itu masalahmu kenapa imbasnya ke customer. harusnya tetap tanggung jawab sama …",Sicepat,Sulawesi Tenggara
1,"Paket saya tanggal 26 dikendari.
Mau dipakai tanggal 4 Agustus. …",Sicepat,Sulawesi Tenggara
1,"Jasa kirim tidak recomended 👎
Paket saya tiba dari tanggal 23 juli tp tanggal 30 baru diantar tapi sampai sekarang sudah tanggal 5 agustus tidak sampai-sampai, 😡😡tanggal 1 agustus notifx …",Sicepat,Sulawesi Tenggara
1,"Jasa kirim terlambat, terburuk. Kalau memang tidak bisa lagi melakukan pelayanan tutup saja ya. Merugikan skli saat barang yang kita butuhkan sekali tidak smpai. Padahal paketq sdh tiba dikendari bahkan kurir sdh minta sharelok, Tapi smpe …",Sicepat,Sulawesi Tenggara
1,"Paketku kenapa di kubur di tanam di kendari tidak di kirim ke bau2....???
Klo memang tdk ada pengiriman kenapa masih buka si cepat.... Tutup saja klo hanya merugikan orang....!!!! …",Sicepat,Sulawesi Tenggara
1,"Paket sudah tiba dikendari sejak tanggal 13 agustus.
Sampai sekarang tidak dikirim. Tadi siang ke kantornya. Tapi sudah tidak ada kantornya, titik maps ada. Sampai disana bukan kantor sicepat, tapi kantor …",Sicepat,Sulawesi Tenggara
1,"Kalau tidak niat antar, paling tidak hubungi yg punya paket kalau tidak bisa di antar, biar kami ambil sendiri dan tidak pernah memakai jasa pengiriman ini lagi, dari tgl 13 agustus di sistem sedang proses penyortiran kendari, sampai skrg …",Sicepat,Sulawesi Tenggara
2,"Paket nya belum sampe setatus antar ke alamat tujuan sejak hari Jum'at tgl 26 dan sampai sekarang tgl 30 belum sampai, dapat WA katax mau diretur kok bisa kak, itu paket non COD, tolong dong pengertiannya, tidak apa2 saya yang jemput paketnya di kantor🙏🏻 …",Sicepat,Sulawesi Tenggara
1,"Tolong dong paket saya segera dikirim ke alamat tujuan, disistem tertulis tanggal 24 sudah tiba di kendari tapi kenapa belum kunjung juga di kirim ke alamat tujuan padahal ini sudah tanggal 29? Niat ga sih buka jasa pengiriman? Jangan hanya mau diuntung tapi merugikan orang lain!",Sicepat,Sulawesi Tenggara
1,"Mana kh paketku ini dari tanggal 30 juli, sekarang sudah tanggal 7 Agustus anjing, ini barang sudah dibayar tai Knp ndada kabar dari ekspedisinya kah mau antarkan barangku. Tutup mi itu expesisi mu deh bikin sakit hati, ko tau ji toh ndada obatnya sakit hati. Sa doakan ko saja yg bae dehh expedisi anjrot 🤏🏼 …",Sicepat,Sulawesi Tenggara
1,"Tidak rekomendasi guys, paket saya dari tanggal 31 july dikirim dengan estimasi sampai kendari tanggal 4 . Sampai hari ini sudah tanggal 14 Agustus belum sampai sampai …",Sicepat,Sulawesi Tenggara
1,"Ini sicepar paketnya sudah sampai di kendari dari tanggal 6 kenapa tidak diantar paketnya? Padahal dikirim pakai jasa reguler, sudah hubungi CS nya dijawab tunggu 3x24 dan sudah lebih estimasi waktu tunggunya tetap juga paketnya tidak diantar",Sicepat,Sulawesi Tenggara
1,"Paket sy belum diantar² hrsnya estimasi pengntarannya tgl 29 - 30 juli udah smpai,sy tunggu  smpai hari inipun belum diantar²,,
ini sih bukan si cepat atau si gesit lagi tapi silambat.. hadeeuuhh 😮‍💨😏 …",Sicepat,Sulawesi Tenggara
