Rating,Reviews,Company,Province
1,Kurir paling buruk...barang saya entah dimana status terakhir dimanado tau2 status baru sudah di gerai jakarta klu tdk bisa kerja jangan buka kurir kasian konsumen sdh bayar mahal tapi mengecewakan parah,Sicepat,Sulawesi Utara
1,"Halo barang saya sejak tgl 10 katanya keluar dari pusat sortir manado, kapan nyampe bitung???ini sudah 4 hari lebih tidak ada pergerakan. apa harus dijemput paketnya ke kantor manado?menyesal pake ekspedisi ini. lambat banget.",Sicepat,Sulawesi Utara
1,Paket Saya di ambil kurir tapi Belum sampe Tutup aja Sicepat Di manado Kacau Parah Pelayanan broken,Sicepat,Sulawesi Utara
1,"jasa kirim paling pendo,si cepat mr paling lambat cuki,nd guna ngoni,paket so di manado kong dia bole mo bale ulang di jakarta so seno ini,paket le so bayar mahal mahal kong bale ulang lgi,pendo memang,nentau ja baapa sto di kantor ba ilang jo  ini jasa kirim paling tolol,kurir cuma ja baapa sto
biongo cuki",Sicepat,Sulawesi Utara
1,"Paket sudah di manado bukang se trus di alamat ini malah bawa di jakarta
Helow ini ja sortir bagimana kang kong sampe ta dampar tu paket so pengiriman lama ja tadampar"" le memang ekspedisi rusak cuma untung nama sicepat ekspres padahal silelet paling lelet",Sicepat,Sulawesi Utara
1,"Ini jasa pengiriman ada antar dgn bendi sto. 8 hari d tunggu Kong Kase bale k jakarta. Bukang sicepat ini, sikampret",Sicepat,Sulawesi Utara
1,"paket sudah di kantor manado dari tgl 25 juli sampai hari ini tgl 5 agustus paket belum di antar di info lacak paket terteta pergantian breach ...
maksudnya apa ya ... …",Sicepat,Sulawesi Utara
1,"Sudah 5 hari paket saya di gudang, kenapa gak ada pergerakan, kerja yang bener, saya sudah bayar ongkir mahal, masa harus jemput ke gudang pula, yang ada saya rugi, udah bayar ongkir mahal tapi ambil sendiri. Kalo ak jadi SiCepat langsung saya ganti pegawai model kayak gini, daripada bikin rugi & bikin jelek nama usaha.",Sicepat,Sulawesi Utara
1,Woy Paket saya sudah Seminggu lebih gak pernah sampai heran Ada masih ada jasa pengiriman seperti ini memang sicepat jasa pengiriman terburuk yang pernah ada paket saya sampai Hilang,Sicepat,Sulawesi Utara
1,"PAKET HARUS DIAMBIL DI GUDANG SUDAH MENUMPUK SAMPAI SELAMA 5 HARI, KARYAWAN SICEPAT TIDAK NIAT KERJA SEMUA PAKET HARUS DI JEMPUT AMBIL SENDIRI GA PERNAH DI ANTAR DENGAN ALASAN PAKET DI ANTAR HARUS TUNGGU 1 MINGGU LEBIH GANTI AJA MAMANYA SI …",Sicepat,Sulawesi Utara
1,"Paket tiba di manado sortation 5 november 2024.
Hingga tanggal 11 november 2024 paket belum sampai ke tangan saya.
Bangsat!",Sicepat,Sulawesi Utara
1,Pengiriman lama paket saya udah sebulan belum sampai²,Sicepat,Sulawesi Utara
1,Barang sudha di manado tapi tak sampai sampai di tujuan namanya jo yg capat pelayanan sama deng apa stow,Sicepat,Sulawesi Utara
1,NDA GUNA NGNI PE EKSPEDISI TUTUP JO BARANG SO LAMA NDA MO BAWAH”,Sicepat,Sulawesi Utara
1,"Rupa nda ada pergerakan ini paket dari manado ka kotamobagu, cuma di tampa trus so brapa hari ini👎🏻 …",Sicepat,Sulawesi Utara
1,paket sudah 1 minggu belum diantar dan tidak ada pergerakan.ini bagaimana ya dianter enggak ga bs anter jangan buat tujuan biar ga pake ekpedisi ini jadiny.nanti kl sampe ini berujung retur tanpa pengantaran mending tutup aja udah daripada mengecewakan beginu,Sicepat,Sulawesi Utara
1,"Ngoni ini da karja atau nd kang? Kt pe paket so sampe dari tanggal 15 mar sampe skrg nda da pergerakan ntau ngoni m antar ato nda! Kt mo tanya jo dari sortiran abis itu ngoni antar kmna klo daerah minut, nanti kt pi ambe sndri jo tpe …",Sicepat,Sulawesi Utara
1,"Tpe paket dpa kse pindah ekspedisi tanpa sepengetahuan qt. Nnti so pgi di kantor ujg"" dg basah"" Dg tpe bestfriend (belanda💅🏻✨💞),baru drg blg so kse pindah, itu leh kse pindah di jasa kirim yg 11/12 dg drg (nd jelas). tpe barang so lewat tgl …",Sicepat,Sulawesi Utara
1,"Kalo ada rating ⭐0 itu yg kita mo pilih.
Paket so sampe dari 3 hari lalu di kota tujuan, kenapa belum diantarkan sampai sekarang hari ke 4? …",Sicepat,Sulawesi Utara
1,"Kita pe paket ngoni mo antar le ato so nda? So dari 3 hari lalu tape paket da sampe kong cuma tatahan di gudang? Da kerja ngoni ato nyanda?ato cuma angka2 kaki ngoni? Tpe paket so perlu skali ngoni nimau mo antar! Helooooo???? Tutup jo ni ekspedisi, nda bermutu!!! Klo boleh kase nilai mines,so kase -100000000000",Sicepat,Sulawesi Utara
1,"Namanya Sicepat padahal SILAMBAT,  Lama sx mo kirim paket courier nya malas' ini Terakhir Kali saya pakai sicepat, Paket saya memiliki status keluar Dari manado sortation terus, tidak di recommend untuk org YG suka paket nya datang cepat, lebih bae J&t atau JNE masih JNE lebih cepat Dari ""SICEPAT""",Sicepat,Sulawesi Utara
1,"Kalau ada bintang minus bakalan q kasih -5..
Paket dri tggl 11 Februari smpai 20 Februari tidak ada pergerakan, masih d sortation kata nya.. …",Sicepat,Sulawesi Utara
1,"so brp kali jga t Soe pake jasa kirim ini, brng drng nd jaga antr ka alamat baru drng mo retur ke penjual padahal so bayar hii, klo ad kontak kurir sicepat tolong kirim akng",Sicepat,Sulawesi Utara
1,"Barang so brapa hari sampe manado nda mo antar2, kong ini stts estimasi smo se bale ka penjual 👎👎 kalo kekurangan kurir lebe bae tutup jo tu kntor. Qt slalu pake j&t mar ini koman ta soe da cek out di aplksi so lupa lia jasa ekspesisi nti sadar dpe beso. …",Sicepat,Sulawesi Utara
1,"Bagimana ini paket ada pesan dari bulan lalu, kong so sampe di manado estimasi smpe nnti bulan depan, ini paket masih mo antar ato nd, so bayar lagi tu paket!!!",Sicepat,Sulawesi Utara
2,"Sebenarnya saya senang pake SiCepat sebelumnya. Tapi gak tau apa kendala SiCepat di Sulut. Paket cuman nyampe Manado, setelah itu dikembalikan ke penjual. Untung barangnya gak hilang dan saya tukar jasa kirim setelah itu.",Sicepat,Sulawesi Utara
3,"Lama,hanya melihat estimasi tiba padahal perjalanan barang tidak ada hambatan,juga tidak ada perwakilan kantor jasa kurir di kabupaten pasti proses pengantaran barang terlambat yg tidak diharapkan penerima/pemesan barang.",Sicepat,Sulawesi Utara
1,"Ini ada nomor telpon nda? Tiap kali nda antar barang so nintau mo hubungi p siapa. Cma bisa CS di pusat, itupun tunggu 3x24jam. So jao sekali dang mo antar di pusat kota???",Sicepat,Sulawesi Utara
1,"Parah... Lambat skali pengiriman 😒 Pesanan dijemput dari tanggal 18 Nov, blm sampe2 ni barang da pesan riki so tanggal 30 Nov 😡🤬 Mo sampe Januari sto ni barang? Tutup jo ni perusahaan klo nda niat beking expedisi... 😡🤬 …",Sicepat,Sulawesi Utara
1,"Barang so sampe tanggal 18 di mdo, smpe skarang nda sampe"" Di tempat tujuan Kong dorang kase batal le😡 parah ni kurir …",Sicepat,Sulawesi Utara
1,Gimana ini paket sdh tiba di kota tujuan costumer saya sdh semingguam lebih... Kenapa tidak diamtar2. Bagaimana ini pertanggumg jawaabnannya.... Sdh melewati estimasi hari ...,Sicepat,Sulawesi Utara
1,"Baru kali ini dapet pengalaman kaya begini.
Keterangannya berubah2 pertama alasannya ngak ada org di rumah padahal sllu ada org, kedua alasan tidak bisa di hubungi padahal nomor admin di tempat praktek …",Sicepat,Sulawesi Utara
1,Ternyata banyak review tentang perusahaan ini yang tidak sesuai dengan namanya. Lebih cocok jadi SiLambat. Paket tidak sampai langsung diganti dana karena SiLambat ini tidak ada update dari tim terkaitnya. Sudah tidak ada update tetapi pihak perusahaan SiLambat tidak mau mencari tahu updatenya. Sangat tidak profesional.,Sicepat,Sulawesi Utara
1,"Kecewa sama sicepat sekarang. Dulu bagus tapi makin kesini kenapa semakin aneh. Pengiriman jadi sangat lambat, customer service tidak ramah malah waktu dimintain nomor whatsapp cabang tidak diberikan tanpa alasan jelas. Sicepat hiatus dulu aja biar konsumen ga dikorbankan begini.",Sicepat,Sulawesi Utara
2,"dpe cepat talalu halu, biasa paket kalo di J&* 3 hari so ditangan . in so 5 hari nd ada kejelasan pdhl barang so dari hari ka 3 subuh so di manado sortation.",Sicepat,Sulawesi Utara
1,Masih hidop ini siceoat pe karyawan or so mati paket so talama di kantor nda ada kejelasan mo antar or bagimana ttup jo ini sicepat nda berguna,Sicepat,Sulawesi Utara
1,"Ini jasa pengiriman apa e qt pe barang so 7 hari ada blg mo antr ini hari smpe skrg nda ada yg komunikasi kamari alasan barang pindah expedisi baru qt p brang ada bayar cash bkg cod kong ngoni pe kerja model bgini, kecewa skli deng ngoni pe pelayanan model bgini klo nda niat bking expedisi lebe bae nynda usah bking",Sicepat,Sulawesi Utara
1,"Ekspedisi paling besae so ini, barang so lama D sampe D mndo nda antr P konsumen..",Sicepat,Sulawesi Utara
1,"Rating app store mirip dengan rating google 🗿

Paket keluar sampai di sortation …",Sicepat,Sulawesi Utara
1,2 barang saya tidak di antar dari akhir bulan agustus. Hingga tgl 5 sep 2023. Kurir yg sangat buruk.,Sicepat,Sulawesi Utara
1,"Sangat2 paraaah. Barusan telpon dengan CS nya, sudah telat 1 minggu, disuru tunggu lg 3x24 jam dari pelaporan pertama. Parah bangettt ampun deh pake sicepat lagiii 😫 …",Sicepat,Sulawesi Utara
1,"Parah reguler sampe 2 minggu ga maju. 2 paket loh nyangkut d sortation. Ditanya dimana lokasi sortingnya pun ga dikasih tau, no tlp juga kagak. Tiap hari ditelepon ke cs ga ada maju, nombok pulsa iya. Luar biasa ga jelas wkwkw",Sicepat,Sulawesi Utara
1,"Kalo ngoni nda niat kerja sudah jo mo kerja, smo berapa hari lagi kita pe paket mo diantar?",Sicepat,Sulawesi Utara
2,"pelayanan kurang baik, khusus perwakilan di Manado dan sekitar nya, tidak mencantumkan no telephone dan susah di hubungin",Sicepat,Sulawesi Utara
1,"Barang saya sdh mau sebulan blm jga sampai,parahh expedisi nya",Sicepat,Sulawesi Utara
1,"ini namanya bukan si cepat tapi si lambat
paket sudah sampai digudang tidak ada yang mengantar
PARAHHH SEKALI PENGIRIMANNYA 👎🏻👎🏻👎🏻 …",Sicepat,Sulawesi Utara
1,"No resi 003125687230,paketnya tidak bergerak sejak tgl.10/02/2023.padahal deadlinenya tgl.14/02/2023.tolong segera di antar paketnya🙏🏻🙏🏻 …",Sicepat,Sulawesi Utara
1,"paket saya no resi 004151832446 sudah hampir 3 minggu blm sampai, ini bukan sicepat, tp SiLambat",Sicepat,Sulawesi Utara
1,Pengantaran pemay deng bagini,Sicepat,Sulawesi Utara
3,"003034259736 no resi, sdh 4 hari belum sampai. Pakai paket lain rata2 max 4 hari. Mohon info utk status barang.",Sicepat,Sulawesi Utara
1,Pesanan sy sampai saat belum juga ada sudah 2 minggu lebih,Sicepat,Sulawesi Utara
1,Barang sudah sampai Manado tp malah di nyatakan hilang ini sangat buruukkk.....,Sicepat,Sulawesi Utara
1,"siLambat tobat pake ni ekspedisi ini..
kurir PAMALAS MAMPOS",Sicepat,Sulawesi Utara
2,"Lambat pengiriman, bilang saja kalau harus suruh jemput di kantor",Sicepat,Sulawesi Utara
1,"udah 2 minggu lebih paket gak dateng"" hadehhh gimana sih,katanya sicepat kok jadi silambat",Sicepat,Sulawesi Utara
1,"pelayanannya buruk, lama banget paketnya diantar ke alamat tujuan",Sicepat,Sulawesi Utara
