Rating,Reviews,Company,Province
1,"Ekspedisi macam apa ini? Kalo ada rating di bawah 1 bakal saya kasih. Pesan dari tggl 6, skrg udah tanggal 20 dan paket ga kunjung sampai padahal udah 4 hari di lokasi sortir padang. Saya merasa bersalah terhadap semua org kantor saya …",Sicepat,Sumatera Barat
1,"Assalamualaikum,

Nama ekspedisi ngk sesuai dg realita, belanja dr tgl 11, paket smpai di pdg tgl 15, smpai tgl 19 ngk jelas status. Padahal ini paket obat, tapi ahsudahlah,,",Sicepat,Sumatera Barat
1,"eskpedisi terburuk yang pernah ada , Ketidak profesionalan ,kalau terlalu banyak paket tambah tenaga kerja nya ,prioritaskan kenyamanan pelanggan dong ,saya berkomentar seperti ini karna sudah kesekian kali kecewa dengan eskpedisi ini , Lambat Banget 👎👎 …",Sicepat,Sumatera Barat
1,"co dari tanggal 30 november, estimasi tgl 6-7 desember. tgl 6 udah di sortir padang sampe sekarang tgl 9 ga gerak masih stuck disana belum diantar ke alamat. lelet",Sicepat,Sumatera Barat
1,"Bro bro, kalau gak niat ngantar paket jangan disuruh kurir gak becus, gaya antar alamat sampai sekarang belum datang menuju alamat anda alamat apa tai, jangan suka PHP, kasih tau kurir kalau gak becus angantar paket pecat aja, dari pagi …",Sicepat,Sumatera Barat
1,"pengiriman lama, kurir gak nemuin alamat lalu di chat admin dengan buat share loc. malah chat pake tanda seru. Parah adminnya gak sopan pengiriman lambat.",Sicepat,Sumatera Barat
1,"Jasa kirim paling gk jelas, sejak tanggal tanggal 11 udah di padang, sampe tanggal 15 enggak juga diantarkan ke lubas",Sicepat,Sumatera Barat
1,"Barang sudah sampai dipadang 2 hari..tapi belum juga diantar kealamat rumah..
Sangat kecewa atas pelayanannya",Sicepat,Sumatera Barat
1,"Paket saya rusak di perjalanan,,,dititip tempat satpam tapi abang kurir nggak kasih tau kalau paket rusak,,langsung pergi bae.. kecewa!!",Sicepat,Sumatera Barat
1,"Jakarta padang 2 minggu tak kunjung sampai
Berhari² transit di padang gblk
Klw emang gak bisa tutup aja semua gerai lu blok",Sicepat,Sumatera Barat
1,"Parah sih sampe 5 hari, pdhl penjagaan didpn itu TNI jaga 24 jam tapi status pengiriman 2x gagal karena tidak ada org dirumah. Wkwk rumah siapa mau lu datangin, mana ada paket diantar masuk kerumah rumah. Jelas paket di taruh di pos …",Sicepat,Sumatera Barat
1,"Iko cocok namonyo diganti jadi SI PANTEK, alamat alah jaleh bakecekan bad adress, eee kapunduang",Sicepat,Sumatera Barat
1,"Paket saya kapan sampe dari tgl 16 nyampe Padang sekarang udah tgl 20 belum ada kejelasan, padahal mau dipakai lomba 17 an",Sicepat,Sumatera Barat
1,"Padang-sijunjung cuma 3 jam, bisa2nya jadi 3 hari 🙃 dan belum sampe2 …",Sicepat,Sumatera Barat
