Rating,Reviews,Company,Province
1,"Men sekiro ny dk alak begawe sudah usah begawe nak nganter ke paket wong ,nyusah ke bae
paket aku dari kmrn dk smpe²,di apk pesenan la selesai tapi di aku belom ku terimo,trs kemano paket aku tu oi,mls lagi ah nk pkek kurir ini,dk jelas.",Sicepat,Sumatera Selatan
1,"Bener2 parah si cepat palembang sortation ini, paket tiba sabtu jam 5 pagi disini, tapi sampai senin siang ga diapa2kan, bayangin 3 hari dianggurin, ada pegawainya ga disini ya??? Kalo ga niat , tutup saja !!!!",Sicepat,Sumatera Selatan
1,"Udah di tanyain sama orang gudang katanya udah di banyuasin, tapi ga sampe² udah seminggu gaada kabarnya, mana udah di bayar🥺 tolonglah para kurir kalo bingung cari alamat ya di telpon atau WA jangan di diemin doang.. Sumpah nyesal pakek jasa ini, mending ganti nama aja jadi si lambat bin lemot bin lelet …",Sicepat,Sumatera Selatan
1,"Ini ekspedisi pengiriman paling biadab, paket sudah 4 hari di gudang , di biarkan tanpa proses, kalau tidak niat bekerja, tutup saja , kalian sudah merugikan banyak pihak. Baik pembeli, pedagang, bahkan e comercenya.",Sicepat,Sumatera Selatan
1,disuruh ambil dikantor dg alasan gak ada kurir.sedangkan saya sdh bayar ongkirnya mahal pula.kalo gak ada kurir ngapain kalian nimbrung di shopee. tutup aja sekalian. …,Sicepat,Sumatera Selatan
1,"Dari hari sabtu dikirim oleh seller sampe hari kamis belum dikirim jugo, status dak berubah dari hari selaso dak diupdate, kalu dak sanggup melayani customer tutup bae perusahaan itu, tidok bae kamu di rumah jgn sok²an nak buka ekspedisi, masih banyak ekspedisi lain.",Sicepat,Sumatera Selatan
1,"Oohh buruk nya kinerja si cepat ini...
Dari tgl 10 paket sdh smapai di palembang, tp smpe tgl 13 blm ada di kirim..
Keterangan nya salah kirim,, …",Sicepat,Sumatera Selatan
1,"Lamo nian paket aku sampe ,kemarin gagal kirim padahal di bawa kurir jam 9 pagi,expedisi aneh kalo pelayanan kalian tetap kayak ini gak bakal maju",Sicepat,Sumatera Selatan
1,"Paketku macet yaampun, gaada notif sama sekali. Udah 2hr-an . Entah ini barang kemana yak?
Biasanya cpt 1hr udah keluar palembang, ini sama sekali gaade perubahan . Yaelaah gimana sih?? Kontak yang bisa dihubungi mana sih ?",Sicepat,Sumatera Selatan
1,"Kalo begawe tu selesaike dulu mang jangan maen hp bae,paket aku lah 1 minggu disitu dak dianter anter tolong lah pihak pengiriman cak ini di ilang ke bae,namo SICEPAT TAPI LELET CAK KEONG",Sicepat,Sumatera Selatan
