Rating,Reviews,Company,Province
1,"gila barang aku 5 hari di gudang ni, kalau emang gabisa antar telfon bos biar di ambil orang perlu cepat",Sicepat,Sumatera Utara
1,"Nth kapan ngantarnya, gk ada pun dihubungin tp tiba"" pembatalan kiriman. Dan udah dibalikkan ke hub pengantaran.
Apa maksudnya ya ? Kan kasihan penjual klo barangnya dikembalikan tanpa alasan jelas.",Sicepat,Sumatera Utara
1,"Ekspedisi terlambat, ubah aja nama nya jadi si lambat, belum ada konfirmasi tiba-tiba paket gagal di antar ke alamat... Ekspedisi gak jelas, aneh nya shopee masih pakek ini ekspedisi",Sicepat,Sumatera Utara
1,"Udah ga jelas ni ekspedisi,,,uda 12 hari barang mu ga juga ada statusnya dimana....bukan nya tanggung jawab malah di hubungi slow respon...padahal udah di medan taoi katanya ga di medan...memang....",Sicepat,Sumatera Utara
1,"Ekspedisi tersampah yg pernah ada.tnyak paket posisi udh dimana malas x nyarik,tiba2 udh dimedan aja bilang nya masih lama,kalo ga didatangi status gak update . Org kantor kek taik respon nya",Sicepat,Sumatera Utara
1,Anjeng.. Paket saya lama bgt.. Pas diantar k almat tujuan.. Dibuat salah barang. Mmg taik yaa.. Ga jelas si cepat ne.. Kontol.,Sicepat,Sumatera Utara
1,"Paket saya sudah di medan, kenapa bisa sampe ke samarinda sana ya? Saya butuh loh barang nya. Gimana cara kerjanya wahai pihak expedisi??!!!!!",Sicepat,Sumatera Utara
1,"Ga jelas banget, udah nunggu 9 hari ga dateng2 paketnya dan masih belum dateng juga. Nama doang sicepat aslinya lelet banget, lain kali gamau make lgi.",Sicepat,Sumatera Utara
1,"kata y pengirim pakai BEST itu 1x24 jam, ni dari selasa masih disini, di telepon pihak expedisi g da yg bisa pening lah",Sicepat,Sumatera Utara
1,"Pengiriman dalam kota Medan 6 hari baru sampai, tidak sesuai dengan nama ekspedisi nya …",Sicepat,Sumatera Utara
1,"Nama nya si cepaat,
Monyeeet, barang g di antar"" padalah di aplikasi sudah tinggal kirim",Sicepat,Sumatera Utara
1,"Kita order paket dari tanggal 27 September 2022, malam hari ini tanggal 08 Oktober 2022 paket belum juga nyampe, padahal paket sudah dari tgl 03 Oktober ada di Medan, kita tracking nama kurirnya MHD ANWAR JAYA dan sudah 2kali statusnya AU …",Sicepat,Sumatera Utara
1,Yok bisa diantar meskipun baru sehari lewat dari ketentuan sebelum gw ambil disana pas hari sabtu-minggu jarak dari tempat gw juga cuma 13 km bisalah yok bisa,Sicepat,Sumatera Utara
1,Pengiriman nya lama bngt... Dari dulu selalu kecewa pake pengiriman Si Cepat Reg. Gak pernah ontime. Barang lama bangt sampenya... Semoga shopee gk pake pengiriman ini lagi!!,Sicepat,Sumatera Utara
1,"parah ini sicepat, gak cocok namanya sicepat tapi sielmot. pengiriman reguler aja lamanya minta ampun, reguler serasa hemat, dulu beneran cepat sekarang lemot bener, mending pake layanan halu memang estimasi lebih lama. nah ini reguler …",Sicepat,Sumatera Utara
1,"EKSPEDISI KONTOL, BAGUS SIKIT KERJA KELEN BUJANG.
GANTI NAMA AJA JADI ""SILAMBAT""
UDAH LAMA, PAKET RUSAK, PEPEK",Sicepat,Sumatera Utara
1,"GANTI NAMA JADI SILAMBAT AJA. FAK
LAMA KALI ANTAR PAKET. SELALU RUSAK SEMUA GARA2 LAMA DI GUDANG KELEN. TOL",Sicepat,Sumatera Utara
1,paket best. besok sampai tujuan. sudah seminggu tidak sampai juga. hapus aja layanan best kalau memang tidak sanggup,Sicepat,Sumatera Utara
1,"Sampah kali paket 11 hari blom sampe, udh komplen via tokopedia juga ga di gubris",Sicepat,Sumatera Utara
1,"Kalian simpan2 aja itu paket orang ya, gatau orang butuh bukannya cepat dikirim. Emang lambat kali kerja secepat express ini buat naik darah",Sicepat,Sumatera Utara
1,"sebagai penjual saya merasa di rugikan.. kurir yang males nelpon pembeli krn alamat pembeli sendiri yg kurang jelas, malah paket di kembalikan ke seller.. kurirnya pelit pulsa",Sicepat,Sumatera Utara
1,"Pengantaran super lambat. Ganti brand saja deh jadi silambat ekonomi.
Gak sesuaikan time pengiriman dengan brand nya. Di website estimati 3 hari. Eh udh 4 hari barang pun belum sampai ke provinsi tujuan. Hadehhh....",Sicepat,Sumatera Utara
1,"Hati2. Ni ekspedisi sangat sangat tidak rekomendasi.

Merugikan seller dan customer. …",Sicepat,Sumatera Utara
1,"Jelek bgt pengiriman nya, ga sampe2 ke tgn saya",Sicepat,Sumatera Utara
